algorithm,baseline,instance,mean_diff_alg_minus_fair_sa,median_diff_alg_minus_fair_sa,method,missing_fair_sa_seed_pairs,n_pairs,p_value_less,variant,wins_alg_lower
ALNS-Wouda,fair_scikit-opt-SA_paired_seed,100-01-24h,-468.65506094489365,-491.1361484267386,scipy_wilcoxon_less,0,10,0.0009765625,winner_kernel_only,10
ALNS-Wouda,fair_scikit-opt-SA_paired_seed,L-main,31.801906068035624,7.4321790464773585,scipy_wilcoxon_less,0,10,0.65234375,winner_kernel_only,5
ALNS-Wouda,fair_scikit-opt-SA_paired_seed,100-01-24h,-453.76129534986467,-493.50684969154645,scipy_wilcoxon_less,0,10,0.0009765625,winner_kernel_route_elimination,10
ALNS-Wouda,fair_scikit-opt-SA_paired_seed,L-main,104.20612864416435,109.63393538413402,scipy_wilcoxon_less,0,10,0.9755859375,winner_kernel_route_elimination,2
