instance_id,seed,arm,complete_candidate_budget_cap,complete_candidate_evaluations_consumed,termination_reason,evaluation_index,segment,view,source,status,failure_category,complete_objective_cny,incumbent_best_cny,relative_gap_to_final_search_best
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,1,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2348.8158271350067,2348.8158271350067,0.025600576057411083
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,2,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2347.4707318124138,2347.4707318124138,0.02501324582837984
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,3,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2347.8233991794345,2347.4707318124138,0.02501324582837984
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,4,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2347.4229148950176,2347.4229148950176,0.02499236677202291
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,5,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2349.6727020707517,2347.4229148950176,0.02499236677202291
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,6,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2348.5533951391217,2347.4229148950176,0.02499236677202291
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,7,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2352.1403034053956,2347.4229148950176,0.02499236677202291
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,8,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2354.0174404163895,2347.4229148950176,0.02499236677202291
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,9,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2349.321941403711,2347.4229148950176,0.02499236677202291
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,10,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2352.846627714171,2347.4229148950176,0.02499236677202291
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,11,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2347.0595575567045,2347.0595575567045,0.024833708314776746
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,12,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2346.067129601132,2346.067129601132,0.024400368811878292
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,13,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2353.913487001429,2346.067129601132,0.024400368811878292
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,14,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2350.046535739863,2346.067129601132,0.024400368811878292
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,15,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2347.4718955837943,2346.067129601132,0.024400368811878292
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,16,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2356.3557613926814,2346.067129601132,0.024400368811878292
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,17,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2346.4794676282213,2346.067129601132,0.024400368811878292
cn-prd-50c-01-V2-LOCATIONS,1,JOINT,1500,331,CANDIDATES_EXHAUSTED,18,MULTI_VIEW_SEARCH,cv_only,terminal_population_archive,PASS,FEASIBLE,2347.611089178207,2346.067129601132,0.024400368811878292
