instance,algorithm,seed,solution_file,expected_cost,current_cost,absolute_cost_difference,violation_count,cross_site_service_count,ok
L-main-threeshift-10c-01,staged_hybrid_carbon_aware,1,baselines/e2_alns/e2_final_10seed_20260711/formal/solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed1.json,648.5631028751067,648.5631028751067,0.0,0,0,True
L-main-threeshift-100c-01,staged_hybrid_carbon_aware,1,baselines/e2_alns/e2_final_10seed_20260711/formal/solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-100c-01__staged_hybrid_carbon_aware__seed1.json,5211.846216947982,5211.846216947982,0.0,0,0,True
L-main-threeshift-200c-01,staged_hybrid_carbon_aware,1,baselines/e2_alns/e2_final_10seed_20260711/formal/solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-200c-01__staged_hybrid_carbon_aware__seed1.json,9959.411384897756,9959.411384897756,0.0,0,0,True
