active_flags,actual_evals,algorithm,battery_kwh,best_cost,category,charging_action_count,checkpoint_operator,checkpoint_path,checkpoint_readable,commit_hash,comparison_mode,cv_physical_vehicle_count,cv_route_count,elapsed_seconds,ev_physical_vehicle_count,ev_route_count,eval_budget_backstop,evals_per_second,failure_reason,feasible,gate_status,instance,max_trips_per_physical_vehicle,numpy,python,queue_action,replicate,route_count,runtime_cap_seconds,scenario,scenario_label,seed,size,status,timings,violation_count,winner_all_cv,winner_all_ev,winner_ev_route_share,worker_stderr_tail,worker_stdout_tail
{},16000,LNS,100.0,3960.9142264324673,multidepot,1,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_09w_stage_a_data/checkpoints/wc100/e2-multidepot-100c-01__LNS__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,7,14,538.9290909580013,1,1,16000,29.688506834096433,,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,15,900.0,wc100,100kWh same wall-clock,1,100,OK,{},0,False,False,0.06666666666666667,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,100.0,3960.9142264324673,multidepot,1,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_09w_stage_a_data/checkpoints/wc100/e2-multidepot-100c-01__alns_e2_throughput__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,7,14,280.2608884589936,1,1,16000,57.08966416247211,,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,15,900.0,wc100,100kWh same wall-clock,1,100,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.004229096317430958}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.00024695799947949126}, ""destroy:random_customer_removal"": {""count"": 2658.0, ""seconds"": 0.4157431040002848}, ""destroy:route_segment_removal"": {""count"": 2655.0, ""seconds"": 0.4520781770988833}, ""destroy:shaw_related_removal"": {""count"": 2655.0, ""seconds"": 13.922840552819252}, ""destroy:vehicle_type_swap"": {""count"": 2655.0, ""seconds"": 7.720890035954653}, ""destroy:whole_route_removal"": {""count"": 2655.0, ""seconds"": 0.4024200308849686}, ""destroy:worst_customer_removal"": {""count"": 2658.0, ""seconds"": 0.4699408080414287}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0003108750024694018}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 8.91531963525631}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.00029879200155846775}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0006358329992508516}, ""repair:greedy_insert_repair"": {""count"": 5312.0, ""seconds"": 83.70151699097187}, ""repair:regret2_insert_repair"": {""count"": 5312.0, ""seconds"": 84.57068329981848}, ""repair:regret3_insert_repair"": {""count"": 5312.0, ""seconds"": 85.31456339085707}, ""repair_full_check"": {""count"": 31872.0, ""seconds"": 10.70258333714446}, ""repair_solution_score"": {""count"": 7213.0, ""seconds"": 1.7583522657150752}, ""route_model_cost"": {""count"": 629819.0, ""seconds"": 14.90346860527643}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.0644108379856334}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.03253291701548733}}",0,False,False,0.06666666666666667,,
{},16000,LNS,100.0,476.14411336859115,multidepot,1,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_09w_stage_a_data/checkpoints/wc100/e2-multidepot-10c-01__LNS__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,1,2,33.129750667001645,1,1,16000,482.9496050489913,,True,OK,e2-multidepot-10c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,3,300.0,wc100,100kWh same wall-clock,1,10,OK,{},0,False,False,0.3333333333333333,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,100.0,387.9007343319535,multidepot,1,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_09w_stage_a_data/checkpoints/wc100/e2-multidepot-10c-01__alns_e2_throughput__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,1,1,10.263717250003538,1,1,16000,1558.8893975030817,,True,OK,e2-multidepot-10c-01,1,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,2,300.0,wc100,100kWh same wall-clock,1,10,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.010145274893147871}, ""checkpoint_model_cost"": {""count"": 4.0, ""seconds"": 0.0001576679860590957}, ""destroy:random_customer_removal"": {""count"": 1152.0, ""seconds"": 0.03968232277111383}, ""destroy:route_segment_removal"": {""count"": 9386.0, ""seconds"": 0.23986693784536328}, ""destroy:shaw_related_removal"": {""count"": 1152.0, ""seconds"": 0.07082597388944123}, ""destroy:vehicle_type_swap"": {""count"": 1152.0, ""seconds"": 0.15828909792617196}, ""destroy:whole_route_removal"": {""count"": 1942.0, ""seconds"": 0.034547188100987114}, ""destroy:worst_customer_removal"": {""count"": 1152.0, ""seconds"": 0.029984393979248125}, ""final_check"": {""count"": 1.0, ""seconds"": 8.129200432449579e-05}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 1.8751192545460071}, ""history_model_cost"": {""count"": 4.0, ""seconds"": 0.00018862699653254822}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0047433340005227365}, ""local_search"": {""count"": 1869.0, ""seconds"": 0.002032093827438075}, ""repair:greedy_insert_repair"": {""count"": 2304.0, ""seconds"": 1.1854582802261575}, ""repair:regret2_insert_repair"": {""count"": 11246.0, ""seconds"": 4.964901012979681}, ""repair:regret3_insert_repair"": {""count"": 2386.0, ""seconds"": 1.2820568550159805}, ""repair_full_check"": {""count"": 17105.0, ""seconds"": 1.445232459998806}, ""repair_solution_score"": {""count"": 1155.0, ""seconds"": 0.037687649855797645}, ""route_model_cost"": {""count"": 834.0, ""seconds"": 0.016989827920042444}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.005443040943646338}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.0046480030214297585}}",0,False,False,0.5,,
{},16000,LNS,100.0,5488.782859056312,multidepot,1,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_09w_stage_a_data/checkpoints/wc100/e2-multidepot-150c-01__LNS__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,10,21,882.1848410419989,1,1,16000,18.13678863615644,,True,OK,e2-multidepot-150c-01,3,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,22,900.0,wc100,100kWh same wall-clock,1,150,OK,{},0,False,False,0.045454545454545456,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,100.0,5488.782859056312,multidepot,1,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_09w_stage_a_data/checkpoints/wc100/e2-multidepot-150c-01__alns_e2_throughput__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,10,21,655.7978007909987,1,1,16000,24.397764037484418,,True,OK,e2-multidepot-150c-01,3,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,22,900.0,wc100,100kWh same wall-clock,1,150,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.0043416715489001945}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.0003656249973573722}, ""destroy:random_customer_removal"": {""count"": 2658.0, ""seconds"": 0.6447922567167552}, ""destroy:route_segment_removal"": {""count"": 2655.0, ""seconds"": 0.7616621788911289}, ""destroy:shaw_related_removal"": {""count"": 2655.0, ""seconds"": 38.61350014317577}, ""destroy:vehicle_type_swap"": {""count"": 2655.0, ""seconds"": 8.466047591980896}, ""destroy:whole_route_removal"": {""count"": 2655.0, ""seconds"": 0.6928840702967136}, ""destroy:worst_customer_removal"": {""count"": 2658.0, ""seconds"": 0.7716634199168766}, ""final_check"": {""count"": 1.0, ""seconds"": 0.00047437499597435817}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 13.514192477945471}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.0004605830035870895}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0008901670007617213}, ""repair:greedy_insert_repair"": {""count"": 5312.0, ""seconds"": 194.31495173928852}, ""repair:regret2_insert_repair"": {""count"": 5312.0, ""seconds"": 202.35862404393993}, ""repair:regret3_insert_repair"": {""count"": 5312.0, ""seconds"": 204.0069646798147}, ""repair_full_check"": {""count"": 31872.0, ""seconds"": 17.563587687262043}, ""repair_solution_score"": {""count"": 5674.0, ""seconds"": 2.068324051593663}, ""route_model_cost"": {""count"": 1313829.0, ""seconds"": 33.10676694704307}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.10424725004122593}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.04970074801531155}}",0,False,False,0.045454545454545456,,
{},16000,LNS,100.0,621.371321439464,multidepot,0,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_09w_stage_a_data/checkpoints/wc100/e2-multidepot-15c-01__LNS__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,2,2,32.96011337499658,0,0,16000,485.4352234157526,,True,OK,e2-multidepot-15c-01,1,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,2,300.0,wc100,100kWh same wall-clock,1,15,OK,{},0,True,False,0.0,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,100.0,621.371321439464,multidepot,0,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_09w_stage_a_data/checkpoints/wc100/e2-multidepot-15c-01__alns_e2_throughput__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,2,2,14.120783666003263,0,0,16000,1133.0815894107263,,True,OK,e2-multidepot-15c-01,1,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,2,300.0,wc100,100kWh same wall-clock,1,15,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.00551960569282528}, ""checkpoint_model_cost"": {""count"": 2.0, ""seconds"": 9.016699914354831e-05}, ""destroy:random_customer_removal"": {""count"": 2180.0, ""seconds"": 0.07519111799047096}, ""destroy:route_segment_removal"": {""count"": 2319.0, ""seconds"": 0.0650644890993135}, ""destroy:shaw_related_removal"": {""count"": 6284.0, ""seconds"": 0.5505699369095964}, ""destroy:vehicle_type_swap"": {""count"": 1449.0, ""seconds"": 0.35814242003834806}, ""destroy:whole_route_removal"": {""count"": 2255.0, ""seconds"": 0.04425690411153482}, ""destroy:worst_customer_removal"": {""count"": 1449.0, ""seconds"": 0.04184482006530743}, ""final_check"": {""count"": 1.0, ""seconds"": 4.3334002839401364e-05}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 1.3373059129735339}, ""history_model_cost"": {""count"": 2.0, ""seconds"": 0.00011583300511119887}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.00012516699644038454}, ""local_search"": {""count"": 353.0, ""seconds"": 0.00041750098898774013}, ""repair:greedy_insert_repair"": {""count"": 3627.0, ""seconds"": 2.458528967843449}, ""repair:regret2_insert_repair"": {""count"": 3769.0, ""seconds"": 2.165738498290011}, ""repair:regret3_insert_repair"": {""count"": 8540.0, ""seconds"": 6.165039705992967}, ""repair_full_check"": {""count"": 19757.0, ""seconds"": 1.2285012408465263}, ""route_model_cost"": {""count"": 3384.0, ""seconds"": 0.06695513094018679}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.008511121974152047}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.006640668987529352}}",0,True,False,0.0,,
{},10974,LNS,100.0,6608.239546640648,multidepot,1,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_09w_stage_a_data/checkpoints/wc100/e2-multidepot-200c-01__LNS__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,14,28,905.778402332995,1,1,16000,12.11554611120611,,True,OK,e2-multidepot-200c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,29,900.0,wc100,100kWh same wall-clock,1,200,OK,{},0,False,False,0.034482758620689655,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",8134,alns_e2_throughput,100.0,6608.239546640648,multidepot,1,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_09w_stage_a_data/checkpoints/wc100/e2-multidepot-200c-01__alns_e2_throughput__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,14,28,907.2105311249979,1,1,16000,8.96594530258961,,True,OK,e2-multidepot-200c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,29,900.0,wc100,100kWh same wall-clock,1,200,OK,"{""acceptance"": {""count"": 8101.0, ""seconds"": 0.0022255743606365286}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.0004723750025732443}, ""destroy:random_customer_removal"": {""count"": 1351.0, ""seconds"": 0.4781428941132617}, ""destroy:route_segment_removal"": {""count"": 1350.0, ""seconds"": 0.6062854011979653}, ""destroy:shaw_related_removal"": {""count"": 1350.0, ""seconds"": 45.20174028103793}, ""destroy:vehicle_type_swap"": {""count"": 1350.0, ""seconds"": 11.848383405922505}, ""destroy:whole_route_removal"": {""count"": 1350.0, ""seconds"": 0.5636621199373621}, ""destroy:worst_customer_removal"": {""count"": 1350.0, ""seconds"": 0.5757057560622343}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0006724579943693243}, ""full_candidate_score"": {""count"": 8101.0, ""seconds"": 9.314644749938452}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.0005682090049958788}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0012767910011461936}, ""repair:greedy_insert_repair"": {""count"": 2701.0, ""seconds"": 275.4150130799171}, ""repair:regret2_insert_repair"": {""count"": 2700.0, ""seconds"": 290.40818926511565}, ""repair:regret3_insert_repair"": {""count"": 2700.0, ""seconds"": 273.97584392922727}, ""repair_full_check"": {""count"": 16202.0, ""seconds"": 12.927597233785491}, ""repair_solution_score"": {""count"": 5567.0, ""seconds"": 2.6588952840538695}, ""route_model_cost"": {""count"": 1613097.0, ""seconds"": 41.73396087025321}, ""scan_build"": {""count"": 33.0, ""seconds"": 0.08149770802265266}, ""scan_score"": {""count"": 33.0, ""seconds"": 0.03507474899379304}}",0,False,False,0.034482758620689655,,
