city,region,province_or_municipality,price_area_id,carbon_column,diesel_zone,builder_region,builder_price_area_id,builder_carbon_column,calendar_carbon_columns,price_mapping_status,carbon_mapping_status,gis_status,runtime_selector
beijing,jjj,Beijing,beijing,Beijing,beijing,jjj,beijing,Beijing,Beijing,PASS,PASS,PENDING_BOUNDARY_EVIDENCE,explicit node.city label
tianjin,jjj,Tianjin,tianjin,Tianjin,tianjin,jjj,tianjin,Tianjin,Tianjin,PASS,PASS,PENDING_BOUNDARY_EVIDENCE,explicit node.city label
shijiazhuang,jjj,Hebei,hebei_south,Hebei,hebei,jjj,hebei_south,Hebei,Hebei,PASS,PASS,PENDING_BOUNDARY_EVIDENCE,explicit node.city label
guangzhou,prd,Guangdong,guangdong_prd_five_city,Guangdong,guangdong,prd,guangdong_prd_five_city,Guangdong,Guangdong,PASS,PASS,PENDING_BOUNDARY_EVIDENCE,explicit node.city label
shenzhen,prd,Guangdong,shenzhen,Guangdong,guangdong,prd,shenzhen,Guangdong,Guangdong,PASS,PASS,PENDING_BOUNDARY_EVIDENCE,explicit node.city label
dongguan,prd,Guangdong,guangdong_prd_five_city,Guangdong,guangdong,prd,guangdong_prd_five_city,Guangdong,Guangdong,PASS,PASS,PENDING_BOUNDARY_EVIDENCE,explicit node.city label
foshan,prd,Guangdong,guangdong_prd_five_city,Guangdong,guangdong,prd,guangdong_prd_five_city,Guangdong,Guangdong,PASS,PASS,PENDING_BOUNDARY_EVIDENCE,explicit node.city label
chengdu,cy,Sichuan,sichuan,Sichuan,sichuan,cy,sichuan,Chongqing,Chongqing,PASS,FAIL,PENDING_BOUNDARY_EVIDENCE,explicit node.city label
chongqing,cy,Chongqing,chongqing,Chongqing,chongqing,cy,chongqing,Chongqing,Chongqing,PASS,PASS,PENDING_BOUNDARY_EVIDENCE,explicit node.city label
