authority,price_area,source_kind,path,expected_sha256,actual_sha256,status
tariff_v2,beijing,api,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/beijing_2025_02_api.json,cc8d3fbe45d85889d24f44a8178d50332e5a99438c913e0b6944cd9149a0c009,cc8d3fbe45d85889d24f44a8178d50332e5a99438c913e0b6944cd9149a0c009,PASS
tariff_v2,beijing,scan,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/beijing_2025_02.webp,a77e05e77c8fca6d83630796d87eba501ce3955f90634b9a0c7e2e3f36ac7176,a77e05e77c8fca6d83630796d87eba501ce3955f90634b9a0c7e2e3f36ac7176,PASS
tariff_v2,tianjin,api,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/tianjin_2025_02_api.json,4d7d77de2c718204c6c02812dc4cced020fbf9fde652d1742b4c48a144c84f82,4d7d77de2c718204c6c02812dc4cced020fbf9fde652d1742b4c48a144c84f82,PASS
tariff_v2,tianjin,scan,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/tianjin_2025_02.webp,a7b45b4c4c9ffc9961e5b73b3820c0baae5eb1d3508a31dbe998d564f33fc14d,a7b45b4c4c9ffc9961e5b73b3820c0baae5eb1d3508a31dbe998d564f33fc14d,PASS
tariff_v2,hebei_south,api,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/hebei_2025_02_api.json,c004d605c0f2c356507cf3c5e89c5fe15662b850de358b583077f37129c34720,c004d605c0f2c356507cf3c5e89c5fe15662b850de358b583077f37129c34720,PASS
tariff_v2,hebei_south,scan,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/hebei_2025_02.webp,67965a58b3e87ec159920f0d17e1d7c9bf1c378390a1c50379baa6dec6761edd,67965a58b3e87ec159920f0d17e1d7c9bf1c378390a1c50379baa6dec6761edd,PASS
tariff_v2,guangdong_prd_five_city,api,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/guangdong_2025_02_api.json,c68aeae058990f2060cd40f370730759de300e5cf75b55b9f572dfb00b5fe2f4,c68aeae058990f2060cd40f370730759de300e5cf75b55b9f572dfb00b5fe2f4,PASS
tariff_v2,guangdong_prd_five_city,scan,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/guangdong_2025_02.webp,c00d91f64a67d3aa7c314e3f68b08ff3f2f85ab807cc0a9c8eb1e76344c481fb,c00d91f64a67d3aa7c314e3f68b08ff3f2f85ab807cc0a9c8eb1e76344c481fb,PASS
tariff_v2,shenzhen,api,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/shenzhen_2025_02_api.json,3e823735df693d99606257be25f377915283f3f91434f8d30d8a59ac1d5df839,3e823735df693d99606257be25f377915283f3f91434f8d30d8a59ac1d5df839,PASS
tariff_v2,shenzhen,scan,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/shenzhen_2025_02.webp,6a5e54bf4489d635ae8b7f6e9970b6122816861cc967ee4f6961fba1cbe7c9b2,6a5e54bf4489d635ae8b7f6e9970b6122816861cc967ee4f6961fba1cbe7c9b2,PASS
tariff_v2,sichuan,api,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/sichuan_2025_02_api.json,df98d49168da6cf9cc636a743bf4a1a2bafe7ac8456e3c43657c221b3147a75f,df98d49168da6cf9cc636a743bf4a1a2bafe7ac8456e3c43657c221b3147a75f,PASS
tariff_v2,sichuan,scan,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/sichuan_2025_02.webp,b19ff72661a21043ee70eb1cf9c53d161315b5c60dd0faa6f2775d6033d958c9,b19ff72661a21043ee70eb1cf9c53d161315b5c60dd0faa6f2775d6033d958c9,PASS
tariff_v2,chongqing,api,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/chongqing_2025_02_api.json,a9193647cdb1fc636b33b7ddea65e4cecdd60569f931786b9c041e23933fbc9a,a9193647cdb1fc636b33b7ddea65e4cecdd60569f931786b9c041e23933fbc9a,PASS
tariff_v2,chongqing,scan,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/chongqing_2025_02.webp,88827f64aed19b7a23dc6cfb5203fc557a735eddfbd791e1ce3a2d96695308ea,88827f64aed19b7a23dc6cfb5203fc557a735eddfbd791e1ce3a2d96695308ea,PASS
tariff_v3_shenzhen_overlay,shenzhen,api,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/shenzhen_2025_02_api.json,3e823735df693d99606257be25f377915283f3f91434f8d30d8a59ac1d5df839,3e823735df693d99606257be25f377915283f3f91434f8d30d8a59ac1d5df839,PASS
tariff_v3_shenzhen_overlay,shenzhen,scan,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/shenzhen_2025_02.webp,6a5e54bf4489d635ae8b7f6e9970b6122816861cc967ee4f6961fba1cbe7c9b2,6a5e54bf4489d635ae8b7f6e9970b6122816861cc967ee4f6961fba1cbe7c9b2,PASS
