declared_city,osm_type,osm_id,latitude,longitude,name,tag_country,boundary_memberships,gis_status,source_response_path
beijing,node,10289813030,39.9224353,116.3512307,护国寺小吃,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10289813031,39.9224361,116.3513001,美栗乡,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10297720553,39.8378025,116.2799862,西部马华,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,1041372260,39.9087702,116.2945141,王老六铁锅炖鱼,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10557002788,39.9352032,116.3080904,人文考古书店,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10591865893,39.917682,116.4045181,蜜雪冰城,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10593225733,39.9403214,116.4107232,和合谷,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10593225763,39.9393569,116.4176009,蜜雪冰城,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10692223065,39.8923347,116.4120168,必胜客,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10692223066,39.8928271,116.4120665,便利蜂,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10692260339,39.8929707,116.4129776,好利来,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10694122730,39.9525755,116.419396,张亮麻辣烫,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10694122731,39.952559,116.4193967,门框胡同百年卤煮,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10694122732,39.9526007,116.419395,比萨到,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10712450766,39.8369128,116.4007956,成都美食城,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10727042682,39.9394901,116.3873604,鼓西33,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10733055554,39.9177397,116.4051462,中华书局咖啡,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10733055557,39.9175535,116.4089926,清真小吃,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10748772334,39.9639585,116.3375917,盒马鲜生,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10751328156,39.9323722,116.3939908,Voyage Cafe,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10763588887,39.9090563,116.3699207,清和园素食餐厅,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10794414388,39.8444901,116.3918028,新发地果蔬社区便民店,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10816336949,39.901267,116.4014838,东交民巷饭店,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10829688005,39.9472928,116.407901,五十六号院涮肉,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10830058962,39.8552602,116.4034308,晋大碗刀削面,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10830058963,39.8551799,116.403113,世纪佳联超市,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10832166973,39.9461879,116.3662814,护国寺小吃,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10832167831,39.9410624,116.3574801,护国寺小吃,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,10832167832,39.9411712,116.357463,庆丰包子铺,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
