battery_kwh,collection_failures,comparison_mode,mean_gap_pct_alns_minus_lns,mean_winner_charging_action_count_75_200,mean_winner_ev_route_share_75_200,paired_winner_counts,pairs,scenario
100.0,0,wallclock,-10.20962319309084,1.0,0.05185185185185185,"{""alns"": 1, ""tie"": 2}",3,wc100
150.0,0,wallclock,-10.306844175785738,1.0,0.05185185185185185,"{""alns"": 1, ""tie"": 2}",3,wc150
280.0,0,wallclock,-10.306844175785738,1.0,0.05185185185185185,"{""alns"": 1, ""tie"": 2}",3,wc280
80.0,0,wallclock,-9.594928394661222,1.0,0.05185185185185185,"{""alns"": 1, ""tie"": 2}",3,wc80
