route_index,path,distance_km,cost_cny,time_h,fuel_l,electricity_kwh,emissions_kg,on_time_customer_count,load_rate_pct,vehicle_id,vehicle_type,home_depot_id,home_city
1,"[D_guangzhou, C002, C008, C021, C011, C014, C003, C019, D_guangzhou]",69.968020793472,295.9641389186805,12.000986022222223,9.340557549278703,0,25.26438993786635,7,92.04610951008645,CH81-0001,cv,D_guangzhou,guangzhou
2,"[D_guangzhou, C016, C020, C022, C015, C017, C001, D_guangzhou]",68.921888853191,293.4549339205041,11.01561091111111,9.119016135265909,0,24.665163538213392,6,84.0922190201729,CH81-0002,cv,D_guangzhou,guangzhou
3,"[D_guangzhou, C009, C007, C013, C012, C006, D_guangzhou]",69.734054022693,296.3632862114066,11.795757527777779,9.416659587865162,0,25.47023113821989,5,76.02305475504323,CH81-0003,cv,D_guangzhou,guangzhou
4,"[D_guangzhou, C023, C005, C004, C018, C010, D_guangzhou]",85.047791386273,253.48869754642152,11.036598466666668,0.0,33.39521977121389,0.7380343569438266,5,97.2,CH81-0004,ev,D_guangzhou,guangzhou
5,"[D_shenzhen, C039, C050, C040, C038, C049, D_shenzhen]",59.820378294320996,275.63161341054314,10.670265961111111,7.715867862600611,0,20.86992059749652,5,92.10374639769452,CH81-0005,cv,D_shenzhen,shenzhen
6,"[D_shenzhen, C043, C028, C047, C041, C036, C026, C024, D_shenzhen]",61.664000025563,279.15761769775327,12.313838005555558,7.989059370600394,0,21.608850447176984,7,96.0806916426513,CH81-0006,cv,D_shenzhen,shenzhen
7,"[D_shenzhen, C046, C032, C037, C030, C045, C044, D_shenzhen]",62.95073073014,283.61960865367826,10.650153111111111,8.441549190797954,0,22.832747329142983,6,96.0806916426513,CH81-0007,cv,D_shenzhen,shenzhen
8,"[D_shenzhen, C034, C048, C033, C029, D_shenzhen]",63.618851645606995,230.45401780422893,11.929406222222221,0.0,23.47743026350226,0.5188512088234002,4,97.2,CH81-0008,ev,D_shenzhen,shenzhen
9,"[D_shenzhen, C035, C027, C042, C031, C025, D_shenzhen]",59.375572880775,226.20338324369567,12.093921227777777,0.0,19.07165506597039,0.4580021782860553,5,97.2,CH81-0009,ev,D_shenzhen,shenzhen
mean,mean,66.78903207022611,270.48192193410136,11.500726383950617,5.780301077378748,8.438256122298505,15.825132303574378,5.555555555555555,92.00294588536663,,,,
total,total,601.101288632035,2434.337297406912,103.50653745555556,52.02270969640873,75.94430510068653,142.4261907321694,50.0,,,,,
