worker_index,pid,module,module_file,cwd,project_root,python,real_instance_loaded
0,41592,baselines.experiment_infrastructure.absolute_execution_harness_20260725.worker_probe,/Volumes/移动硬盘（512G）/ReSETP/baselines/experiment_infrastructure/absolute_execution_harness_20260725/worker_probe.py,/Volumes/移动硬盘（512G）/ReSETP,/Volumes/移动硬盘（512G）/ReSETP,/opt/anaconda3/bin/python3.13,False
1,41590,baselines.experiment_infrastructure.absolute_execution_harness_20260725.worker_probe,/Volumes/移动硬盘（512G）/ReSETP/baselines/experiment_infrastructure/absolute_execution_harness_20260725/worker_probe.py,/Volumes/移动硬盘（512G）/ReSETP,/Volumes/移动硬盘（512G）/ReSETP,/opt/anaconda3/bin/python3.13,False
2,41588,baselines.experiment_infrastructure.absolute_execution_harness_20260725.worker_probe,/Volumes/移动硬盘（512G）/ReSETP/baselines/experiment_infrastructure/absolute_execution_harness_20260725/worker_probe.py,/Volumes/移动硬盘（512G）/ReSETP,/Volumes/移动硬盘（512G）/ReSETP,/opt/anaconda3/bin/python3.13,False
3,41589,baselines.experiment_infrastructure.absolute_execution_harness_20260725.worker_probe,/Volumes/移动硬盘（512G）/ReSETP/baselines/experiment_infrastructure/absolute_execution_harness_20260725/worker_probe.py,/Volumes/移动硬盘（512G）/ReSETP,/Volumes/移动硬盘（512G）/ReSETP,/opt/anaconda3/bin/python3.13,False
4,41593,baselines.experiment_infrastructure.absolute_execution_harness_20260725.worker_probe,/Volumes/移动硬盘（512G）/ReSETP/baselines/experiment_infrastructure/absolute_execution_harness_20260725/worker_probe.py,/Volumes/移动硬盘（512G）/ReSETP,/Volumes/移动硬盘（512G）/ReSETP,/opt/anaconda3/bin/python3.13,False
5,41591,baselines.experiment_infrastructure.absolute_execution_harness_20260725.worker_probe,/Volumes/移动硬盘（512G）/ReSETP/baselines/experiment_infrastructure/absolute_execution_harness_20260725/worker_probe.py,/Volumes/移动硬盘（512G）/ReSETP,/Volumes/移动硬盘（512G）/ReSETP,/opt/anaconda3/bin/python3.13,False
