algorithm,best,finite_n,instance,mean,mean_evals,mean_evals_per_second,mean_seconds,n,status_counts,std,zero_violations
LNS,4958.980083817074,5,e2-multidepot-100c-01,4986.411408280731,9592.0,31.970970451073775,300.0221790167969,5,"{""HALT_RUNTIME_UNDER_EVAL"": 5}",20.91710319180702,5
alns_e2_throughput,4830.887108352103,5,e2-multidepot-100c-01,4942.986627783693,16000.0,116.08544436065662,139.39299630000022,5,"{""OK"": 5}",85.57483123827272,5
LNS,9388.241203528394,5,e2-multidepot-200c-01,9460.707292634175,6949.8,7.595357036336722,915.0062657417963,5,"{""HALT_HARD_TIMEOUT_WITH_INCUMBENT"": 5}",56.19202862449078,5
alns_e2_throughput,9404.998765678223,5,e2-multidepot-200c-01,9551.356152281547,16000.0,39.579074478841605,406.7400042835972,5,"{""OK"": 5}",99.15706931609581,5
LNS,4918.752359570978,5,e2-threeshift-100c-01,4944.487760524058,9292.4,30.97275721789448,300.018480825203,5,"{""HALT_RUNTIME_UNDER_EVAL"": 5}",16.379543306555338,5
alns_e2_throughput,4874.971895490413,5,e2-threeshift-100c-01,5010.187517653991,16000.0,117.19207482483912,139.08543742499896,5,"{""OK"": 5}",125.1894412348315,5
LNS,7439.741686861522,5,e2-threeshift-150c-01,7451.7311792108285,15308.8,17.009300217302243,900.0251707249961,5,"{""HALT_RUNTIME_UNDER_EVAL"": 5}",10.088957314569644,5
alns_e2_throughput,7256.330133131847,5,e2-threeshift-150c-01,7554.9866671219115,16000.0,59.50351791887564,287.06967112499404,5,"{""OK"": 5}",174.78670259010028,5
LNS,8979.132837679645,5,e2-threeshift-200c-01,8991.802111978697,9548.2,10.608613213187473,900.0421715916018,5,"{""HALT_RUNTIME_UNDER_EVAL"": 5}",18.190394306858824,5
alns_e2_throughput,9093.841324328952,5,e2-threeshift-200c-01,9301.859821533428,16000.0,41.248135833259106,401.1537358163914,5,"{""OK"": 5}",170.93828609223857,5
LNS,2351.3471635682135,5,e2-threeshift-50c-01,2358.2478884314546,16000.0,75.89167938570787,210.82980304159574,5,"{""OK"": 5}",5.1461707290066805,5
alns_e2_throughput,2356.5979501925162,5,e2-threeshift-50c-01,2367.0246403279225,16000.0,305.6888870611892,52.958187849796374,5,"{""OK"": 5}",12.621628955543052,5
LNS,3571.071969714279,5,e2-threeshift-75c-01,3605.4233308168236,14073.2,46.90924280980671,300.0091246084019,5,"{""HALT_RUNTIME_UNDER_EVAL"": 5}",27.27784811734732,5
alns_e2_throughput,3456.739667537281,5,e2-threeshift-75c-01,3554.4635026133305,16000.0,171.90017093487788,94.43350044160616,5,"{""OK"": 5}",64.78418696894245,5
LNS,5657.585255593724,5,e2-vanilla-100c-01,5683.149630795717,9238.2,30.791867395663076,300.02079909180173,5,"{""HALT_RUNTIME_UNDER_EVAL"": 5}",16.581736553554062,5
alns_e2_throughput,5686.448715481698,5,e2-vanilla-100c-01,5748.468157445866,16000.0,90.12328403060533,183.36975699120086,5,"{""OK"": 5}",55.79503676873721,5
LNS,10839.920851762123,5,e2-vanilla-200c-01,10868.59509489907,6503.4,7.107484618885827,915.0072522831964,5,"{""HALT_HARD_TIMEOUT_WITH_INCUMBENT"": 5}",23.832425950778067,5
alns_e2_throughput,10665.258482761232,5,e2-vanilla-200c-01,10869.078795074045,16000.0,27.45363421693231,592.1059840084054,5,"{""OK"": 5}",138.41548401277495,5
