algorithm,count,instance,label,seconds,seconds_per_count,seed,share_of_elapsed
alns_e2_throughput,251.0,e2-threeshift-100c-01,acceptance,0.005007425002986565,1.994990041030504e-05,1,0.0004822617575200229
alns_e2_throughput,31.0,e2-threeshift-100c-01,checkpoint_model_cost,0.011304001905955374,0.000364645222772754,1,0.001088680873487733
alns_e2_throughput,251.0,e2-threeshift-100c-01,destroy:random_customer_removal,0.08387904718983918,0.0003341794708758533,1,0.008078335011058639
alns_e2_throughput,1.0,e2-threeshift-100c-01,final_check,0.0011460420209914446,0.0011460420209914446,1,0.000110374541586842
alns_e2_throughput,251.0,e2-threeshift-100c-01,full_candidate_score,0.33529700606595725,0.0013358446456811046,1,0.03229223070542793
alns_e2_throughput,31.0,e2-threeshift-100c-01,history_model_cost,0.011532581906067207,0.0003720187711634583,1,0.0011106952606272532
alns_e2_throughput,1.0,e2-threeshift-100c-01,initial_reference_score,0.0007870420231483877,0.0007870420231483877,1,7.579949157486649e-05
alns_e2_throughput,251.0,e2-threeshift-100c-01,local_search,0.00043916437425650656,1.7496588615797073e-06,1,4.2295627561632036e-05
alns_e2_throughput,1.0,e2-threeshift-100c-01,repair:greedy_insert_repair,0.04824695902061649,0.04824695902061649,1,0.004646632398568437
alns_e2_throughput,250.0,e2-threeshift-100c-01,repair:regret2_insert_repair,8.765436501067597,0.03506174600427039,1,0.8441933348804588
alns_e2_throughput,291.0,e2-threeshift-100c-01,repair_full_check,0.2985074621392414,0.0010257988389664654,1,0.028749054302011776
alns_e2_throughput,7678.0,e2-threeshift-100c-01,route_model_cost,0.184288374701282,2.4002132677947643e-05,1,0.017748690279123736
alns_e2_throughput,5.0,e2-threeshift-100c-01,scan_build,0.004779001028509811,0.0009558002057019621,1,0.00046026239710520567
alns_e2_throughput,5.0,e2-threeshift-100c-01,scan_score,0.0038379159523174167,0.0007675831904634834,1,0.00036962712197882426
