algorithm,best_cost,category,instance,mean_actual_evals,mean_cost,mean_cv_route_count,mean_elapsed_seconds,mean_ev_route_count,mean_route_count,n,std_cost,zero_violation_count
LNS,4958.980083817074,multidepot,e2-multidepot-100c-01,10279.6,4985.382229117155,32.0,300.0145943584037,0.0,32.0,5,20.326324122850775,5
alns_sa_autofit,5287.057473003898,multidepot,e2-multidepot-100c-01,1136.4,5357.841254424143,24.4,301.8181284829974,10.8,35.2,5,44.04939460513061,5
alns_sa_lns_cooling,4833.051014619198,multidepot,e2-multidepot-100c-01,3568.6,4943.68583307673,10.4,301.54870855860065,23.6,34.0,5,84.90654476979124,5
LNS,inf,multidepot,e2-multidepot-200c-01,0.0,inf,0.0,915.0055096585886,0.0,0.0,5,inf,0
alns_sa_autofit,inf,multidepot,e2-multidepot-200c-01,0.0,inf,0.0,915.0182082084008,0.0,0.0,5,inf,0
alns_sa_lns_cooling,inf,multidepot,e2-multidepot-200c-01,0.0,inf,0.0,915.0118696915976,0.0,0.0,5,inf,0
LNS,4918.752359570978,threeshift,e2-threeshift-100c-01,10014.2,4944.487760524058,29.4,300.0147980165959,0.0,29.4,5,16.379543306555338,5
alns_sa_autofit,5170.838665822945,threeshift,e2-threeshift-100c-01,1157.2,5250.266550065125,25.6,301.8487891584053,7.0,32.6,5,70.5271116445101,5
alns_sa_lns_cooling,4874.971895490413,threeshift,e2-threeshift-100c-01,3283.8,5017.082864043614,10.6,301.50336253340356,22.2,32.8,5,125.61576258469752,5
LNS,7439.741686861522,threeshift,e2-threeshift-150c-01,15984.0,7451.7311792108285,48.0,887.8578998663986,0.0,48.0,5,10.088957314569644,5
alns_sa_autofit,8127.154903836861,threeshift,e2-threeshift-150c-01,1338.8,8176.700149536127,43.0,902.3063467418018,11.4,54.4,5,40.393670173339224,5
alns_sa_lns_cooling,7266.048943730232,threeshift,e2-threeshift-150c-01,9382.0,7556.930429241588,14.2,829.9151985166012,38.4,52.6,5,170.6399405599399,5
LNS,8967.188137272007,threeshift,e2-threeshift-200c-01,10018.8,8989.413171897171,62.2,900.0563165420026,0.0,62.2,5,20.858834136807236,5
alns_sa_autofit,10073.969917214288,threeshift,e2-threeshift-200c-01,106.8,inf,11.0,912.6068549749907,3.6,14.6,5,inf,1
alns_sa_lns_cooling,9263.728515880817,threeshift,e2-threeshift-200c-01,4422.2,inf,9.8,890.8893936417996,47.8,57.6,5,inf,4
LNS,2351.3471635682135,threeshift,e2-threeshift-50c-01,16000.0,2358.2478884314546,15.0,183.58701089160166,0.0,15.0,5,5.1461707290066805,5
alns_sa_autofit,2354.0625066015464,threeshift,e2-threeshift-50c-01,6368.6,2378.095810629392,5.4,301.6148267920013,11.6,17.0,5,25.674949882246505,5
alns_sa_lns_cooling,2356.5979501925162,threeshift,e2-threeshift-50c-01,16000.0,2367.0246403279225,4.6,152.96264539160182,12.4,17.0,5,12.621628955543052,5
LNS,3571.071969714279,threeshift,e2-threeshift-75c-01,15589.2,3605.4233308168236,23.6,300.0084914499952,0.0,23.6,5,27.27784811734732,5
alns_sa_autofit,3605.152706994683,threeshift,e2-threeshift-75c-01,2398.2,3686.5906539154785,13.4,301.6598392332031,12.2,25.6,5,57.86255386492456,5
alns_sa_lns_cooling,3456.739667537281,threeshift,e2-threeshift-75c-01,13659.4,3554.4635026133305,5.4,263.3027385335939,20.2,25.6,5,64.78418696894245,5
LNS,5657.585255593724,vanilla,e2-vanilla-100c-01,9779.4,5683.149630795717,31.0,300.022947833396,0.0,31.0,5,16.581736553554062,5
alns_sa_autofit,6061.282699874743,vanilla,e2-vanilla-100c-01,1200.6,6174.2899757791,28.0,301.9726476997952,6.4,34.4,5,99.70636079243859,5
alns_sa_lns_cooling,5708.176712395874,vanilla,e2-vanilla-100c-01,1618.8,5777.111001777184,19.4,301.8479676914052,13.8,33.2,5,65.14508350076011,5
LNS,inf,vanilla,e2-vanilla-200c-01,0.0,inf,0.0,915.0049778583983,0.0,0.0,5,inf,0
alns_sa_autofit,inf,vanilla,e2-vanilla-200c-01,0.0,inf,0.0,915.0172066833999,0.0,0.0,5,inf,0
alns_sa_lns_cooling,inf,vanilla,e2-vanilla-200c-01,0.0,inf,0.0,915.0142167581886,0.0,0.0,5,inf,0
