active_flags,actual_evals,algorithm,best_cost,category,commit_hash,convergence_path,cv_route_count,elapsed_seconds,ev_route_count,eval_budget_backstop,evals_per_second,failure_reason,feasible,gate_status,instance,numpy,python,route_count,runtime_cap_seconds,seed,status,timings,violation_count,worker_stderr_tail,worker_stdout_tail
{},9591,LNS,4997.939742080308,multidepot,c769600e1e746ae20c0e6136ddcf9876ba62f641,baselines/e2_alns/convergence_throughput/e2-multidepot-100c-01__LNS__seed1.csv,32,300.00362504200893,0,16000,31.969613696024474,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,32,300.0,1,HALT_RUNTIME_UNDER_EVAL,{},0,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,4910.539386404546,multidepot,c769600e1e746ae20c0e6136ddcf9876ba62f641,baselines/e2_alns/convergence_throughput/e2-multidepot-100c-01__alns_e2_throughput__seed1.csv,9,144.16270633297972,25,16000,110.98570779494115,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,34,300.0,1,OK,"{""acceptance"": {""count"": 15942.0, ""seconds"": 0.06266363599570468}, ""checkpoint_model_cost"": {""count"": 59.0, ""seconds"": 0.023672331997659057}, ""destroy:random_customer_removal"": {""count"": 1356.0, ""seconds"": 0.4892276337486692}, ""destroy:route_segment_removal"": {""count"": 14463.0, ""seconds"": 6.347343419009121}, ""destroy:shaw_related_removal"": {""count"": 3.0, ""seconds"": 0.03142975002992898}, ""destroy:vehicle_type_swap"": {""count"": 114.0, ""seconds"": 0.966771129926201}, ""destroy:whole_route_removal"": {""count"": 3.0, ""seconds"": 0.0012087100185453892}, ""destroy:worst_customer_removal"": {""count"": 3.0, ""seconds"": 0.0010705830063670874}, ""final_check"": {""count"": 1.0, ""seconds"": 0.001643291994696483}, ""full_candidate_score"": {""count"": 15942.0, ""seconds"": 32.857837924180785}, ""history_model_cost"": {""count"": 60.0, ""seconds"": 0.024295455979881808}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0008273749845102429}, ""local_search"": {""count"": 12593.0, ""seconds"": 0.016016349632991478}, ""repair:greedy_insert_repair"": {""count"": 14574.0, ""seconds"": 59.268371006677626}, ""repair:regret2_insert_repair"": {""count"": 9.0, ""seconds"": 0.13469983398681507}, ""repair:regret3_insert_repair"": {""count"": 1359.0, ""seconds"": 71.45742231563781}, ""repair_full_check"": {""count"": 16063.0, ""seconds"": 26.68655177875189}, ""repair_solution_score"": {""count"": 1338.0, ""seconds"": 0.543245769222267}, ""route_model_cost"": {""count"": 16525.0, ""seconds"": 0.35498862637905404}, ""scan_build"": {""count"": 58.0, ""seconds"": 0.0500873759156093}, ""scan_score"": {""count"": 58.0, ""seconds"": 0.04056216619210318}}",0,,
{},9564,LNS,4979.829534852717,multidepot,c769600e1e746ae20c0e6136ddcf9876ba62f641,baselines/e2_alns/convergence_throughput/e2-multidepot-100c-01__LNS__seed2.csv,32,300.0308340420015,0,16000,31.876723705874607,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,32,300.0,2,HALT_RUNTIME_UNDER_EVAL,{},0,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,5026.901810273887,multidepot,c769600e1e746ae20c0e6136ddcf9876ba62f641,baselines/e2_alns/convergence_throughput/e2-multidepot-100c-01__alns_e2_throughput__seed2.csv,11,122.04268466701615,24,16000,131.10167187533395,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,35,300.0,2,OK,"{""acceptance"": {""count"": 15940.0, ""seconds"": 0.05230862169992179}, ""checkpoint_model_cost"": {""count"": 40.0, ""seconds"": 0.015517204970819876}, ""destroy:random_customer_removal"": {""count"": 918.0, ""seconds"": 0.3213042495481204}, ""destroy:route_segment_removal"": {""count"": 14819.0, ""seconds"": 6.31665828594123}, ""destroy:shaw_related_removal"": {""count"": 3.0, ""seconds"": 0.03200679100700654}, ""destroy:vehicle_type_swap"": {""count"": 194.0, ""seconds"": 1.6442382008535787}, ""destroy:whole_route_removal"": {""count"": 3.0, ""seconds"": 0.0012184170191176236}, ""destroy:worst_customer_removal"": {""count"": 3.0, ""seconds"": 0.0010744160099420696}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0015933750255499035}, ""full_candidate_score"": {""count"": 15940.0, ""seconds"": 31.155605339299655}, ""history_model_cost"": {""count"": 41.0, ""seconds"": 0.016105667978990823}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0008092920179478824}, ""local_search"": {""count"": 11962.0, ""seconds"": 0.013649624597746879}, ""repair:greedy_insert_repair"": {""count"": 1112.0, ""seconds"": 51.91627005880582}, ""repair:regret2_insert_repair"": {""count"": 6.0, ""seconds"": 0.2150557929999195}, ""repair:regret3_insert_repair"": {""count"": 14822.0, ""seconds"": 57.113545310363406}, ""repair_full_check"": {""count"": 15942.0, ""seconds"": 25.090016330825165}, ""repair_solution_score"": {""count"": 2538.0, ""seconds"": 0.986793923570076}, ""route_model_cost"": {""count"": 13712.0, ""seconds"": 0.3118731864960864}, ""scan_build"": {""count"": 60.0, ""seconds"": 0.05168746208073571}, ""scan_score"": {""count"": 60.0, ""seconds"": 0.041940744064049795}}",0,,
{},9609,LNS,4980.79241738446,multidepot,c769600e1e746ae20c0e6136ddcf9876ba62f641,baselines/e2_alns/convergence_throughput/e2-multidepot-100c-01__LNS__seed3.csv,32,300.0211726249836,0,16000,32.02773962893255,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,32,300.0,3,HALT_RUNTIME_UNDER_EVAL,{},0,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,4915.021934624654,multidepot,c769600e1e746ae20c0e6136ddcf9876ba62f641,baselines/e2_alns/convergence_throughput/e2-multidepot-100c-01__alns_e2_throughput__seed3.csv,10,152.45998583300388,24,16000,104.94556924284056,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,34,300.0,3,OK,"{""acceptance"": {""count"": 15941.0, ""seconds"": 0.06648320172098465}, ""checkpoint_model_cost"": {""count"": 64.0, ""seconds"": 0.023878748121205717}, ""destroy:random_customer_removal"": {""count"": 1567.0, ""seconds"": 0.520401616813615}, ""destroy:route_segment_removal"": {""count"": 13892.0, ""seconds"": 5.865059547533747}, ""destroy:shaw_related_removal"": {""count"": 3.0, ""seconds"": 0.03134245899855159}, ""destroy:vehicle_type_swap"": {""count"": 234.0, ""seconds"": 1.9071150039962959}, ""destroy:whole_route_removal"": {""count"": 242.0, ""seconds"": 0.09450663000461645}, ""destroy:worst_customer_removal"": {""count"": 3.0, ""seconds"": 0.001001584023470059}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0015769169840496033}, ""full_candidate_score"": {""count"": 15941.0, ""seconds"": 31.3803779008158}, ""history_model_cost"": {""count"": 65.0, ""seconds"": 0.02437837512115948}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.000813291990198195}, ""local_search"": {""count"": 12498.0, ""seconds"": 0.01619949023006484}, ""repair:greedy_insert_repair"": {""count"": 1809.0, ""seconds"": 83.7138336742355}, ""repair:regret2_insert_repair"": {""count"": 14126.0, ""seconds"": 55.25836779977544}, ""repair:regret3_insert_repair"": {""count"": 6.0, ""seconds"": 0.25479554195771925}, ""repair_full_check"": {""count"": 15972.0, ""seconds"": 25.186593764810823}, ""repair_solution_score"": {""count"": 2797.0, ""seconds"": 1.0841384175582789}, ""route_model_cost"": {""count"": 23825.0, ""seconds"": 0.5036394927301444}, ""scan_build"": {""count"": 59.0, ""seconds"": 0.051848871080437675}, ""scan_score"": {""count"": 59.0, ""seconds"": 0.04188879011780955}}",0,,
{},9608,LNS,5014.515263269098,multidepot,c769600e1e746ae20c0e6136ddcf9876ba62f641,baselines/e2_alns/convergence_throughput/e2-multidepot-100c-01__LNS__seed4.csv,32,300.0208173750143,0,16000,32.02444445043417,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,32,300.0,4,HALT_RUNTIME_UNDER_EVAL,{},0,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,4830.887108352103,multidepot,c769600e1e746ae20c0e6136ddcf9876ba62f641,baselines/e2_alns/convergence_throughput/e2-multidepot-100c-01__alns_e2_throughput__seed4.csv,10,156.00947991700377,23,16000,102.55787025578135,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,33,300.0,4,OK,"{""acceptance"": {""count"": 15942.0, ""seconds"": 0.061721793754259124}, ""checkpoint_model_cost"": {""count"": 62.0, ""seconds"": 0.02251033193897456}, ""destroy:random_customer_removal"": {""count"": 1708.0, ""seconds"": 0.5609045501623768}, ""destroy:route_segment_removal"": {""count"": 13471.0, ""seconds"": 5.592766957124695}, ""destroy:shaw_related_removal"": {""count"": 3.0, ""seconds"": 0.03017466500750743}, ""destroy:vehicle_type_swap"": {""count"": 355.0, ""seconds"": 3.1953746759681962}, ""destroy:whole_route_removal"": {""count"": 402.0, ""seconds"": 0.15402400502352975}, ""destroy:worst_customer_removal"": {""count"": 3.0, ""seconds"": 0.0010185410210397094}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0015291250019799918}, ""full_candidate_score"": {""count"": 15942.0, ""seconds"": 30.769134266563924}, ""history_model_cost"": {""count"": 63.0, ""seconds"": 0.023078535916283727}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0007802089967299253}, ""local_search"": {""count"": 12521.0, ""seconds"": 0.015090532077010721}, ""repair:greedy_insert_repair"": {""count"": 15925.0, ""seconds"": 141.1190052825259}, ""repair:regret2_insert_repair"": {""count"": 6.0, ""seconds"": 0.21083808300318196}, ""repair:regret3_insert_repair"": {""count"": 11.0, ""seconds"": 0.276321502024075}, ""repair_full_check"": {""count"": 16154.0, ""seconds"": 25.023681337712333}, ""repair_solution_score"": {""count"": 4073.0, ""seconds"": 1.5508014258230105}, ""route_model_cost"": {""count"": 21753.0, ""seconds"": 0.5391869473387487}, ""scan_build"": {""count"": 58.0, ""seconds"": 0.0502450049680192}, ""scan_score"": {""count"": 58.0, ""seconds"": 0.040735415008384734}}",0,,
{},9588,LNS,4958.980083817074,multidepot,c769600e1e746ae20c0e6136ddcf9876ba62f641,baselines/e2_alns/convergence_throughput/e2-multidepot-100c-01__LNS__seed5.csv,32,300.034445999976,0,16000,31.956330774103073,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,32,300.0,5,HALT_RUNTIME_UNDER_EVAL,{},0,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,5031.582899263273,multidepot,c769600e1e746ae20c0e6136ddcf9876ba62f641,baselines/e2_alns/convergence_throughput/e2-multidepot-100c-01__alns_e2_throughput__seed5.csv,12,122.29012474999763,22,16000,130.83640263438613,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,34,300.0,5,OK,"{""acceptance"": {""count"": 15942.0, ""seconds"": 0.051741223433054984}, ""checkpoint_model_cost"": {""count"": 49.0, ""seconds"": 0.017637087032198906}, ""destroy:random_customer_removal"": {""count"": 1055.0, ""seconds"": 0.3545600085344631}, ""destroy:route_segment_removal"": {""count"": 14668.0, ""seconds"": 6.092792582814582}, ""destroy:shaw_related_removal"": {""count"": 3.0, ""seconds"": 0.030928333988413215}, ""destroy:vehicle_type_swap"": {""count"": 202.0, ""seconds"": 1.7668015849485528}, ""destroy:whole_route_removal"": {""count"": 11.0, ""seconds"": 0.004173833003733307}, ""destroy:worst_customer_removal"": {""count"": 3.0, ""seconds"": 0.0009988750098273158}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0014970420161262155}, ""full_candidate_score"": {""count"": 15942.0, ""seconds"": 29.544537240755744}, ""history_model_cost"": {""count"": 50.0, ""seconds"": 0.018223041930468753}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0008028750016819686}, ""local_search"": {""count"": 11290.0, ""seconds"": 0.014135269564576447}, ""repair:greedy_insert_repair"": {""count"": 1261.0, ""seconds"": 54.878091322345426}, ""repair:regret2_insert_repair"": {""count"": 599.0, ""seconds"": 2.4125695811526384}, ""repair:regret3_insert_repair"": {""count"": 14082.0, ""seconds"": 52.25723563719657}, ""repair_full_check"": {""count"": 16106.0, ""seconds"": 23.797137830319116}, ""repair_solution_score"": {""count"": 2696.0, ""seconds"": 1.0119220699707512}, ""route_model_cost"": {""count"": 19629.0, ""seconds"": 0.411740911018569}, ""scan_build"": {""count"": 58.0, ""seconds"": 0.051363793085329235}, ""scan_score"": {""count"": 58.0, ""seconds"": 0.04074383099214174}}",0,,
