algorithm,best_cost,category,instance,mean_actual_evals,mean_cost,mean_cv_route_count,mean_elapsed_seconds,mean_ev_route_count,mean_route_count,n,std_cost,zero_violation_count
LNS,4979.829534852717,multidepot,e2-multidepot-100c-01,10848.333333333334,4984.471932833199,32.0,300.0179369723337,0.0,32.0,3,7.223051158275572,3
alns_scan_bridge,4959.858338067529,multidepot,e2-multidepot-100c-01,9592.666666666666,4999.970300059657,10.333333333333334,291.6747755003307,23.666666666666668,34.0,3,58.560799525894794,3
LNS,4941.366750118891,threeshift,e2-threeshift-100c-01,10667.666666666666,4948.249724170671,29.333333333333332,300.01966612500354,0.0,29.333333333333332,3,8.933124941793611,3
alns_scan_bridge,4788.120316320341,threeshift,e2-threeshift-100c-01,6985.0,4933.0372075582345,11.333333333333334,273.8619441810006,20.0,31.333333333333332,3,209.00534111779248,3
LNS,7439.741686861522,threeshift,e2-threeshift-150c-01,16000.0,7454.530435700323,48.0,877.5774218610071,0.0,48.0,3,13.009735947722145,3
alns_scan_bridge,7393.172204615274,threeshift,e2-threeshift-150c-01,14115.666666666666,7589.674708518241,14.666666666666666,587.499978403003,37.333333333333336,52.0,3,171.61809479417454,3
LNS,8967.188137272007,threeshift,e2-threeshift-200c-01,10270.666666666666,8991.31557087445,62.333333333333336,900.0349109446639,0.0,62.333333333333336,3,29.262366515140002,3
alns_scan_bridge,9416.507123693342,threeshift,e2-threeshift-200c-01,16000.0,10100.635715616087,25.0,587.0128696526712,39.666666666666664,64.66666666666667,3,604.3217568031891,3
LNS,3583.38658473714,threeshift,e2-threeshift-75c-01,16000.0,3609.106374784836,23.666666666666668,287.43717233333155,0.0,23.666666666666668,3,26.929742560794335,3
alns_scan_bridge,3482.093633068929,threeshift,e2-threeshift-75c-01,16000.0,3665.900338846408,7.333333333333333,148.71306847233305,17.666666666666668,25.0,3,171.99644471720902,3
LNS,5680.378556455941,vanilla,e2-vanilla-100c-01,10096.666666666666,5691.460232461025,31.0,300.02168429166585,0.0,31.0,3,10.92428999692245,3
alns_scan_bridge,5672.729843666363,vanilla,e2-vanilla-100c-01,11187.333333333334,5806.8533227330345,20.0,286.01281568033545,13.0,33.0,3,116.19819229938886,3
