algorithm,count,instance,label,seconds,seconds_per_count,seed,share_of_elapsed
alns_e2_throughput,251.0,e2-threeshift-100c-01,acceptance,0.01084887026809156,4.322259070952813e-05,1,0.0002761987157246477
alns_e2_throughput,31.0,e2-threeshift-100c-01,checkpoint_model_cost,0.011247126996750012,0.00036281054828225844,1,0.0002863378356759377
alns_e2_throughput,251.0,e2-threeshift-100c-01,destroy:random_customer_removal,0.10072858227067627,0.00040130909271185764,1,0.0025644241632930276
alns_e2_throughput,1.0,e2-threeshift-100c-01,final_check,0.0011363749799784273,0.0011363749799784273,1,2.8930690689038568e-05
alns_e2_throughput,251.0,e2-threeshift-100c-01,full_candidate_score,0.3350881171936635,0.0013350124190982609,1,0.008530925832497843
alns_e2_throughput,31.0,e2-threeshift-100c-01,history_model_cost,0.011585291009396315,0.000373719064819236,1,0.00029494706997307084
alns_e2_throughput,1.0,e2-threeshift-100c-01,initial_reference_score,0.0007664579898118973,0.0007664579898118973,1,1.9513065159012234e-05
alns_e2_throughput,251.0,e2-threeshift-100c-01,local_search,0.00045592032256536186,1.8164156277504457e-06,1,1.1607163184141534e-05
alns_e2_throughput,1.0,e2-threeshift-100c-01,repair:greedy_insert_repair,0.13821966701652855,0.13821966701652855,1,0.0035189004545603474
alns_e2_throughput,250.0,e2-threeshift-100c-01,repair:regret2_insert_repair,37.37841059299535,0.1495136423719814,1,0.9516077477650554
alns_e2_throughput,291.0,e2-threeshift-100c-01,repair_full_check,0.2979734569962602,0.0010239637697465986,1,0.007586032841083839
alns_e2_throughput,368978.0,e2-threeshift-100c-01,route_model_cost,6.264266782236518,1.697734494261587e-05,1,0.1594804249156771
alns_e2_throughput,5.0,e2-threeshift-100c-01,scan_build,0.00481954199494794,0.000963908398989588,1,0.00012269953243894695
alns_e2_throughput,5.0,e2-threeshift-100c-01,scan_score,0.0038586240261793137,0.0007717248052358627,1,9.82357585775125e-05
