active_flags,actual_evals,algorithm,best_cost,category,commit_hash,cv_route_count,elapsed_seconds,ev_route_count,eval_budget_backstop,feasible,gate_status,instance,numpy,python,route_count,runtime_cap_seconds,seed,status,violation_count
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_scan_bridge,5172.62600227998,threeshift,bd57906df953945138c794185941200d3fc5a17b,12,221.5446152920049,20,16000,True,OK,e2-threeshift-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,32,300.0,2,OK,0
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",1739,alns_scan_bridge,4788.120316320341,threeshift,bd57906df953945138c794185941200d3fc5a17b,10,300.03018566699757,21,16000,True,OK,e2-threeshift-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,31,300.0,3,OK,0
{},16000,LNS,7464.210178857276,threeshift,bd57906df953945138c794185941200d3fc5a17b,48,881.6537570000073,0,16000,True,OK,e2-threeshift-150c-01,2.3.5,/opt/anaconda3/bin/python3.13,48,900.0,1,OK,0
{},16000,LNS,7439.741686861522,threeshift,bd57906df953945138c794185941200d3fc5a17b,48,881.8327902080055,0,16000,True,OK,e2-threeshift-150c-01,2.3.5,/opt/anaconda3/bin/python3.13,48,900.0,2,OK,0
{},16000,LNS,7459.639441382174,threeshift,bd57906df953945138c794185941200d3fc5a17b,48,869.2457183750084,0,16000,True,OK,e2-threeshift-150c-01,2.3.5,/opt/anaconda3/bin/python3.13,48,900.0,3,OK,0
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",10347,alns_scan_bridge,7393.172204615274,threeshift,bd57906df953945138c794185941200d3fc5a17b,13,900.0249938750057,38,16000,True,OK,e2-threeshift-150c-01,2.3.5,/opt/anaconda3/bin/python3.13,51,900.0,1,OK,0
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_scan_bridge,7665.725849418639,threeshift,bd57906df953945138c794185941200d3fc5a17b,14,475.3811349170137,39,16000,True,OK,e2-threeshift-150c-01,2.3.5,/opt/anaconda3/bin/python3.13,53,900.0,2,OK,0
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_scan_bridge,7710.12607152081,threeshift,bd57906df953945138c794185941200d3fc5a17b,17,387.09380641698954,35,16000,True,OK,e2-threeshift-150c-01,2.3.5,/opt/anaconda3/bin/python3.13,52,900.0,3,OK,0
{},10208,LNS,8967.188137272007,threeshift,bd57906df953945138c794185941200d3fc5a17b,62,900.0309510840016,0,16000,True,OK,e2-threeshift-200c-01,2.3.5,/opt/anaconda3/bin/python3.13,62,900.0,1,HALT_RUNTIME_UNDER_EVAL,0
{},10311,LNS,8982.893040950465,threeshift,bd57906df953945138c794185941200d3fc5a17b,62,900.0118763749924,0,16000,True,OK,e2-threeshift-200c-01,2.3.5,/opt/anaconda3/bin/python3.13,62,900.0,2,HALT_RUNTIME_UNDER_EVAL,0
