active_flags,actual_evals,algorithm,best_cost,category,commit_hash,convergence_path,cv_route_count,elapsed_seconds,ev_route_count,eval_budget_backstop,failure_reason,feasible,gate_status,instance,numpy,python,route_count,runtime_cap_seconds,seed,status,violation_count,worker_stderr_tail,worker_stdout_tail
{},10051,LNS,4992.79384626242,multidepot,8ae7727ee6fd2b6d68b75a631e0476107e60cb32,baselines/e2_alns/convergence/e2-multidepot-100c-01__LNS__seed1.csv,32,300.0225905420084,0,16000,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,32,300.0,1,HALT_RUNTIME_UNDER_EVAL,0,,
{},10326,LNS,4979.829534852717,multidepot,8ae7727ee6fd2b6d68b75a631e0476107e60cb32,baselines/e2_alns/convergence/e2-multidepot-100c-01__LNS__seed2.csv,32,300.025020333007,0,16000,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,32,300.0,2,HALT_RUNTIME_UNDER_EVAL,0,,
{},10363,LNS,4980.79241738446,multidepot,8ae7727ee6fd2b6d68b75a631e0476107e60cb32,baselines/e2_alns/convergence/e2-multidepot-100c-01__LNS__seed3.csv,32,300.006024250004,0,16000,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,32,300.0,3,HALT_RUNTIME_UNDER_EVAL,0,,
{},10307,LNS,5014.515263269098,multidepot,8ae7727ee6fd2b6d68b75a631e0476107e60cb32,baselines/e2_alns/convergence/e2-multidepot-100c-01__LNS__seed4.csv,32,300.01415566701326,0,16000,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,32,300.0,4,HALT_RUNTIME_UNDER_EVAL,0,,
{},10351,LNS,4958.980083817074,multidepot,8ae7727ee6fd2b6d68b75a631e0476107e60cb32,baselines/e2_alns/convergence/e2-multidepot-100c-01__LNS__seed5.csv,32,300.0051809999859,0,16000,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,32,300.0,5,HALT_RUNTIME_UNDER_EVAL,0,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""autofit"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",1173,alns_sa_autofit,5287.057473003898,multidepot,8ae7727ee6fd2b6d68b75a631e0476107e60cb32,baselines/e2_alns/convergence/e2-multidepot-100c-01__alns_sa_autofit__seed1.csv,28,301.51576099998783,6,16000,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,34,300.0,1,OK,0,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""autofit"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",1124,alns_sa_autofit,5404.760170072212,multidepot,8ae7727ee6fd2b6d68b75a631e0476107e60cb32,baselines/e2_alns/convergence/e2-multidepot-100c-01__alns_sa_autofit__seed2.csv,26,302.07118445797823,10,16000,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,36,300.0,2,OK,0,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""autofit"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",1105,alns_sa_autofit,5381.2520181380405,multidepot,8ae7727ee6fd2b6d68b75a631e0476107e60cb32,baselines/e2_alns/convergence/e2-multidepot-100c-01__alns_sa_autofit__seed3.csv,23,301.8193160830124,13,16000,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,36,300.0,3,OK,0,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""autofit"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",1132,alns_sa_autofit,5358.93471775895,multidepot,8ae7727ee6fd2b6d68b75a631e0476107e60cb32,baselines/e2_alns/convergence/e2-multidepot-100c-01__alns_sa_autofit__seed4.csv,24,301.7130614579946,11,16000,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,35,300.0,4,OK,0,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""autofit"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",1148,alns_sa_autofit,5357.201893147616,multidepot,8ae7727ee6fd2b6d68b75a631e0476107e60cb32,baselines/e2_alns/convergence/e2-multidepot-100c-01__alns_sa_autofit__seed5.csv,21,301.971319416014,14,16000,,True,OK,e2-multidepot-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,35,300.0,5,OK,0,,
