curve,curve_role,condition,arm,network_count,day_count,all_nonlinear_feasible,network_mean_nl_saving_pct,network_positive,network_negative,day_mean_nl_saving_pct,day_positive,day_negative,direction_reversal_count,fixed_start_infeasible_count
NL90_mild,primary,geographic,ownership_fixed,9,28,True,3.977286284357623,9,0,3.977286284357624,19,9,6,4
NL90_mild,primary,geographic,reassignment_allowed,9,28,False,4.207390287990437,9,0,4.207390287990437,19,9,1,48
NL90_mild,primary,mixed,ownership_fixed,9,28,False,3.134238942351843,9,0,3.134238942351843,18,10,4,93
NL90_mild,primary,mixed,reassignment_allowed,9,28,False,3.6877691786504454,9,0,3.687769178650445,16,12,3,144
NL80_stress,secondary_stress,geographic,ownership_fixed,9,28,False,4.0017447930193875,9,0,4.001744793019387,19,9,5,56
NL80_stress,secondary_stress,geographic,reassignment_allowed,9,28,False,4.129890206892171,9,0,4.129890206892171,19,9,4,65
NL80_stress,secondary_stress,mixed,ownership_fixed,9,28,False,2.2437644016162377,7,0,2.243764401616238,16,12,14,283
NL80_stress,secondary_stress,mixed,reassignment_allowed,9,28,False,2.7592233572026825,7,0,2.7592233572026825,17,11,5,236
