curve,condition,arm,instance,cell_count,all_nonlinear_feasible,mean_nl_saving_pct,positive_cells,negative_cells,direction_reversal_count,fixed_start_infeasible_count
NL80_stress,geographic,ownership_fixed,L-main-threeshift-100c-01,28,True,3.6236072488974145,18,9,1,7
NL80_stress,geographic,ownership_fixed,L-main-threeshift-10c-01,28,True,4.2191102904065785,10,12,2,0
NL80_stress,geographic,ownership_fixed,L-main-threeshift-150c-01,28,True,3.490732837509391,17,11,1,10
NL80_stress,geographic,ownership_fixed,L-main-threeshift-15c-01,28,True,4.226718236239559,11,11,0,3
NL80_stress,geographic,ownership_fixed,L-main-threeshift-200c-01,28,True,3.8744435140031266,17,9,0,0
NL80_stress,geographic,ownership_fixed,L-main-threeshift-20c-01,28,True,3.1613112577153712,12,11,0,8
NL80_stress,geographic,ownership_fixed,L-main-threeshift-25c-01,28,False,5.4319348398736595,16,7,0,28
NL80_stress,geographic,ownership_fixed,L-main-threeshift-50c-01,28,True,3.6324317734966955,12,12,1,0
NL80_stress,geographic,ownership_fixed,L-main-threeshift-75c-01,28,True,4.355413139032687,20,8,0,0
NL80_stress,geographic,reassignment_allowed,L-main-threeshift-100c-01,28,True,4.000988504071299,18,10,1,7
NL80_stress,geographic,reassignment_allowed,L-main-threeshift-10c-01,28,True,5.4758612435258565,17,6,0,0
NL80_stress,geographic,reassignment_allowed,L-main-threeshift-150c-01,28,True,3.42300542438787,17,11,0,12
NL80_stress,geographic,reassignment_allowed,L-main-threeshift-15c-01,28,True,4.1091270640303454,11,11,0,0
NL80_stress,geographic,reassignment_allowed,L-main-threeshift-200c-01,28,False,3.9174391132239252,18,8,0,28
NL80_stress,geographic,reassignment_allowed,L-main-threeshift-20c-01,28,True,3.425113252532779,10,11,2,4
NL80_stress,geographic,reassignment_allowed,L-main-threeshift-25c-01,28,True,4.445796461169382,15,9,0,0
NL80_stress,geographic,reassignment_allowed,L-main-threeshift-50c-01,28,True,4.171709168146417,17,10,1,7
NL80_stress,geographic,reassignment_allowed,L-main-threeshift-75c-01,28,True,4.19997163094166,17,11,0,7
NL80_stress,mixed,ownership_fixed,L-main-threeshift-100c-01,28,False,0.0,0,0,0,84
NL80_stress,mixed,ownership_fixed,L-main-threeshift-10c-01,28,False,2.7475201927470514,8,9,2,60
NL80_stress,mixed,ownership_fixed,L-main-threeshift-150c-01,28,False,0.0,0,0,0,84
NL80_stress,mixed,ownership_fixed,L-main-threeshift-15c-01,28,True,3.6971186120730692,15,8,0,0
NL80_stress,mixed,ownership_fixed,L-main-threeshift-200c-01,28,True,2.796075138386994,15,7,6,21
NL80_stress,mixed,ownership_fixed,L-main-threeshift-20c-01,28,True,1.6821465816780155,12,11,2,12
NL80_stress,mixed,ownership_fixed,L-main-threeshift-25c-01,28,True,3.061269107732042,13,11,1,4
NL80_stress,mixed,ownership_fixed,L-main-threeshift-50c-01,28,True,3.1226173841569254,17,9,0,0
NL80_stress,mixed,ownership_fixed,L-main-threeshift-75c-01,28,True,3.087132597772045,12,9,3,18
NL80_stress,mixed,reassignment_allowed,L-main-threeshift-100c-01,28,False,0.0,0,0,0,84
NL80_stress,mixed,reassignment_allowed,L-main-threeshift-10c-01,28,True,4.949768063977755,14,9,0,0
NL80_stress,mixed,reassignment_allowed,L-main-threeshift-150c-01,28,False,0.0,0,0,0,84
NL80_stress,mixed,reassignment_allowed,L-main-threeshift-15c-01,28,True,4.390529082119003,11,11,0,0
NL80_stress,mixed,reassignment_allowed,L-main-threeshift-200c-01,28,False,2.94533415925607,18,10,1,36
NL80_stress,mixed,reassignment_allowed,L-main-threeshift-20c-01,28,True,2.4457282672209324,9,9,2,11
NL80_stress,mixed,reassignment_allowed,L-main-threeshift-25c-01,28,True,3.4538732171640874,7,15,1,6
NL80_stress,mixed,reassignment_allowed,L-main-threeshift-50c-01,28,True,3.593448142697011,15,8,1,4
NL80_stress,mixed,reassignment_allowed,L-main-threeshift-75c-01,28,True,3.0543292823892836,18,10,0,11
NL90_mild,geographic,ownership_fixed,L-main-threeshift-100c-01,28,True,3.688469775881265,18,9,1,4
NL90_mild,geographic,ownership_fixed,L-main-threeshift-10c-01,28,True,4.2191102904065785,10,12,2,0
NL90_mild,geographic,ownership_fixed,L-main-threeshift-150c-01,28,True,3.5250582582299037,17,11,1,0
NL90_mild,geographic,ownership_fixed,L-main-threeshift-15c-01,28,True,4.28434302035571,11,11,1,0
NL90_mild,geographic,ownership_fixed,L-main-threeshift-200c-01,28,True,3.8744435140031266,17,9,0,0
NL90_mild,geographic,ownership_fixed,L-main-threeshift-20c-01,28,True,3.408502282530765,11,12,0,0
NL90_mild,geographic,ownership_fixed,L-main-threeshift-25c-01,28,True,4.807804505281881,15,8,0,0
NL90_mild,geographic,ownership_fixed,L-main-threeshift-50c-01,28,True,3.6324317734966955,12,12,1,0
NL90_mild,geographic,ownership_fixed,L-main-threeshift-75c-01,28,True,4.355413139032687,20,8,0,0
NL90_mild,geographic,reassignment_allowed,L-main-threeshift-100c-01,28,True,4.148821100963383,18,10,0,4
NL90_mild,geographic,reassignment_allowed,L-main-threeshift-10c-01,28,True,5.4758612435258565,17,6,0,0
NL90_mild,geographic,reassignment_allowed,L-main-threeshift-150c-01,28,True,3.5417992388201007,17,11,0,4
NL90_mild,geographic,reassignment_allowed,L-main-threeshift-15c-01,28,True,4.1091270640303454,11,11,0,0
NL90_mild,geographic,reassignment_allowed,L-main-threeshift-200c-01,28,False,3.9174391132239252,18,8,0,28
NL90_mild,geographic,reassignment_allowed,L-main-threeshift-20c-01,28,True,3.635369176673387,10,11,1,4
NL90_mild,geographic,reassignment_allowed,L-main-threeshift-25c-01,28,True,4.445796461169382,15,9,0,0
NL90_mild,geographic,reassignment_allowed,L-main-threeshift-50c-01,28,True,4.304108349165866,17,10,0,4
NL90_mild,geographic,reassignment_allowed,L-main-threeshift-75c-01,28,True,4.288190844341686,17,11,0,4
NL90_mild,mixed,ownership_fixed,L-main-threeshift-100c-01,28,True,2.5201212061192533,16,7,0,21
NL90_mild,mixed,ownership_fixed,L-main-threeshift-10c-01,28,False,3.672261407167202,8,11,1,32
NL90_mild,mixed,ownership_fixed,L-main-threeshift-150c-01,28,True,3.3525301215954135,16,7,0,12
