instance,condition,arm,seed,operating_day,curve,curve_role,replay_rule,action_count,infeasible_action_count,plan_feasible,above_constant_power_end_count,above_constant_power_end_pct,charging_kwh,actual_charging_emissions_kg,forecast_charging_emissions_kg,mean_duration_increase_minute,median_duration_increase_minute,max_duration_increase_minute,max_exact_concurrency,max_hourly_calendar_row_occupancy,minimum_station_capacity,exact_capacity_excess,half_hour_capacity_excess
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-02,NL90_mild,primary,L->NL-F,26,0,True,0,0.0,2214.3105805631903,119.91752691281145,102.26337589416839,-1.4347497549002022e-14,0.0,6.063298011819522e-14,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-02,NL90_mild,primary,L->NL-E,26,0,True,0,0.0,2214.3105805631903,120.82699780181744,113.3748928710177,-1.4347497549002022e-14,0.0,6.063298011819522e-14,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-02,NL90_mild,primary,L->NL-C,26,0,True,0,0.0,2214.3105805631903,119.91752691281145,102.26337589416839,-1.4347497549002022e-14,0.0,6.063298011819522e-14,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-02,NL80_stress,secondary_stress,L->NL-F,26,0,True,1,3.8461538461538463,2214.3105805631903,119.91581833431334,102.26850162966271,0.3584430415613563,0.0,9.319519080595516,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-02,NL80_stress,secondary_stress,L->NL-E,26,0,True,1,3.8461538461538463,2214.3105805631903,120.82699780181746,113.3748928710177,0.3584430415613563,0.0,9.319519080595516,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-02,NL80_stress,secondary_stress,L->NL-C,26,0,True,1,3.8461538461538463,2214.3105805631903,119.88335534284927,102.26679305116461,0.3584430415613563,0.0,9.319519080595516,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-03,NL90_mild,primary,L->NL-F,26,0,True,0,0.0,2214.3105805631903,149.22008807985605,136.79061269020465,-1.4347497549002022e-14,0.0,6.063298011819522e-14,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-03,NL90_mild,primary,L->NL-E,26,0,True,0,0.0,2214.3105805631903,148.81934206905143,146.57268512208276,-1.4347497549002022e-14,0.0,6.063298011819522e-14,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-03,NL90_mild,primary,L->NL-C,26,0,True,0,0.0,2214.3105805631903,149.22008807985605,136.79061269020465,-1.4347497549002022e-14,0.0,6.063298011819522e-14,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-03,NL80_stress,secondary_stress,L->NL-F,26,0,True,1,3.8461538461538463,2214.3105805631903,149.23204812934281,136.80598989668763,0.3584430415613563,0.0,9.319519080595516,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-03,NL80_stress,secondary_stress,L->NL-E,26,0,True,1,3.8461538461538463,2214.3105805631903,148.81934206905146,146.57268512208276,0.3584430415613563,0.0,9.319519080595516,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-03,NL80_stress,secondary_stress,L->NL-C,26,0,True,1,3.8461538461538463,2214.3105805631903,149.2645111208069,136.7974470041971,0.3584430415613563,0.0,9.319519080595516,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-04,NL90_mild,primary,L->NL-F,26,0,True,0,0.0,2214.3105805631903,144.15463328943142,137.3373026981694,-1.4347497549002022e-14,0.0,6.063298011819522e-14,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-04,NL90_mild,primary,L->NL-E,26,0,True,0,0.0,2214.3105805631903,145.63187619566293,140.59918276606058,-1.4347497549002022e-14,0.0,6.063298011819522e-14,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-04,NL90_mild,primary,L->NL-C,26,0,True,0,0.0,2214.3105805631903,144.15463328943142,137.3373026981694,-1.4347497549002022e-14,0.0,6.063298011819522e-14,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-04,NL80_stress,secondary_stress,L->NL-F,26,0,True,1,3.8461538461538463,2214.3105805631903,144.15463328943142,137.3373026981694,0.3584430415613563,0.0,9.319519080595516,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-04,NL80_stress,secondary_stress,L->NL-E,26,0,True,1,3.8461538461538463,2214.3105805631903,145.63187619566293,140.59918276606058,0.3584430415613563,0.0,9.319519080595516,5,5,221,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,1,2025-11-04,NL80_stress,secondary_stress,L->NL-C,26,0,True,1,3.8461538461538463,2214.3105805631903,144.15463328943142,137.3373026981694,0.3584430415613563,0.0,9.319519080595516,5,5,221,0,0
