curve,condition,arm,seed_day_plan_count,nonlinear_infeasible_count,nonlinear_infeasible_pct,fixed_start_infeasible_count,direction_reversal_count,feasible_total_reduction_negative_count,feasible_total_reduction_mean_pct,affected_instances
NL90_mild,geographic,ownership_fixed,756,0,0.0,4,6,231,0.6318038804161803,
NL90_mild,geographic,reassignment_allowed,756,28,3.7037037037037037,48,1,240,0.5977928598936189,L-main-threeshift-200c-01
NL90_mild,mixed,ownership_fixed,756,28,3.7037037037037037,93,4,211,0.37372315548435314,L-main-threeshift-10c-01
NL90_mild,mixed,reassignment_allowed,756,112,14.814814814814815,144,3,204,0.5850254229369662,L-main-threeshift-100c-01|L-main-threeshift-150c-01
NL80_stress,geographic,ownership_fixed,756,28,3.7037037037037037,56,5,221,0.6216561197088288,L-main-threeshift-25c-01
NL80_stress,geographic,reassignment_allowed,756,28,3.7037037037037037,65,4,237,0.5850107383509361,L-main-threeshift-200c-01
NL80_stress,mixed,ownership_fixed,756,224,29.62962962962963,283,14,152,0.33472684464836355,L-main-threeshift-100c-01|L-main-threeshift-10c-01|L-main-threeshift-150c-01
NL80_stress,mixed,reassignment_allowed,756,196,25.925925925925927,236,5,171,0.5807802951430185,L-main-threeshift-100c-01|L-main-threeshift-150c-01|L-main-threeshift-200c-01
