curve,condition,arm,operating_day,cell_count,all_nonlinear_feasible,mean_nl_saving_pct,positive_cells,negative_cells,direction_reversal_count,fixed_start_infeasible_count
NL80_stress,geographic,ownership_fixed,2025-11-02,9,False,0.6567830865918096,8,1,0,1
NL80_stress,geographic,ownership_fixed,2025-11-03,9,False,-0.5829938020463841,0,9,0,1
NL80_stress,geographic,ownership_fixed,2025-11-04,9,False,0.4936441087476391,7,2,0,1
NL80_stress,geographic,ownership_fixed,2025-11-05,9,False,0.020533628229985723,3,6,0,1
NL80_stress,geographic,ownership_fixed,2025-11-06,9,False,0.3309692584206693,7,2,2,1
NL80_stress,geographic,ownership_fixed,2025-11-07,9,False,0.008021006513456596,3,1,0,1
NL80_stress,geographic,ownership_fixed,2025-11-08,9,False,-1.415886178816776,0,9,0,1
NL80_stress,geographic,ownership_fixed,2025-11-09,9,False,-0.22826652853038723,1,8,0,1
NL80_stress,geographic,ownership_fixed,2025-11-10,9,False,7.349977428426911,9,0,0,1
NL80_stress,geographic,ownership_fixed,2025-11-11,9,False,-0.6631778292430879,0,9,0,1
NL80_stress,geographic,ownership_fixed,2025-11-12,9,False,28.187505665131077,9,0,0,9
NL80_stress,geographic,ownership_fixed,2025-11-13,9,False,-0.008481951656872736,0,2,0,1
NL80_stress,geographic,ownership_fixed,2025-11-14,9,False,0.5365955333496757,7,0,0,1
NL80_stress,geographic,ownership_fixed,2025-11-15,9,False,-1.7466223791703606,0,9,0,1
NL80_stress,geographic,ownership_fixed,2025-11-16,9,False,0.47927813024477545,7,2,1,1
NL80_stress,geographic,ownership_fixed,2025-11-17,9,False,1.256837880024935,7,2,0,1
NL80_stress,geographic,ownership_fixed,2025-11-18,9,False,-0.5899322461940594,1,8,0,1
NL80_stress,geographic,ownership_fixed,2025-11-19,9,False,2.099266081921076,7,2,2,5
NL80_stress,geographic,ownership_fixed,2025-11-20,9,False,-0.33321518570584685,0,9,0,1
NL80_stress,geographic,ownership_fixed,2025-11-21,9,False,0.14189711334371513,4,1,0,1
NL80_stress,geographic,ownership_fixed,2025-11-22,9,False,21.95079604834889,9,0,0,9
NL80_stress,geographic,ownership_fixed,2025-11-23,9,False,0.24539382207972738,5,4,0,1
NL80_stress,geographic,ownership_fixed,2025-11-24,9,False,16.47112625530226,9,0,0,1
NL80_stress,geographic,ownership_fixed,2025-11-25,9,False,-0.023137141604229774,0,3,0,1
NL80_stress,geographic,ownership_fixed,2025-11-26,9,False,0.10045894402599603,3,1,0,1
NL80_stress,geographic,ownership_fixed,2025-11-27,9,False,27.748041771453316,9,0,0,9
NL80_stress,geographic,ownership_fixed,2025-11-28,9,False,0.6627639559453781,9,0,0,1
NL80_stress,geographic,ownership_fixed,2025-11-29,9,False,8.900677729409544,9,0,0,1
NL80_stress,geographic,reassignment_allowed,2025-11-02,9,False,0.8267623232252527,9,0,0,1
NL80_stress,geographic,reassignment_allowed,2025-11-03,9,False,-0.629325046546506,0,9,0,1
NL80_stress,geographic,reassignment_allowed,2025-11-04,9,False,0.37811139148269457,8,1,0,1
NL80_stress,geographic,reassignment_allowed,2025-11-05,9,False,0.046079754148750304,6,3,0,1
NL80_stress,geographic,reassignment_allowed,2025-11-06,9,False,0.3731282173206756,7,2,0,1
NL80_stress,geographic,reassignment_allowed,2025-11-07,9,False,0.012203640476251517,3,2,0,1
NL80_stress,geographic,reassignment_allowed,2025-11-08,9,False,-1.273791995688926,0,9,0,1
