stage,status,decision,detail,workers
protected_e2_v7_release,PASS,PASS_E2_V7_MECHANICAL_INTEGRITY_RELEASE,release passed and protected processes exited,
g0_real_bundle,STOP,HALT_G0_REAL_BUNDLE_WIRING,returncode=2,
