group_type,group_value,metric,statistic,value,unit
all,ALL,demand_kg,n,5805,kg
all,ALL,demand_kg,min,139.000000,kg
all,ALL,demand_kg,p05,139.000000,kg
all,ALL,demand_kg,p25,208.000000,kg
all,ALL,demand_kg,median,278.000000,kg
all,ALL,demand_kg,mean,268.604651,kg
all,ALL,demand_kg,p75,347.000000,kg
all,ALL,demand_kg,p95,417.000000,kg
all,ALL,demand_kg,max,417.000000,kg
all,ALL,demand_kg,std,97.258303,kg
all,ALL,time_window_early_minute,n,5805,minute_after_midnight
all,ALL,time_window_early_minute,min,667.784219,minute_after_midnight
all,ALL,time_window_early_minute,p05,701.110132,minute_after_midnight
all,ALL,time_window_early_minute,p25,758.375425,minute_after_midnight
all,ALL,time_window_early_minute,median,813.661531,minute_after_midnight
all,ALL,time_window_early_minute,mean,839.404926,minute_after_midnight
all,ALL,time_window_early_minute,p75,930.635851,minute_after_midnight
all,ALL,time_window_early_minute,p95,1023.627111,minute_after_midnight
all,ALL,time_window_early_minute,max,1072.101186,minute_after_midnight
all,ALL,time_window_early_minute,std,101.629934,minute_after_midnight
all,ALL,time_window_width_minute,n,5805,minute
all,ALL,time_window_width_minute,min,30.015509,minute
all,ALL,time_window_width_minute,p05,31.491693,minute
all,ALL,time_window_width_minute,p25,38.280896,minute
all,ALL,time_window_width_minute,median,45.833296,minute
all,ALL,time_window_width_minute,mean,45.316069,minute
all,ALL,time_window_width_minute,p75,52.358796,minute
all,ALL,time_window_width_minute,p95,58.406011,minute
all,ALL,time_window_width_minute,max,59.974984,minute
all,ALL,time_window_width_minute,std,8.443429,minute
all,ALL,service_minutes,n,5805,minute
all,ALL,service_minutes,min,6.000000,minute
all,ALL,service_minutes,p05,6.000000,minute
all,ALL,service_minutes,p25,9.000000,minute
all,ALL,service_minutes,median,12.000000,minute
all,ALL,service_minutes,mean,11.603101,minute
all,ALL,service_minutes,p75,15.000000,minute
all,ALL,service_minutes,p95,18.000000,minute
all,ALL,service_minutes,max,18.000000,minute
all,ALL,service_minutes,std,4.198995,minute
all,ALL,demand_kg,value_139_count,1334,order
all,ALL,demand_kg,value_139_share,0.229802,fraction
all,ALL,demand_kg,value_208_count,1166,order
all,ALL,demand_kg,value_208_share,0.200861,fraction
