instance_id,seed,contractor,revenue_assignment,owned_customer_revenue_cny,actual_service_revenue_cny,actual_minus_owned_revenue_cny,actual_service_cost_cny,pre_settlement_profit_cny,standalone_profit_cny,pre_settlement_gain_over_standalone_cny,pre_settlement_below_standalone,customers_served,demand_served_kg,cost_fixed_cny,cost_distance_cny,cost_fuel_cny,cost_electricity_cny,cost_occupancy_cny,cost_cross_site_cny,cost_carbon_cny
cn-prd-150c-01-V2-LOCATIONS,1,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,7395.0,7084.5,-310.5,800.3858475745051,6284.1141524254945,5816.605792349326,467.5083600761682,False,17,4723.0,510.0,154.83404241426084,124.38110818500152,7.159781767764214,0.0,0.0,4.010915207478498
cn-prd-150c-01-V2-LOCATIONS,1,D_foshan,REVENUE_TO_SERVING_CONTRACTOR,5731.5,7293.0,1561.5,924.7923411107357,6368.207658889264,4546.532044453011,1821.6756144362535,False,20,4862.0,510.0,211.78181615575272,184.9161791704313,12.034509051669941,0.0,0.0,6.059836732881727
cn-prd-150c-01-V2-LOCATIONS,1,D_guangzhou,REVENUE_TO_SERVING_CONTRACTOR,23025.0,22084.5,-940.5,2536.374753907782,19548.12524609222,19304.1653761052,243.95986998701846,False,54,14723.0,1530.0,532.433117864181,407.17420225914174,53.16012629181579,0.0,0.0,13.607307492643908
cn-prd-150c-01-V2-LOCATIONS,1,D_shenzhen,REVENUE_TO_SERVING_CONTRACTOR,24165.0,23854.5,-310.5,2537.49158125969,21317.00841874031,20127.728755948,1189.2796627923126,False,59,15903.0,1700.0,428.89416003454727,374.2794883282806,22.862463875086526,0.0,0.0,11.455469021775569
cn-prd-150c-01-V2-LOCATIONS,2,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,7395.0,7291.5,-103.5,886.336576918547,6405.1634230814525,5821.249926130483,583.9134969509696,False,17,4861.0,510.0,222.79734968701297,130.34128999600546,18.13166462575441,0.0,0.0,5.066272609774313
cn-prd-150c-01-V2-LOCATIONS,2,D_foshan,REVENUE_TO_SERVING_CONTRACTOR,5731.5,7291.5,1560.0,912.114096732267,6379.385903267733,4546.532044453011,1832.8538588147221,False,20,4861.0,510.0,202.07691391922805,183.44734752856164,10.68057914853505,0.0,0.0,5.909256135942341
cn-prd-150c-01-V2-LOCATIONS,2,D_guangzhou,REVENUE_TO_SERVING_CONTRACTOR,23025.0,19378.5,-3646.5,2191.2764203470965,17187.223579652902,19321.964271369194,-2134.7406917162916,True,48,12919.0,1360.0,444.30204650053105,334.6923418585276,41.1093365312133,0.0,0.0,11.172695456824673
cn-prd-150c-01-V2-LOCATIONS,2,D_shenzhen,REVENUE_TO_SERVING_CONTRACTOR,24165.0,26355.0,2190.0,2883.6134676510765,23471.386532348923,20131.665696900534,3339.7208354483882,False,65,17570.0,1870.0,528.6035034932958,434.90640729699436,36.530438281763296,0.0,0.0,13.573118579022841
cn-prd-150c-01-V2-LOCATIONS,3,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,7395.0,4165.5,-3229.5,486.6474566482985,3678.8525433517016,5816.605792349326,-2137.7532489976247,True,9,2777.0,340.0,85.8756783076283,53.63928936120126,5.218138187398902,0.0,0.0,1.9143507920700875
cn-prd-150c-01-V2-LOCATIONS,3,D_foshan,REVENUE_TO_SERVING_CONTRACTOR,5731.5,4896.0,-835.5,576.571485046613,4319.428514953387,4546.532044453011,-227.10352949962362,True,12,3264.0,340.0,131.67464009398125,90.96726737847051,10.552987837846477,0.0,0.0,3.376589736314872
cn-prd-150c-01-V2-LOCATIONS,3,D_guangzhou,REVENUE_TO_SERVING_CONTRACTOR,23025.0,24900.0,1875.0,2891.510362113619,22008.48963788638,19298.11189746239,2710.377740423992,False,64,16600.0,1700.0,624.2085451133081,489.2718147649983,62.024248715215734,0.0,0.0,16.00575352009688
cn-prd-150c-01-V2-LOCATIONS,3,D_shenzhen,REVENUE_TO_SERVING_CONTRACTOR,24165.0,26355.0,2190.0,2871.5991388134867,23483.400861186514,20124.383353547786,3359.0175076387277,False,65,17570.0,1870.0,520.548595442436,438.362929372536,28.90955407648142,0.0,0.0,13.778059922033265
cn-prd-150c-01-V2-LOCATIONS,4,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,7395.0,7500.0,105.0,798.027343511749,6701.972656488251,5816.605792349326,885.3668641389249,False,17,5000.0,510.0,153.1349499494376,124.16664576443532,6.754924716418078,0.0,0.0,3.970823081458009
cn-prd-150c-01-V2-LOCATIONS,4,D_foshan,REVENUE_TO_SERVING_CONTRACTOR,5731.5,9687.0,3955.5,1277.3112133593052,8409.688786640694,4546.532044453011,3863.1567421876834,False,26,6458.0,680.0,292.01350260635814,284.3271210309619,12.187023584826711,0.0,0.0,8.783566137158457
cn-prd-150c-01-V2-LOCATIONS,4,D_guangzhou,REVENUE_TO_SERVING_CONTRACTOR,23025.0,19275.0,-3750.0,2207.141918584673,17067.85808141533,19271.49841846043,-2203.6403370451008,True,48,12850.0,1360.0,452.3525248679042,340.8555158688809,42.46053633869006,0.0,0.0,11.47334150919762
cn-prd-150c-01-V2-LOCATIONS,4,D_shenzhen,REVENUE_TO_SERVING_CONTRACTOR,24165.0,23854.5,-310.5,2541.992757084475,21312.507242915526,20134.514994263212,1177.9922486523137,False,59,15903.0,1700.0,428.69389165578235,379.18483985969414,22.56004832633331,0.0,0.0,11.553977242665459
cn-prd-150c-01-V2-LOCATIONS,5,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,7395.0,5001.0,-2394.0,513.1332278314703,4487.86677216853,5825.5700704426745,-1337.7032982741448,True,12,3334.0,340.0,101.48392011239795,62.36905266658908,6.975761171157256,0.0,0.0,2.3044938813260276
cn-prd-150c-01-V2-LOCATIONS,5,D_foshan,REVENUE_TO_SERVING_CONTRACTOR,5731.5,9792.0,4060.5,1263.1768701812953,8528.823129818706,4546.532044453011,3982.291085365695,False,25,6528.0,680.0,284.9519681503806,277.53028746804563,12.103259189472533,0.0,0.0,8.591355373396443
cn-prd-150c-01-V2-LOCATIONS,5,D_guangzhou,REVENUE_TO_SERVING_CONTRACTOR,23025.0,21669.0,-1356.0,2518.938919387266,19150.061080612733,19293.99638238927,-143.9353017765352,True,54,14446.0,1530.0,515.2403354378582,415.06412003052435,45.093258011855475,0.0,0.0,13.541205907028255
cn-prd-150c-01-V2-LOCATIONS,5,D_shenzhen,REVENUE_TO_SERVING_CONTRACTOR,24165.0,23854.5,-310.5,2546.245763665593,21308.254236334407,20132.166212210755,1176.0880241236518,False,59,15903.0,1700.0,434.34640488814205,373.624942338422,27.03396201897752,0.0,0.0,11.240454420051902
cn-prd-150c-01-V2-LOCATIONS,6,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,7395.0,6876.0,-519.0,784.9470354347008,6091.0529645653,5816.605792349326,274.4471722159733,False,16,4584.0,510.0,147.15751202289255,116.6328042169155,7.342233567237408,0.0,0.0,3.8144856276553236
cn-prd-150c-01-V2-LOCATIONS,6,D_foshan,REVENUE_TO_SERVING_CONTRACTOR,5731.5,7396.5,1665.0,931.3026726125016,6465.197327387498,4546.532044453011,1918.6652829344875,False,20,4931.0,510.0,218.01559948767039,184.6662488152187,12.527556845413343,0.0,0.0,6.093267464199089
cn-prd-150c-01-V2-LOCATIONS,6,D_guangzhou,REVENUE_TO_SERVING_CONTRACTOR,23025.0,22189.5,-835.5,2587.7846323003187,19601.715367699682,19304.58495910856,297.1304085911215,False,55,14793.0,1530.0,578.8421679665593,408.37464994830316,56.35648028064101,0.0,0.0,14.21133410481504
cn-prd-150c-01-V2-LOCATIONS,6,D_shenzhen,REVENUE_TO_SERVING_CONTRACTOR,24165.0,23854.5,-310.5,2551.1572622376466,21303.342737762352,20121.520965667318,1181.8217720950342,False,59,15903.0,1700.0,437.44985414819115,379.12086055140037,23.185698585593396,0.0,0.0,11.400848952461574
cn-prd-150c-01-V2-LOCATIONS,7,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,7395.0,9480.0,2085.0,1167.1019735120499,8312.89802648795,5816.605792349326,2496.292234138624,False,22,6320.0,680.0,271.6301805011534,191.44487223735428,17.356859512250306,0.0,0.0,6.670061261292059
