algorithm,instance,seed,time_limit_seconds,elapsed_seconds,cost,route_count,feasible,solution_sha256,diagnostics
official_vidal_hgs_cvrp,X-n157-k13,3,3.0,3.036778416018933,16876.0,13,True,d04e7d2222207eb9d5383427c3d18d7b8e5a2adefc04453a4e8f7be28c718f27,{}
mechanism_expert_hgs_alns,X-n157-k13,3,3.0,3.084640124987345,16877.0,13,True,5fd08ab7c3043cd6944d4dd423b4f101e004be5c341c8b5f5acd5567d5c7e500,"{""accepted"": 4, ""attempts"": 175, ""consecutive_failures"": 12, ""detour_accepted"": 0, ""detour_attempts"": 0, ""expert_best"": 16901.0, ""expert_cpu_seconds"": 0.081481, ""expert_cpu_share"": 0.0271561, ""failure_stop"": 40, ""hgs_best"": 16877.0, ""iterations"": 2881, ""route_accepted"": 2, ""route_attempts"": 86, ""string_accepted"": 2, ""string_attempts"": 89, ""weights"": [0.5, 1.0, 0.5]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n157-k13,3,3.0,3.0002275420119986,17045.0,13,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n190-k8,1,3.0,3.0452785420347936,17247.0,8,True,23d9a461e76bb1d3c70dc9a21d61ca1fecd87386fda1b5bd3edb00bc9b3575b3,{}
mechanism_expert_hgs_alns,X-n190-k8,1,3.0,3.0725297500030138,17157.0,8,True,f24cf8571a0118fb1df07b66d839b982ba53fa8498d22a493871349665ff16b4,"{""accepted"": 10, ""attempts"": 80, ""consecutive_failures"": 1, ""detour_accepted"": 0, ""detour_attempts"": 0, ""expert_best"": 17195.0, ""expert_cpu_seconds"": 0.089352, ""expert_cpu_share"": 0.0297692, ""failure_stop"": 40, ""hgs_best"": 17157.0, ""iterations"": 1153, ""route_accepted"": 1, ""route_attempts"": 31, ""string_accepted"": 9, ""string_attempts"": 49, ""weights"": [0.5019, 1.0, 1.04]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n190-k8,1,3.0,3.000541165994946,17630.0,8,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n190-k8,2,3.0,3.0435766659793444,17136.0,8,True,7fd6b9d82411789ea6d0a3d278fc75bf5d603688b1413742d929b961f93610dd,{}
mechanism_expert_hgs_alns,X-n190-k8,2,3.0,3.145407875010278,17092.0,8,True,f93a1da34a2357b29daaf89cc113d1cf87e53e968f58b5c6f8c02395e58e7cf3,"{""accepted"": 8, ""attempts"": 80, ""consecutive_failures"": 0, ""detour_accepted"": 0, ""detour_attempts"": 0, ""expert_best"": 17183.0, ""expert_cpu_seconds"": 0.080579, ""expert_cpu_share"": 0.0268537, ""failure_stop"": 40, ""hgs_best"": 17092.0, ""iterations"": 1159, ""route_accepted"": 0, ""route_attempts"": 25, ""string_accepted"": 8, ""string_attempts"": 55, ""weights"": [0.5019, 1.0, 1.683]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n190-k8,2,3.0,3.0007733330130577,17596.0,8,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n190-k8,3,3.0,3.050907124998048,17116.0,8,True,df6006ce1e676a0f31906ddd349a1462083691d0df88eadb070297a0f80ef7b8,{}
mechanism_expert_hgs_alns,X-n190-k8,3,3.0,3.050213124952279,17201.0,8,True,f07dd0b4e8bd731a2c8349bdfaf5045b4afb23e72b9af830db887ea4c7b2afa1,"{""accepted"": 7, ""attempts"": 76, ""consecutive_failures"": 0, ""detour_accepted"": 0, ""detour_attempts"": 0, ""expert_best"": 17251.0, ""expert_cpu_seconds"": 0.081023, ""expert_cpu_share"": 0.0269618, ""failure_stop"": 40, ""hgs_best"": 17201.0, ""iterations"": 1222, ""route_accepted"": 4, ""route_attempts"": 39, ""string_accepted"": 3, ""string_attempts"": 37, ""weights"": [0.5282, 1.0, 0.5197]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n190-k8,3,3.0,3.0001709579955786,17773.0,8,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
