algorithm,best,finite_n,instance,mean,mean_evals,mean_evals_per_second,mean_seconds,n,status_counts,std,zero_violations
LNS,3960.9142264324673,1,e2-multidepot-100c-01,3960.9142264324673,300.0,26.985599675255468,11.11704033299975,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,3960.9142264324673,1,e2-multidepot-100c-01,3960.9142264324673,300.0,40.74222764343258,7.363367624999228,1,"{""OK"": 1}",0.0,1
LNS,476.14411336859115,1,e2-multidepot-10c-01,476.14411336859115,300.0,362.9713192257627,0.8265115840004,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,387.9007343319535,1,e2-multidepot-10c-01,387.9007343319535,300.0,179.8983304944574,1.6676085830004013,1,"{""OK"": 1}",0.0,1
LNS,5488.782859056312,1,e2-multidepot-150c-01,5488.782859056312,300.0,16.933087116207165,17.716793042000063,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,5488.782859056312,1,e2-multidepot-150c-01,5488.782859056312,300.0,18.563031550958065,16.16115337500014,1,"{""OK"": 1}",0.0,1
LNS,6608.239546640648,1,e2-multidepot-200c-01,6608.239546640648,300.0,11.414633273829558,26.2820532909991,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,6608.239546640648,1,e2-multidepot-200c-01,6608.239546640648,300.0,11.865235896536465,25.283947375000935,1,"{""OK"": 1}",0.0,1
LNS,828.678306576153,1,e2-multidepot-25c-01,828.678306576153,300.0,100.64700929923515,2.9807145000013406,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,828.678306576153,1,e2-multidepot-25c-01,828.678306576153,300.0,149.2766024497128,2.009692042000097,1,"{""OK"": 1}",0.0,1
LNS,3062.7977925322516,1,e2-multidepot-75c-01,3062.7977925322516,300.0,40.27809992071136,7.44821629100079,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,3062.7977925322516,1,e2-multidepot-75c-01,3062.7977925322516,300.0,61.59705718268517,4.870362542000294,1,"{""OK"": 1}",0.0,1
LNS,4086.253616024695,1,e2-threeshift-100c-01,4086.253616024695,300.0,27.258622895524823,11.005691708998711,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,4086.253616024695,1,e2-threeshift-100c-01,4086.253616024695,300.0,42.509649247564205,7.057221250001021,1,"{""OK"": 1}",0.0,1
LNS,5803.553350198798,1,e2-threeshift-150c-01,5803.553350198798,300.0,16.062285688954496,18.677291999998488,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,5803.553350198798,1,e2-threeshift-150c-01,5803.553350198798,300.0,20.318643686276726,14.764765042000363,1,"{""OK"": 1}",0.0,1
LNS,6633.4344963179965,1,e2-threeshift-200c-01,6633.4344963179965,300.0,11.792089484114102,25.440783874999397,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,6633.4344963179965,1,e2-threeshift-200c-01,6633.4344963179965,300.0,11.581017583525918,25.90445941699909,1,"{""OK"": 1}",0.0,1
LNS,1783.6949728422799,1,e2-threeshift-50c-01,1783.6949728422799,300.0,58.22439986903007,5.152479041000333,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,1783.6949728422799,1,e2-threeshift-50c-01,1783.6949728422799,300.0,92.89430794334656,3.22947666699838,1,"{""OK"": 1}",0.0,1
LNS,2732.803960039656,1,e2-threeshift-75c-01,2732.803960039656,300.0,39.47129775508289,7.600459500001307,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,2732.803960039656,1,e2-threeshift-75c-01,2732.803960039656,300.0,59.199590936190916,5.067602584000269,1,"{""OK"": 1}",0.0,1
LNS,4635.703685132771,1,e2-vanilla-100c-01,4635.703685132771,300.0,25.69740756522327,11.674329374998706,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,4635.703685132771,1,e2-vanilla-100c-01,4635.703685132771,300.0,38.29499349555223,7.8339222079994215,1,"{""OK"": 1}",0.0,1
LNS,573.7936728978657,1,e2-vanilla-10c-01,573.7936728978657,300.0,413.31925942637713,0.7258311660007166,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,416.01428151757784,1,e2-vanilla-10c-01,416.01428151757784,300.0,125.44485012311505,2.3914891660006106,1,"{""OK"": 1}",0.0,1
LNS,6015.377586977482,1,e2-vanilla-150c-01,6015.377586977482,300.0,16.99199448879831,17.655372957999134,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,6015.377586977482,1,e2-vanilla-150c-01,6015.377586977482,300.0,21.773240990515227,13.778380542000377,1,"{""OK"": 1}",0.0,1
LNS,8714.98386087934,1,e2-vanilla-200c-01,8714.98386087934,300.0,10.602140391025136,28.29617312499977,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,8714.98386087934,1,e2-vanilla-200c-01,8714.98386087934,300.0,11.066260785731176,27.109427999999753,1,"{""OK"": 1}",0.0,1
LNS,887.3747488211219,1,e2-vanilla-25c-01,887.3747488211219,300.0,77.80846408444322,3.855621667000378,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,887.3747488211219,1,e2-vanilla-25c-01,887.3747488211219,300.0,132.89071128809266,2.2574941250004485,1,"{""OK"": 1}",0.0,1
LNS,3817.814283649194,1,e2-vanilla-75c-01,3817.814283649194,300.0,37.08882039312628,8.088690791999397,1,"{""OK"": 1}",0.0,1
alns_e2_throughput,3817.814283649194,1,e2-vanilla-75c-01,3817.814283649194,300.0,59.63199258326173,5.030856542000038,1,"{""OK"": 1}",0.0,1
