stage,trigger_second,trigger_cause,revealed_in_batch,active_customers,committed_customers,future_customers,iterations,runtime_seconds,population_size,initial_feasible_candidates,best_cost,best_emissions_kg,history_preserved,completed_customers,total_active_customers,termination_status,readiness_charging_kwh_cumulative
1,25200.0,fixed_interval,1,41,0,41,23,5.196003125049174,25,21,2048.756326257285,144.40927711988343,True,41,41,INTEGRATED_HGS_STOPPED_BY_CALLER,0
2,28800.0,fixed_interval,1,42,0,42,22,5.1645433329977095,25,17,2000.9813174307508,130.28364405761332,True,42,42,INTEGRATED_HGS_STOPPED_BY_CALLER,0
3,30600.0,fixed_interval,2,44,0,44,0,5.119062917015981,15,14,2041.3376263599685,138.34091442128528,True,44,44,INTEGRATED_HGS_STOPPED_BY_CALLER,0
4,34200.0,fixed_interval,1,45,0,45,21,5.09115708299214,25,18,2041.6306221400466,138.4437971022079,True,45,45,INTEGRATED_HGS_STOPPED_BY_CALLER,0
5,37800.0,fixed_interval,1,46,0,46,36,5.1003395000007,25,23,2031.0099431136734,137.8580036254211,True,46,46,INTEGRATED_HGS_STOPPED_BY_CALLER,0
6,41400.0,fixed_interval,1,47,0,47,43,6.308171749988105,25,20,2107.6378908766674,141.9001078095594,True,47,47,INTEGRATED_HGS_STOPPED_BY_CALLER,0
7,43200.0,fixed_interval,1,48,13,35,49,5.011513500008732,25,13,2225.7807898887695,164.94195206897896,True,48,48,INTEGRATED_HGS_STOPPED_BY_CALLER,0
8,45000.0,fixed_interval,1,49,31,18,474,5.012061875022482,25,22,2196.6395949444573,172.94952784244174,True,49,49,INTEGRATED_HGS_STOPPED_BY_CALLER,0
9,50400.0,fixed_interval,1,50,40,10,40,5.082619499997236,25,23,2224.315871586803,178.50771986195068,True,50,50,INTEGRATED_HGS_STOPPED_BY_CALLER,0
