region,region_label,customer_size,instance_count,map_indices,instance_ids,instances_per_map,seeds_per_map_arm,planned_rows_per_arm,planned_rows_both_arms,within_cell_osm_overlap_max
cy,成渝,10,3,01|02|03,cn-cy-10c-01-V2-LOCATIONS|cn-cy-10c-02-V2-LOCATIONS|cn-cy-10c-03-V2-LOCATIONS,1|1|1,5,15,30,0
cy,成渝,15,3,01|02|03,cn-cy-15c-01-V2-LOCATIONS|cn-cy-15c-02-V2-LOCATIONS|cn-cy-15c-03-V2-LOCATIONS,1|1|1,5,15,30,0
cy,成渝,20,3,01|02|03,cn-cy-20c-01-V2-LOCATIONS|cn-cy-20c-02-V2-LOCATIONS|cn-cy-20c-03-V2-LOCATIONS,1|1|1,5,15,30,0
cy,成渝,25,3,01|02|03,cn-cy-25c-01-V2-LOCATIONS|cn-cy-25c-02-V2-LOCATIONS|cn-cy-25c-03-V2-LOCATIONS,1|1|1,5,15,30,0
cy,成渝,50,3,01|02|03,cn-cy-50c-01-V2-LOCATIONS|cn-cy-50c-02-V2-LOCATIONS|cn-cy-50c-03-V2-LOCATIONS,1|1|1,5,15,30,0
cy,成渝,75,3,01|02|03,cn-cy-75c-01-V2-LOCATIONS|cn-cy-75c-02-V2-LOCATIONS|cn-cy-75c-03-V2-LOCATIONS,1|1|1,5,15,30,0
cy,成渝,100,3,01|02|03,cn-cy-100c-01-V2-LOCATIONS|cn-cy-100c-02-V2-LOCATIONS|cn-cy-100c-03-V2-LOCATIONS,1|1|1,5,15,30,0
cy,成渝,150,3,01|02|03,cn-cy-150c-01-V2-LOCATIONS|cn-cy-150c-02-V2-LOCATIONS|cn-cy-150c-03-V2-LOCATIONS,1|1|1,5,15,30,0
cy,成渝,200,3,01|02|03,cn-cy-200c-01-V2-LOCATIONS|cn-cy-200c-02-V2-LOCATIONS|cn-cy-200c-03-V2-LOCATIONS,1|1|1,5,15,30,0
jjj,京津冀,10,3,01|02|03,cn-jjj-10c-01-V2-LOCATIONS|cn-jjj-10c-02-V2-LOCATIONS|cn-jjj-10c-03-V2-LOCATIONS,1|1|1,5,15,30,0
jjj,京津冀,15,3,01|02|03,cn-jjj-15c-01-V2-LOCATIONS|cn-jjj-15c-02-V2-LOCATIONS|cn-jjj-15c-03-V2-LOCATIONS,1|1|1,5,15,30,0
jjj,京津冀,20,3,01|02|03,cn-jjj-20c-01-V2-LOCATIONS|cn-jjj-20c-02-V2-LOCATIONS|cn-jjj-20c-03-V2-LOCATIONS,1|1|1,5,15,30,0
jjj,京津冀,25,3,01|02|03,cn-jjj-25c-01-V2-LOCATIONS|cn-jjj-25c-02-V2-LOCATIONS|cn-jjj-25c-03-V2-LOCATIONS,1|1|1,5,15,30,0
jjj,京津冀,50,3,01|02|03,cn-jjj-50c-01-V2-LOCATIONS|cn-jjj-50c-02-V2-LOCATIONS|cn-jjj-50c-03-V2-LOCATIONS,1|1|1,5,15,30,0
jjj,京津冀,75,3,01|02|03,cn-jjj-75c-01-V2-LOCATIONS|cn-jjj-75c-02-V2-LOCATIONS|cn-jjj-75c-03-V2-LOCATIONS,1|1|1,5,15,30,0
jjj,京津冀,100,3,01|02|03,cn-jjj-100c-01-V2-LOCATIONS|cn-jjj-100c-02-V2-LOCATIONS|cn-jjj-100c-03-V2-LOCATIONS,1|1|1,5,15,30,0
jjj,京津冀,150,3,01|02|03,cn-jjj-150c-01-V2-LOCATIONS|cn-jjj-150c-02-V2-LOCATIONS|cn-jjj-150c-03-V2-LOCATIONS,1|1|1,5,15,30,0
jjj,京津冀,200,3,01|02|03,cn-jjj-200c-01-V2-LOCATIONS|cn-jjj-200c-02-V2-LOCATIONS|cn-jjj-200c-03-V2-LOCATIONS,1|1|1,5,15,30,0
prd,珠三角,10,3,01|02|03,cn-prd-10c-01-V2-LOCATIONS|cn-prd-10c-02-V2-LOCATIONS|cn-prd-10c-03-V2-LOCATIONS,1|1|1,5,15,30,0
prd,珠三角,15,3,01|02|03,cn-prd-15c-01-V2-LOCATIONS|cn-prd-15c-02-V2-LOCATIONS|cn-prd-15c-03-V2-LOCATIONS,1|1|1,5,15,30,0
prd,珠三角,20,3,01|02|03,cn-prd-20c-01-V2-LOCATIONS|cn-prd-20c-02-V2-LOCATIONS|cn-prd-20c-03-V2-LOCATIONS,1|1|1,5,15,30,0
prd,珠三角,25,3,01|02|03,cn-prd-25c-01-V2-LOCATIONS|cn-prd-25c-02-V2-LOCATIONS|cn-prd-25c-03-V2-LOCATIONS,1|1|1,5,15,30,0
prd,珠三角,50,3,01|02|03,cn-prd-50c-01-V2-LOCATIONS|cn-prd-50c-02-V2-LOCATIONS|cn-prd-50c-03-V2-LOCATIONS,1|1|1,5,15,30,0
prd,珠三角,75,3,01|02|03,cn-prd-75c-01-V2-LOCATIONS|cn-prd-75c-02-V2-LOCATIONS|cn-prd-75c-03-V2-LOCATIONS,1|1|1,5,15,30,0
prd,珠三角,100,3,01|02|03,cn-prd-100c-01-V2-LOCATIONS|cn-prd-100c-02-V2-LOCATIONS|cn-prd-100c-03-V2-LOCATIONS,1|1|1,5,15,30,0
prd,珠三角,150,3,01|02|03,cn-prd-150c-01-V2-LOCATIONS|cn-prd-150c-02-V2-LOCATIONS|cn-prd-150c-03-V2-LOCATIONS,1|1|1,5,15,30,0
prd,珠三角,200,3,01|02|03,cn-prd-200c-01-V2-LOCATIONS|cn-prd-200c-02-V2-LOCATIONS|cn-prd-200c-03-V2-LOCATIONS,1|1|1,5,15,30,0
