region,assignment_rows,unique_osm_identities,identities_reused_across_rows,max_uses_of_one_identity,cross_size_pairs_with_overlap,total_cross_size_pairs,max_pair_overlap,interpretation
cy,1935,1100,514,6,36,36,213,"Within-cell maps are disjoint but all size pairs reuse at least one customer identity"
jjj,1935,1339,449,6,34,36,164,"Within-cell maps are disjoint but 34 of 36 size pairs reuse customer identities"
prd,1935,1169,497,6,36,36,186,"Within-cell maps are disjoint but all size pairs reuse at least one customer identity"
