check,detail,passed,search_evaluations
six_safety_unit_tests,"test_disabled_wrapper_returns_base_child_without_candidate_call (test_safe_record_lns.SafeRecordLNSTest.test_disabled_wrapper_returns_base_child_without_candidate_call) ... ok
test_existing_route_precedes_new_route_and_fixed_cost_is_charged (test_safe_record_lns.SafeRecordLNSTest.test_existing_route_precedes_new_route_and_fixed_cost_is_charged) ... ok
test_independent_candidate_rng_does_not_change_core_random_starts (test_safe_record_lns.SafeRecordLNSTest.test_independent_candidate_rng_does_not_change_core_random_starts) ... ok
test_record_gate_requires_current_and_global_improvement (test_safe_record_lns.SafeRecordLNSTest.test_record_gate_requires_current_and_global_improvement) ... ok
test_repair_never_exceeds_route_cap (test_safe_record_lns.SafeRecordLNSTest.test_repair_never_exceeds_route_cap) ... ok
test_time_window_infeasible_positions_are_filtered (test_safe_record_lns.SafeRecordLNSTest.test_time_window_infeasible_positions_are_filtered) ... ok

----------------------------------------------------------------------
Ran 6 tests in 0.170s

OK",True,0
source_hashes_unchanged,paths=6,True,0
protected_hashes_unchanged,paths=4,True,0
fresh_gate_contract_locked,six fifth-last holdouts and two-stage rule,True,0
