arm,stream_seed,stage,trigger_second,trigger_reason,event_ids,event_types,applied_event_ids,ignored_locked_event_ids,event_count,next_trigger_second,available_compute_seconds,committed_route_count,future_route_count,future_cost,running_total_cost,cross_site_customer_count,initial_continuation_feasible,changed_candidate_count,executable_candidate_count,accepted_candidate_count,evaluations,elapsed_seconds,completed_before_next_trigger,customer_accounting_pass
independent,1,1,10800.0,delta_t,1;2;3;4;5;6;7,cancel;add;add;demand_change;demand_change;add;demand_change,1;2;3;4;5;6;7,,7,17463.155806373295,6663.1558063732955,9,27,4896.986981885955,6463.869646758878,0,True,400,3,3,400,6.629313500015996,True,True
independent,1,2,17463.155806373295,q_bar,8;9;10;11;12;13;14;15,cancel;demand_change;demand_change;add;cancel;add;add;add,8;9;10;11;12;13;14;15,,8,21927.621863159293,4464.466056785997,17,20,3676.2449026257073,6640.51117781609,0,False,400,1,1,400,10.453502166026738,True,True
independent,1,3,21927.621863159293,q_bar,16;17;18;19;20;21;22;23,add;add;demand_change;demand_change;demand_change;cancel;demand_change;cancel,16;17;18;19;20;21;22;23,,8,25060.40779036161,3132.785927202316,24,13,2532.4922993123773,6825.2752424500095,0,True,400,6,4,400,2.487420874997042,True,True
independent,1,4,25060.40779036161,q_bar,24;25;26;27;28;29;30;31,add;add;demand_change;demand_change;demand_change;cancel;demand_change;demand_change,24;25;26;27;28;29;30;31,,8,30950.772652074673,5890.364861713064,25,16,2941.2044433916712,7356.105055569591,0,False,400,1,1,400,5.181175749981776,True,True
independent,1,5,30950.772652074673,q_bar,32;33;34;35;36;37;38;39,add;demand_change;add;add;demand_change;add;cancel;demand_change,32;33;34;35;36;37;38;39,,8,35060.1556284928,4109.382976418128,25,20,3433.019147883332,7855.465594761152,0,True,400,2,2,400,3.291674292006064,True,True
independent,1,6,35060.1556284928,q_bar,40;41;42;43;44;45;46;47,add;demand_change;add;add;cancel;demand_change;cancel;cancel,40;41;42;43;44;45;46;47,,8,40386.33844900012,5326.182820507318,28,18,2832.7223946068834,8090.4517354196505,0,True,400,2,2,400,2.0627888750168495,True,True
independent,1,7,40386.33844900012,q_bar,48;49;50;51;52;53;54;55,cancel;add;add;add;demand_change;demand_change;demand_change;add,48;49;50;51;52;53;54;55,,8,,,30,19,2883.585173735985,8501.064699537877,0,True,400,1,1,400,3.2915478340000845,,True
cooperative,1,1,10800.0,delta_t,1;2;3;4;5;6;7,cancel;add;add;demand_change;demand_change;add;demand_change,1;2;3;4;5;6;7,,7,17463.155806373295,6663.1558063732955,9,26,4590.539044823395,6309.636834938572,6,True,394,5,3,400,8.284936207986902,True,True
cooperative,1,2,17463.155806373295,q_bar,8;9;10;11;12;13;14;15,cancel;demand_change;demand_change;add;cancel;add;add;add,8;9;10;11;12;13;14;15,,8,21927.621863159293,4464.466056785997,16,21,3871.7523815451264,6703.0856043731565,4,False,400,1,1,400,21.92225945799146,True,True
cooperative,1,3,21927.621863159293,q_bar,16;17;18;19;20;21;22;23,add;add;demand_change;demand_change;demand_change;cancel;demand_change;cancel,16;17;18;19;22;23,20;21,8,25060.40779036161,3132.785927202316,25,12,2362.171938735805,6956.038462846687,5,True,383,4,4,400,2.5106848339783028,True,True
