allcv_fixed_cost,evidence_applies,evidence_strength,fixed_gap_pct_mixed_minus_allcv,instance,mixed_fixed_cost,mixed_occ_cost,mixed_public_charge_kwh,phase,reason,route_regime,scenario_family,scenario_label,scenario_regime,should_run_reopt,trigger_eligible
7530.794493007972,True,strong,-3.556830033921228,e2-threeshift-150c-01,7262.936932687779,0.0,0.0,reopt_trigger,evidence applies and fixed replay gap <= 1%; true reoptimization scheduled,regional_cross_city_like,distribution_speed_battery,H_highway_60mph_distribution,highway_cross_city,True,True
7439.741686861522,True,strong,-3.4151492684818,e2-threeshift-150c-01,7185.663403065735,0.0,0.0,reopt_trigger,evidence applies and fixed replay gap <= 1%; true reoptimization scheduled,regional_cross_city_like,distribution_battery,E_distribution_truck_280,regional_distribution,True,True
4984.497604755001,True,strong,-1.7745712014125476,e2-threeshift-100c-01,4896.04414572592,0.0,0.0,reopt_trigger,evidence applies and fixed replay gap <= 1%; true reoptimization scheduled,regional_cross_city_like,distribution_speed_battery,H_highway_60mph_distribution,highway_cross_city,True,True
4918.752359570978,True,strong,-1.5869015987060249,e2-threeshift-100c-01,4840.696599740556,0.0,0.0,reopt_trigger,evidence applies and fixed replay gap <= 1%; true reoptimization scheduled,regional_cross_city_like,distribution_battery,E_distribution_truck_280,regional_distribution,True,True
9080.795698224765,True,strong,0.3270163167198014,e2-threeshift-200c-01,9110.49138184595,0.0,0.0,reopt_trigger,evidence applies and fixed replay gap <= 1%; true reoptimization scheduled,regional_cross_city_like,distribution_speed_battery,H_highway_60mph_distribution,highway_cross_city,True,True
8979.132837679645,True,strong,0.5063994713521862,e2-threeshift-200c-01,9024.603118901665,0.0,0.0,reopt_trigger,evidence applies and fixed replay gap <= 1%; true reoptimization scheduled,regional_cross_city_like,distribution_battery,E_distribution_truck_280,regional_distribution,True,True
7266.158296122896,False,urban_only,-4.593389757647581,e2-threeshift-150c-01,6932.395325174327,0.0,0.0,reopt_trigger,scenario regime urban_local does not match route regime regional_cross_city_like,regional_cross_city_like,urban_speed,F_urban_40_baseline_battery,urban_local,False,False
7266.158296122896,False,urban_only,-4.593389757647581,e2-threeshift-150c-01,6932.395325174327,0.0,0.0,reopt_trigger,scenario regime urban_local does not match route regime regional_cross_city_like,regional_cross_city_like,urban_speed_van,G_urban_40_modern_van,urban_local,False,False
7439.741686861522,False,conditional,-3.4151492684818,e2-threeshift-150c-01,7185.663403065735,0.0,0.0,reopt_trigger,scenario regime van_delivery does not match route regime regional_cross_city_like,regional_cross_city_like,van_battery,C_modern_large_van_113,van_delivery,False,False
7439.741686861522,False,diagnostic,-3.4151492684818,e2-threeshift-150c-01,7185.663403065735,0.0,0.0,reopt_trigger,scenario regime diagnostic_bridge does not match route regime regional_cross_city_like,regional_cross_city_like,bridge_battery,D_bridge_160,diagnostic_bridge,False,False
7439.741686861522,False,conditional,-3.252408984315668,e2-threeshift-150c-01,7197.77085982816,5.2898494982967925,10.579698996593585,reopt_trigger,scenario regime van_delivery does not match route regime regional_cross_city_like,regional_cross_city_like,van_battery,B_modern_large_van_89,van_delivery,False,False
4793.415392299157,False,urban_only,-2.837008433809611,e2-threeshift-100c-01,4657.425793352102,0.0,0.0,reopt_trigger,scenario regime urban_local does not match route regime regional_cross_city_like,regional_cross_city_like,urban_speed,F_urban_40_baseline_battery,urban_local,False,False
4793.415392299157,False,urban_only,-2.837008433809611,e2-threeshift-100c-01,4657.425793352102,0.0,0.0,reopt_trigger,scenario regime urban_local does not match route regime regional_cross_city_like,regional_cross_city_like,urban_speed_van,G_urban_40_modern_van,urban_local,False,False
7439.741686861522,False,baseline,-2.4652946493233356,e2-threeshift-150c-01,7256.330133131847,29.591173782165058,59.182347564330115,reopt_trigger,scenario regime current does not match route regime regional_cross_city_like,regional_cross_city_like,baseline,A_baseline,current,False,False
4918.752359570978,False,conditional,-1.5869015987060249,e2-threeshift-100c-01,4840.696599740556,0.0,0.0,reopt_trigger,scenario regime van_delivery does not match route regime regional_cross_city_like,regional_cross_city_like,van_battery,C_modern_large_van_113,van_delivery,False,False
4918.752359570978,False,diagnostic,-1.5869015987060249,e2-threeshift-100c-01,4840.696599740556,0.0,0.0,reopt_trigger,scenario regime diagnostic_bridge does not match route regime regional_cross_city_like,regional_cross_city_like,bridge_battery,D_bridge_160,diagnostic_bridge,False,False
4918.752359570978,False,conditional,-1.329342854752799,e2-threeshift-100c-01,4853.365276536037,5.251335121193165,10.50267024238633,reopt_trigger,scenario regime van_delivery does not match route regime regional_cross_city_like,regional_cross_city_like,van_battery,B_modern_large_van_89,van_delivery,False,False
8785.322401818645,False,urban_only,-0.920421210981882,e2-threeshift-200c-01,8704.460430979163,0.0,0.0,reopt_trigger,scenario regime urban_local does not match route regime regional_cross_city_like,regional_cross_city_like,urban_speed,F_urban_40_baseline_battery,urban_local,False,False
8785.322401818645,False,urban_only,-0.920421210981882,e2-threeshift-200c-01,8704.460430979163,0.0,0.0,reopt_trigger,scenario regime urban_local does not match route regime regional_cross_city_like,regional_cross_city_like,urban_speed_van,G_urban_40_modern_van,urban_local,False,False
4918.752359570978,False,baseline,-0.8900725403541938,e2-threeshift-100c-01,4874.971895490413,14.593681827569583,29.187363655139166,reopt_trigger,scenario regime current does not match route regime regional_cross_city_like,regional_cross_city_like,baseline,A_baseline,current,False,False
8979.132837679645,False,conditional,0.5063994713521862,e2-threeshift-200c-01,9024.603118901665,0.0,0.0,reopt_trigger,scenario regime van_delivery does not match route regime regional_cross_city_like,regional_cross_city_like,van_battery,C_modern_large_van_113,van_delivery,False,False
8979.132837679645,False,diagnostic,0.5063994713521862,e2-threeshift-200c-01,9024.603118901665,0.0,0.0,reopt_trigger,scenario regime diagnostic_bridge does not match route regime regional_cross_city_like,regional_cross_city_like,bridge_battery,D_bridge_160,diagnostic_bridge,False,False
8979.132837679645,False,conditional,0.7645316163960258,e2-threeshift-200c-01,9047.781147101903,8.01080417326721,16.02160834653442,reopt_trigger,scenario regime van_delivery does not match route regime regional_cross_city_like,regional_cross_city_like,van_battery,B_modern_large_van_89,van_delivery,False,False
