B_battery_kwh,E_cv_direct,E_ev_indirect,E_total,avg_ev_route_distance_m,avg_ev_route_drive_kwh,avg_ev_route_drive_kwh_over_battery,battery_kwh,carbon_price,carbon_quota_kg,charge_action_count,cost_carbon,cost_elec,cost_fix,cost_fuel,cost_km,cost_occ,cost_transship,cv_route_count,depot_charge_action_count,depot_charge_cost,depot_charge_kwh,electric_kwh,ev_public_charge_detour_m,ev_route_count,ev_routes_drive_kwh_gt_battery,ev_routes_with_public_charge,evidence_strength,fuel_liters,instance,max_ev_route_distance_m,max_ev_route_drive_kwh,max_ev_route_drive_kwh_over_battery,phase,public_charge_action_count,public_charge_cost,public_charge_kwh,public_occupancy_cost,role,route_count,route_regime,scenario_family,scenario_label,scenario_regime,source_seed,status,total_cost,trigger_eligible,v_speed_ms,violation_count
80.0,1747.2419002853471,0.0,1747.2419002853471,0.0,0.0,0.0,80.0,0.05034,0.0,0,87.95615726036438,0.0,2320.0,973.9975444795556,1411.4616905592372,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0,0,0,urban_only,679.6438102571736,e2-threeshift-100c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,29,regional_cross_city_like,urban_speed,F_urban_40_baseline_battery,urban_local,5,OK,4793.415392299157,False,11.1,0
80.0,874.7143890974492,54.35850623315072,929.0728953305999,95100.66088953285,30.972601205605603,0.38715751507007,80.0,0.05034,0.0,22,46.7695295509424,126.2629060747718,2560.0,487.6083082501126,1436.785049476275,0.0,0.0,10,22,126.2629060747718,681.3972265233233,0.0,0.0,22,0,0,urban_only,340.24723204948197,e2-threeshift-100c-01,150041.72066097596,49.39399621623768,0.617424952702971,fixed_replay,0,0.0,0.0,0.0,mixed,32,regional_cross_city_like,urban_speed,F_urban_40_baseline_battery,urban_local,1,OK,4657.425793352102,False,11.1,0
113.0,1747.2419002853471,0.0,1747.2419002853471,0.0,0.0,0.0,113.0,0.05034,0.0,0,87.95615726036438,0.0,2320.0,973.9975444795556,1411.4616905592372,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0,0,0,urban_only,679.6438102571736,e2-threeshift-100c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,29,regional_cross_city_like,urban_speed_van,G_urban_40_modern_van,urban_local,5,OK,4793.415392299157,False,11.1,0
113.0,874.7143890974492,54.35850623315072,929.0728953305999,95100.66088953285,30.972601205605603,0.27409381597881066,113.0,0.05034,0.0,22,46.7695295509424,126.2629060747718,2560.0,487.6083082501126,1436.785049476275,0.0,0.0,10,22,126.2629060747718,681.3972265233233,0.0,0.0,22,0,0,urban_only,340.24723204948197,e2-threeshift-100c-01,150041.72066097596,49.39399621623768,0.43711501076316533,fixed_replay,0,0.0,0.0,0.0,mixed,32,regional_cross_city_like,urban_speed_van,G_urban_40_modern_van,urban_local,1,OK,4657.425793352102,False,11.1,0
280.0,2061.631169285554,0.0,2061.631169285554,0.0,0.0,0.0,280.0,0.05034,0.0,0,103.78251306183479,0.0,2320.0,1149.253401133929,1411.4616905592372,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0,0,0,strong,801.9352460637283,e2-threeshift-100c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,29,regional_cross_city_like,distribution_speed_battery,H_highway_60mph_distribution,highway_cross_city,5,OK,4984.497604755001,True,26.8,0
280.0,1031.6370834973873,134.10316026073644,1165.7402437581236,95100.66088953285,65.12561655022346,0.2325914876793695,280.0,0.05034,0.0,22,58.68336387078394,265.491088428641,2560.0,575.0846439502204,1436.785049476275,0.0,0.0,10,22,265.491088428641,1432.7635641049162,0.0,0.0,22,0,0,strong,401.28717043487575,e2-threeshift-100c-01,150041.72066097596,103.27771416452364,0.368848979159013,fixed_replay,0,0.0,0.0,0.0,mixed,32,regional_cross_city_like,distribution_speed_battery,H_highway_60mph_distribution,highway_cross_city,1,OK,4896.04414572592,True,26.8,0
80.0,2706.4687055542954,0.0,2706.4687055542954,0.0,0.0,0.0,80.0,0.05034,0.0,0,136.24363463760324,0.0,3840.0,1508.717180483216,1954.7808717407029,0.0,0.0,48,0,0.0,0.0,0.0,0.0,0,0,0,baseline,1052.7647620425762,e2-threeshift-150c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,48,regional_cross_city_like,baseline,A_baseline,current,2,OK,7439.741686861522,False,25.0,0
80.0,1385.765958564771,139.81034014723906,1525.57629871201,81622.26747309242,51.53635951693401,0.6442044939616751,80.0,0.05034,0.0,41,76.79751087716258,371.802095646156,4000.0,772.4932882190014,2005.6460646073617,29.591173782165058,0.0,15,35,323.27257064340523,1744.5902355283606,0.0,7905.335561355198,35,6,6,baseline,539.0365558711893,e2-threeshift-150c-01,152328.60900393798,96.02331462973127,1.200291432871641,fixed_replay,6,48.529525002750695,59.182347564330115,29.591173782165058,mixed,50,regional_cross_city_like,baseline,A_baseline,current,2,OK,7256.330133131847,False,25.0,0
89.0,2706.4687055542954,0.0,2706.4687055542954,0.0,0.0,0.0,89.0,0.05034,0.0,0,136.24363463760324,0.0,3840.0,1508.717180483216,1954.7808717407029,0.0,0.0,48,0,0.0,0.0,0.0,0.0,0,0,0,conditional,1052.7647620425762,e2-threeshift-150c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,48,regional_cross_city_like,van_battery,B_modern_large_van_89,van_delivery,2,OK,7439.741686861522,False,25.0,0
89.0,1385.765958564771,143.15091584426833,1528.9168744090393,81622.26747309242,51.393408353441515,0.5774540264431631,89.0,0.05034,0.0,38,76.96567545775105,340.02688482938294,4000.0,772.4932882190014,2002.9951618237278,5.2898494982967925,0.0,15,35,331.35153165217616,1788.1895933738595,0.0,331.32760811573826,35,3,3,conditional,539.0365558711893,e2-threeshift-150c-01,152328.60900393798,96.02331462973127,1.0789136475250705,fixed_replay,3,8.67535317720674,10.579698996593585,5.2898494982967925,mixed,50,regional_cross_city_like,van_battery,B_modern_large_van_89,van_delivery,2,OK,7197.77085982816,False,25.0,0
