battery_kwh,category,cv_shell_composition,cv_shell_cost,cv_shell_cv_routes,cv_shell_ev_routes,free_mixed_composition,free_mixed_cost,free_mixed_cv_routes,free_mixed_ev_routes,instance,phase,seed,winner_composition,winner_cv_route_count,winner_ev_route_count,winner_ev_route_share,winner_route_count,winner_status,winner_total_cost,winner_variant
82.6,vanilla,all_cv,11205.548171919037,67,0,balanced_mixed,11334.433470003105,42,29,e2-vanilla-200c-01,screen,1,all_cv,67,0,0.0,67,OK,11205.548171919037,cv_shell
82.6,vanilla,all_cv,1237.6525942518206,7,0,balanced_mixed,1186.3580152946734,4,3,e2-vanilla-25c-01,screen,1,balanced_mixed,4,3,0.42857142857142855,7,OK,1186.3580152946734,free_mixed
89.0,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,5052.950551226713,16,18,e2-multidepot-100c-01,screen,1,all_cv,32,0,0.0,32,OK,5022.801116954321,cv_shell
89.0,multidepot,all_cv,9652.757155208541,67,0,balanced_mixed,9905.834352470307,20,54,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
89.0,threeshift,all_cv,5387.880559557449,32,0,balanced_mixed,4969.67675474074,17,14,e2-threeshift-100c-01,screen,1,balanced_mixed,17,14,0.45161290322580644,31,OK,4969.67675474074,free_mixed
89.0,threeshift,all_cv,9436.717673224872,64,0,balanced_mixed,10695.295575156873,29,32,e2-threeshift-200c-01,screen,1,all_cv,64,0,0.0,64,OK,9436.717673224872,cv_shell
89.0,threeshift,all_cv,2539.3832256016008,16,0,balanced_mixed,2408.8282403330436,5,12,e2-threeshift-50c-01,screen,1,balanced_mixed,5,12,0.7058823529411765,17,OK,2408.8282403330436,free_mixed
89.0,vanilla,all_cv,6119.29666327237,34,0,balanced_mixed,5724.092679677397,22,11,e2-vanilla-100c-01,screen,1,balanced_mixed,22,11,0.3333333333333333,33,OK,5724.092679677397,free_mixed
89.0,vanilla,all_cv,11205.548171919037,67,0,balanced_mixed,11466.502043762917,42,30,e2-vanilla-200c-01,screen,1,all_cv,67,0,0.0,67,OK,11205.548171919037,cv_shell
89.0,vanilla,all_cv,1237.6525942518206,7,0,balanced_mixed,1156.0833725397283,3,4,e2-vanilla-25c-01,screen,1,balanced_mixed,3,4,0.5714285714285714,7,OK,1156.0833725397283,free_mixed
100.0,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,5048.643512777174,18,16,e2-multidepot-100c-01,screen,1,all_cv,32,0,0.0,32,OK,5022.801116954321,cv_shell
100.0,multidepot,all_cv,9652.757155208541,67,0,ev_heavy_mixed,9847.455654210713,6,69,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
100.0,threeshift,all_cv,5387.880559557449,32,0,balanced_mixed,5302.09502572029,8,25,e2-threeshift-100c-01,screen,1,balanced_mixed,8,25,0.7575757575757576,33,OK,5302.09502572029,free_mixed
100.0,threeshift,all_cv,9436.717673224872,64,0,balanced_mixed,9723.884321625328,29,40,e2-threeshift-200c-01,screen,1,all_cv,64,0,0.0,64,OK,9436.717673224872,cv_shell
100.0,threeshift,all_cv,2539.3832256016008,16,0,ev_heavy_mixed,2231.600269391678,1,15,e2-threeshift-50c-01,screen,1,ev_heavy_mixed,1,15,0.9375,16,OK,2231.600269391678,free_mixed
100.0,vanilla,all_cv,6119.29666327237,34,0,balanced_mixed,5673.615088436085,18,15,e2-vanilla-100c-01,screen,1,balanced_mixed,18,15,0.45454545454545453,33,OK,5673.615088436085,free_mixed
100.0,vanilla,all_cv,11205.548171919037,67,0,balanced_mixed,11377.92018795647,31,43,e2-vanilla-200c-01,screen,1,all_cv,67,0,0.0,67,OK,11205.548171919037,cv_shell
100.0,vanilla,all_cv,1237.6525942518206,7,0,balanced_mixed,1122.0182917148154,3,4,e2-vanilla-25c-01,screen,1,balanced_mixed,3,4,0.5714285714285714,7,OK,1122.0182917148154,free_mixed
113.0,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,4928.2946705646345,15,19,e2-multidepot-100c-01,screen,1,balanced_mixed,15,19,0.5588235294117647,34,OK,4928.2946705646345,free_mixed
113.0,multidepot,all_cv,9652.757155208541,67,0,ev_heavy_mixed,9692.386396437145,14,60,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
113.0,threeshift,all_cv,5387.880559557449,32,0,balanced_mixed,5104.446063179639,16,16,e2-threeshift-100c-01,screen,1,balanced_mixed,16,16,0.5,32,OK,5104.446063179639,free_mixed
