battery_kwh,category,composition,eval_budget,instance,phase,queue_status,run_status,runtime_cap_seconds,seed,total_cost,variant
80.0,vanilla,balanced_mixed,3000,e2-vanilla-25c-01,full,terminal,OK,180.0,1,1161.7691131612228,free_mixed
80.0,vanilla,all_cv,3000,e2-vanilla-25c-01,full,terminal,OK,180.0,1,1213.2666144034245,cv_shell
80.0,vanilla,infeasible,3000,e2-vanilla-25c-01,full,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
80.0,vanilla,balanced_mixed,3000,e2-vanilla-25c-01,full,terminal,OK,180.0,2,1184.4410913593508,free_mixed
80.0,vanilla,all_cv,3000,e2-vanilla-25c-01,full,terminal,OK,180.0,2,1217.3069621269772,cv_shell
80.0,vanilla,infeasible,3000,e2-vanilla-25c-01,full,terminal,INIT_INFEASIBLE,180.0,2,inf,ev_shell
80.0,vanilla,balanced_mixed,3000,e2-vanilla-25c-01,full,terminal,OK,180.0,3,1135.8392012873894,free_mixed
80.0,vanilla,all_cv,3000,e2-vanilla-25c-01,full,terminal,OK,180.0,3,1231.7355894264756,cv_shell
80.0,vanilla,infeasible,3000,e2-vanilla-25c-01,full,terminal,INIT_INFEASIBLE,180.0,3,inf,ev_shell
80.0,vanilla,balanced_mixed,3000,e2-vanilla-50c-01,full,terminal,OK,180.0,1,2681.5250748021895,free_mixed
80.0,vanilla,all_cv,3000,e2-vanilla-50c-01,full,terminal,OK,180.0,1,2807.8495387442276,cv_shell
80.0,vanilla,infeasible,3000,e2-vanilla-50c-01,full,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
80.0,vanilla,balanced_mixed,3000,e2-vanilla-50c-01,full,terminal,OK,180.0,2,2847.1733026150837,free_mixed
80.0,vanilla,all_cv,3000,e2-vanilla-50c-01,full,terminal,OK,180.0,2,2799.4022778724207,cv_shell
80.0,vanilla,infeasible,3000,e2-vanilla-50c-01,full,terminal,INIT_INFEASIBLE,180.0,2,inf,ev_shell
80.0,vanilla,balanced_mixed,3000,e2-vanilla-50c-01,full,terminal,OK,180.0,3,2722.49721673469,free_mixed
80.0,vanilla,all_cv,3000,e2-vanilla-50c-01,full,terminal,OK,180.0,3,2827.741990979782,cv_shell
80.0,vanilla,infeasible,3000,e2-vanilla-50c-01,full,terminal,INIT_INFEASIBLE,180.0,3,inf,ev_shell
80.0,vanilla,balanced_mixed,3000,e2-vanilla-75c-01,full,terminal,OK,180.0,1,4966.581755233587,free_mixed
80.0,vanilla,all_cv,3000,e2-vanilla-75c-01,full,terminal,OK,180.0,1,4706.589203813759,cv_shell
