all_cv_winner_count,all_ev_winner_count,balanced_band_30_70,balanced_winner_count,battery_kwh,cv_heavy_winner_count,diagnostic_only,ev_heavy_winner_count,evidence_tiers,main_scenario_eligible,mean_winner_cv_routes,mean_winner_ev_routes,mean_winner_ev_share,phase,sensitivity_band_20_80,source_ids,total_winner_rows,winner_count
18,0,True,32,80.0,0,False,1,literature_benchmark,True,22.176470588235293,12.392156862745098,0.40802633753737894,full,True,Chen2023;Goeke2015,51,51
9,0,True,12,100.0,0,False,30,strong_current_vehicle_class,True,11.372549019607844,24.392156862745097,0.6810728711559598,full,True,IsuzuNRREV,51,51
7,5,False,5,113.0,0,False,34,conditional_van,True,7.96078431372549,28.333333333333332,0.7799435769471839,full,True,MercedesESprinter,51,51
4,14,False,1,141.0,0,False,32,strong_current_vehicle_class,True,4.921568627450981,31.745098039215687,0.8766285062346336,full,False,DAFXBElectric,51,51
3,15,False,1,210.0,0,False,32,strong_current_vehicle_class,True,3.607843137254902,33.11764705882353,0.8979595004206362,full,False,DAFXBElectric;InternationalEMV,51,51
3,16,False,1,280.0,0,False,31,strong_current_vehicle_class,True,3.588235294117647,33.15686274509804,0.898357823742835,full,False,VolvoFLFE2023,51,51
