battery_kwh,diagnostic_only,evidence_tiers,main_scenario_eligible,scan_by_default,source_count,source_ids
60.0,False,literature_benchmark;strong_current_vehicle_class,True,True,2,IsuzuNRREV;Qiu2024
80.0,False,literature_benchmark,True,True,2,Chen2023;Goeke2015
81.0,False,conditional_van,True,True,1,MercedesESprinter
82.6,False,strong_current_vehicle_class,True,True,1,FusoECanter
89.0,False,conditional_van,True,True,1,FordETransit2025
100.0,False,strong_current_vehicle_class,True,True,1,IsuzuNRREV
113.0,False,conditional_van,True,True,1,MercedesESprinter
123.9,False,strong_current_vehicle_class,True,True,1,FusoECanter
140.0,False,strong_current_vehicle_class,True,True,1,IsuzuNRREV
141.0,False,strong_current_vehicle_class,True,True,1,DAFXBElectric
150.0,False,strong_current_vehicle_class,True,True,1,MackMDElectric
160.0,True,diagnostic_threshold,False,True,1,DiagnosticBridge160
176.0,False,strong_current_vehicle_class,True,True,1,RenaultTrucksETechD
180.0,False,strong_current_vehicle_class,True,True,1,IsuzuNRREV
194.0,False,strong_current_vehicle_class,True,True,1,FreightlinerEM2
200.0,False,strong_current_vehicle_class,True,True,1,RenaultTrucksETechD
210.0,False,strong_current_vehicle_class,True,True,2,DAFXBElectric;InternationalEMV
240.0,False,strong_current_vehicle_class,True,True,1,MackMDElectric
280.0,False,strong_current_vehicle_class,True,True,1,VolvoFLFE2023
282.0,False,strong_current_vehicle_class,True,True,1,DAFXBElectric
291.0,False,strong_current_vehicle_class,True,True,1,FreightlinerEM2
