battery_kwh,category,cv_shell_composition,cv_shell_cost,cv_shell_cv_routes,cv_shell_ev_routes,free_mixed_composition,free_mixed_cost,free_mixed_cv_routes,free_mixed_ev_routes,instance,phase,seed,winner_composition,winner_cv_route_count,winner_ev_route_count,winner_ev_route_share,winner_route_count,winner_status,winner_total_cost,winner_variant
80.0,multidepot,all_cv,5078.3304438331,32,0,balanced_mixed,4942.858397557796,10,24,e2-multidepot-100c-01,full,1,balanced_mixed,10,24,0.7058823529411765,34,OK,4942.858397557796,free_mixed
80.0,multidepot,all_cv,5012.581954145316,32,0,balanced_mixed,4794.209511443274,10,23,e2-multidepot-100c-01,full,2,balanced_mixed,10,23,0.696969696969697,33,OK,4794.209511443274,free_mixed
80.0,multidepot,all_cv,5125.000427549517,33,0,balanced_mixed,4999.533131935161,10,25,e2-multidepot-100c-01,full,3,balanced_mixed,10,25,0.7142857142857143,35,OK,4999.533131935161,free_mixed
80.0,multidepot,all_cv,7241.7429228148685,48,0,balanced_mixed,7127.387967193667,11,41,e2-multidepot-150c-01,full,1,balanced_mixed,11,41,0.7884615384615384,52,OK,7127.387967193667,free_mixed
80.0,multidepot,all_cv,7427.961521286857,49,0,balanced_mixed,7147.016441210768,13,38,e2-multidepot-150c-01,full,2,balanced_mixed,13,38,0.7450980392156863,51,OK,7147.016441210768,free_mixed
80.0,multidepot,all_cv,7326.20773177737,47,0,balanced_mixed,7322.976695655464,11,42,e2-multidepot-150c-01,full,3,balanced_mixed,11,42,0.7924528301886793,53,OK,7322.976695655464,free_mixed
80.0,multidepot,all_cv,9838.794400016606,67,0,balanced_mixed,10649.492665749396,29,37,e2-multidepot-200c-01,full,1,all_cv,67,0,0.0,67,OK,9838.794400016606,cv_shell
80.0,multidepot,all_cv,9605.469420293539,66,0,ev_heavy_mixed,9350.018577576255,11,60,e2-multidepot-200c-01,full,2,ev_heavy_mixed,11,60,0.8450704225352113,71,OK,9350.018577576255,free_mixed
80.0,multidepot,all_cv,9815.444658557279,67,0,balanced_mixed,10675.38116607528,29,37,e2-multidepot-200c-01,full,3,all_cv,67,0,0.0,67,OK,9815.444658557279,cv_shell
80.0,multidepot,all_cv,1013.4186119137498,7,0,balanced_mixed,956.2735898917991,2,5,e2-multidepot-25c-01,full,1,balanced_mixed,2,5,0.7142857142857143,7,OK,956.2735898917991,free_mixed
