all_cv_winner_count,all_ev_winner_count,balanced_band_30_70,balanced_winner_count,battery_kwh,cv_heavy_winner_count,diagnostic_only,ev_heavy_winner_count,evidence_tiers,main_scenario_eligible,mean_winner_cv_routes,mean_winner_ev_routes,mean_winner_ev_share,phase,sensitivity_band_20_80,source_ids,total_winner_rows,winner_count
4,0,False,3,60.0,1,False,0,literature_benchmark;strong_current_vehicle_class,True,36.625,3.125,0.13592108397611244,screen,False,IsuzuNRREV;Qiu2024,8,8
4,0,False,4,80.0,0,False,0,literature_benchmark,True,35.125,4.625,0.22805059523809523,screen,True,Chen2023;Goeke2015,8,8
3,0,False,5,81.0,0,False,0,conditional_van,True,33.875,5.875,0.28059724164592525,screen,True,MercedesESprinter,8,8
4,0,False,3,82.6,0,False,1,strong_current_vehicle_class,True,35.25,4.5,0.22931067588325654,screen,True,FusoECanter,8,8
4,0,False,4,89.0,0,False,0,conditional_van,True,34.625,5.125,0.257782145116111,screen,True,FordETransit2025,8,8
4,0,True,3,100.0,0,False,1,strong_current_vehicle_class,True,32.5,7.375,0.34013122294372294,screen,True,IsuzuNRREV,8,8
2,0,True,4,113.0,0,False,2,conditional_van,True,24.0,16.625,0.49871485409232186,screen,True,MercedesESprinter,8,8
3,0,True,4,123.9,0,False,1,strong_current_vehicle_class,True,27.375,13.375,0.4436801046176046,screen,True,FusoECanter,8,8
3,1,True,2,140.0,0,False,2,strong_current_vehicle_class,True,23.0,17.625,0.525745904422375,screen,True,IsuzuNRREV,8,8
3,1,True,2,141.0,0,False,2,strong_current_vehicle_class,True,23.0,17.625,0.525745904422375,screen,True,DAFXBElectric,8,8
3,1,True,2,150.0,0,False,2,strong_current_vehicle_class,True,22.875,17.875,0.525745904422375,screen,True,MackMDElectric,8,8
2,0,True,2,160.0,0,True,4,diagnostic_threshold,False,17.0,24.5,0.6146171536796536,screen,True,DiagnosticBridge160,8,8
2,0,True,3,176.0,0,False,3,strong_current_vehicle_class,True,17.125,24.375,0.6128810425685426,screen,True,RenaultTrucksETechD,8,8
2,0,True,4,180.0,0,False,2,strong_current_vehicle_class,True,17.5,24.0,0.5894435425685426,screen,True,IsuzuNRREV,8,8
2,0,True,4,194.0,0,False,2,strong_current_vehicle_class,True,17.5,24.0,0.5894435425685426,screen,True,FreightlinerEM2,8,8
2,0,True,4,200.0,0,False,2,strong_current_vehicle_class,True,17.5,24.0,0.5894435425685426,screen,True,RenaultTrucksETechD,8,8
2,0,True,4,210.0,0,False,2,strong_current_vehicle_class,True,17.5,24.0,0.5894435425685426,screen,True,DAFXBElectric;InternationalEMV,8,8
2,0,True,3,240.0,0,False,3,strong_current_vehicle_class,True,16.875,24.625,0.5981240981240982,screen,True,MackMDElectric,8,8
2,0,True,3,280.0,0,False,3,strong_current_vehicle_class,True,16.875,24.625,0.5981240981240982,screen,True,VolvoFLFE2023,8,8
2,0,True,3,282.0,0,False,3,strong_current_vehicle_class,True,16.875,24.625,0.5981240981240982,screen,True,DAFXBElectric,8,8
2,0,True,3,291.0,0,False,3,strong_current_vehicle_class,True,16.875,24.625,0.5981240981240982,screen,True,FreightlinerEM2,8,8
