battery_kwh,category,composition,eval_budget,instance,phase,queue_status,run_status,runtime_cap_seconds,seed,total_cost,variant
89.0,multidepot,balanced_mixed,500,e2-multidepot-100c-01,screen,terminal,OK,180.0,1,5052.950551226713,free_mixed
89.0,multidepot,all_cv,500,e2-multidepot-100c-01,screen,terminal,OK,180.0,1,5022.801116954321,cv_shell
89.0,multidepot,infeasible,500,e2-multidepot-100c-01,screen,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
89.0,multidepot,balanced_mixed,500,e2-multidepot-200c-01,screen,terminal,OK,300.0,1,9905.834352470307,free_mixed
89.0,multidepot,all_cv,500,e2-multidepot-200c-01,screen,terminal,OK,300.0,1,9652.757155208541,cv_shell
89.0,multidepot,infeasible,500,e2-multidepot-200c-01,screen,terminal,INIT_INFEASIBLE,300.0,1,inf,ev_shell
89.0,threeshift,balanced_mixed,500,e2-threeshift-50c-01,screen,terminal,OK,90.0,1,2408.8282403330436,free_mixed
89.0,threeshift,all_cv,500,e2-threeshift-50c-01,screen,terminal,OK,90.0,1,2539.3832256016008,cv_shell
89.0,threeshift,infeasible,500,e2-threeshift-50c-01,screen,terminal,INIT_INFEASIBLE,90.0,1,inf,ev_shell
89.0,threeshift,balanced_mixed,500,e2-threeshift-100c-01,screen,terminal,OK,180.0,1,4969.67675474074,free_mixed
89.0,threeshift,all_cv,500,e2-threeshift-100c-01,screen,terminal,OK,180.0,1,5387.880559557449,cv_shell
89.0,threeshift,infeasible,500,e2-threeshift-100c-01,screen,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
89.0,threeshift,balanced_mixed,500,e2-threeshift-200c-01,screen,terminal,OK,300.0,1,10695.295575156873,free_mixed
89.0,threeshift,all_cv,500,e2-threeshift-200c-01,screen,terminal,OK,300.0,1,9436.717673224872,cv_shell
89.0,threeshift,infeasible,500,e2-threeshift-200c-01,screen,terminal,INIT_INFEASIBLE,300.0,1,inf,ev_shell
100.0,vanilla,balanced_mixed,500,e2-vanilla-25c-01,screen,terminal,OK,90.0,1,1122.0182917148154,free_mixed
100.0,vanilla,all_cv,500,e2-vanilla-25c-01,screen,terminal,OK,90.0,1,1237.6525942518206,cv_shell
100.0,vanilla,infeasible,500,e2-vanilla-25c-01,screen,terminal,INIT_INFEASIBLE,90.0,1,inf,ev_shell
100.0,vanilla,balanced_mixed,500,e2-vanilla-100c-01,screen,terminal,OK,180.0,1,5673.615088436085,free_mixed
100.0,vanilla,all_cv,500,e2-vanilla-100c-01,screen,terminal,OK,180.0,1,6119.29666327237,cv_shell
100.0,vanilla,infeasible,500,e2-vanilla-100c-01,screen,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
100.0,vanilla,balanced_mixed,500,e2-vanilla-200c-01,screen,terminal,OK,300.0,1,11377.92018795647,free_mixed
100.0,vanilla,all_cv,500,e2-vanilla-200c-01,screen,terminal,OK,300.0,1,11205.548171919037,cv_shell
100.0,vanilla,infeasible,500,e2-vanilla-200c-01,screen,terminal,INIT_INFEASIBLE,300.0,1,inf,ev_shell
100.0,multidepot,balanced_mixed,500,e2-multidepot-100c-01,screen,terminal,OK,180.0,1,5048.643512777174,free_mixed
100.0,multidepot,all_cv,500,e2-multidepot-100c-01,screen,terminal,OK,180.0,1,5022.801116954321,cv_shell
100.0,multidepot,infeasible,500,e2-multidepot-100c-01,screen,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
100.0,multidepot,ev_heavy_mixed,500,e2-multidepot-200c-01,screen,terminal,OK,300.0,1,9847.455654210713,free_mixed
100.0,multidepot,all_cv,500,e2-multidepot-200c-01,screen,terminal,OK,300.0,1,9652.757155208541,cv_shell
100.0,multidepot,infeasible,500,e2-multidepot-200c-01,screen,terminal,INIT_INFEASIBLE,300.0,1,inf,ev_shell
