algorithm_arm,Best_cny,Avg_cny,stability_Gap_percent,paired_mean_cost_diff_vs_full_cny,paired_mean_cost_diff_vs_full_percent,paired_seed_count,CPU_minutes_mean,CPU_minutes_total,feasible_runs,terminal_runs
MV-HGS-SP,7820.1814723598745,7820.1814723598745,0.0,0.0,0.0,10,1.4329906750000003,14.329906750000003,10,10
HGS-M-SP (-multi-view),7820.1814723598745,7820.1814723598745,0.0,0.0,0.0,10,1.43701647,14.3701647,10,10
MV-HGS (-timed MIP route-pool recombination),7820.1814723598745,7820.1814723598745,0.0,0.0,0.0,10,4.235138109999999,42.3513811,10,10
