scope,algorithm,seed,run_id,verdict,flags,native_best_updates,route_count_unique
run,alns_component_LOCAL_SEARCH,1,A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed1,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,75,1
run,alns_component_LOCAL_SEARCH,2,A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed2,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,126,1
run,alns_component_LOCAL_SEARCH,3,A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed3,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,103,1
run,alns_component_ROUTE_ELIMINATION,1,A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_ROUTE_ELIMINATION__ROUTE_ELIMINATION__seed1,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,95,1
run,alns_component_ROUTE_ELIMINATION,2,A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_ROUTE_ELIMINATION__ROUTE_ELIMINATION__seed2,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,64,1
run,alns_component_ROUTE_ELIMINATION,3,A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_ROUTE_ELIMINATION__ROUTE_ELIMINATION__seed3,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,74,1
run,alns_component_stack,1,A3_COMPONENT_STACK_RETEST__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_stack__LOCAL_SEARCH-ROUTE_ELIMINATION__seed1,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,95,1
run,alns_component_stack,2,A3_COMPONENT_STACK_RETEST__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_stack__LOCAL_SEARCH-ROUTE_ELIMINATION__seed2,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,79,1
run,alns_component_stack,3,A3_COMPONENT_STACK_RETEST__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_stack__LOCAL_SEARCH-ROUTE_ELIMINATION__seed3,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,104,1
run,LNS,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__LNS__seed1,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,78,4
