actual_moves,algorithm_best_obj,arm,big_m,bundle_hashes,candidate_scores,class,destroy_operator_counts,distance_double,distance_upper_bound,elapsed_seconds,eval_budget,evaluations,failure_codes,feasible,independent_recompute_pass,initial_distance_double,initial_route_count,initial_solution_sha256,instance,lexicographic_score,model_violation_count,phase,process_cpu_seconds,repair_delta_count,repair_operator_counts,route_count,run_order,score_counts,seed,sisr_attempt_count,sisr_outcomes,solution_path,solution_sha256,status
0,999192.7758831395,candidate_sisr,47378.0,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0"", ""instance.json"": ""850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc""}",0,C1,"{""random_customer_removal"": [0, 0, 0, 0], ""route_segment_removal"": [0, 0, 0, 0], ""shaw_related_removal"": [0, 0, 0, 0], ""sisr_string_removal"": [0, 0, 0, 0], ""vehicle_type_swap"": [0, 0, 0, 0], ""whole_route_removal"": [0, 0, 0, 0], ""worst_customer_removal"": [0, 0, 0, 0]}",4254.77588313951,47377.473550201044,0.02411887497873977,0,0,[],True,True,4254.77588313951,21,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,C1_2_1,999192.7758831395,0,budget_smoke,0.184326,0,"{""greedy_insert_repair"": [0, 0, 0, 0], ""regret2_insert_repair"": [0, 0, 0, 0], ""regret3_insert_repair"": [0, 0, 0, 0]}",21,1,"{""reference"": 2, ""reference_cache_hit"": 1, ""reference_cache_hit:history"": 1, ""reference_phase:final"": 1, ""reference_phase:initial"": 1}",1,0,"[0, 0, 0, 0]",baselines/e2_alns/homberger_g1_sisr_micro_v2_20260718/solutions/budget_smoke__C1_2_1__seed1__budget0__candidate_sisr.json,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,OK
1,999192.7758831395,candidate_sisr,47378.0,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0"", ""instance.json"": ""850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc""}",1,C1,"{""random_customer_removal"": [0, 0, 0, 1], ""route_segment_removal"": [0, 0, 0, 0], ""shaw_related_removal"": [0, 0, 0, 0], ""sisr_string_removal"": [0, 0, 0, 0], ""vehicle_type_swap"": [0, 0, 0, 0], ""whole_route_removal"": [0, 0, 0, 0], ""worst_customer_removal"": [0, 0, 0, 0]}",4254.77588313951,47377.473550201044,0.06077387498226017,1,1,[],True,True,4254.77588313951,21,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,C1_2_1,999192.7758831395,0,budget_smoke,0.24607,263,"{""greedy_insert_repair"": [0, 0, 0, 1], ""regret2_insert_repair"": [0, 0, 0, 0], ""regret3_insert_repair"": [0, 0, 0, 0]}",21,2,"{""candidate"": 1, ""candidate_channel:destroy_repair"": 1, ""reference"": 2, ""reference_cache_hit"": 1, ""reference_cache_hit:history"": 1, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 263}",1,0,"[0, 0, 0, 0]",baselines/e2_alns/homberger_g1_sisr_micro_v2_20260718/solutions/budget_smoke__C1_2_1__seed1__budget1__candidate_sisr.json,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,OK
2,999192.7758831395,candidate_sisr,47378.0,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0"", ""instance.json"": ""850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc""}",2,C1,"{""random_customer_removal"": [0, 0, 0, 2], ""route_segment_removal"": [0, 0, 0, 0], ""shaw_related_removal"": [0, 0, 0, 0], ""sisr_string_removal"": [0, 0, 0, 0], ""vehicle_type_swap"": [0, 0, 0, 0], ""whole_route_removal"": [0, 0, 0, 0], ""worst_customer_removal"": [0, 0, 0, 0]}",4254.77588313951,47377.473550201044,0.20539045799523592,2,2,[],True,True,4254.77588313951,21,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,C1_2_1,999192.7758831395,0,budget_smoke,0.20475300000000018,1137,"{""greedy_insert_repair"": [0, 0, 0, 1], ""regret2_insert_repair"": [0, 0, 0, 1], ""regret3_insert_repair"": [0, 0, 0, 0]}",21,3,"{""candidate"": 2, ""candidate_channel:destroy_repair"": 2, ""reference"": 2, ""reference_cache_hit"": 1, ""reference_cache_hit:history"": 1, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 1137}",1,0,"[0, 0, 0, 0]",baselines/e2_alns/homberger_g1_sisr_micro_v2_20260718/solutions/budget_smoke__C1_2_1__seed1__budget2__candidate_sisr.json,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,OK
5,999192.7758831395,candidate_sisr,47378.0,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0"", ""instance.json"": ""850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc""}",5,C1,"{""random_customer_removal"": [0, 0, 0, 3], ""route_segment_removal"": [0, 0, 0, 0], ""shaw_related_removal"": [0, 0, 0, 0], ""sisr_string_removal"": [0, 0, 0, 0], ""vehicle_type_swap"": [0, 0, 0, 0], ""whole_route_removal"": [0, 0, 0, 0], ""worst_customer_removal"": [0, 0, 0, 2]}",4254.77588313951,47377.473550201044,0.7496715419692919,5,5,[],True,True,4254.77588313951,21,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,C1_2_1,999192.7758831395,0,budget_smoke,0.745304,4232,"{""greedy_insert_repair"": [0, 0, 0, 2], ""regret2_insert_repair"": [0, 0, 0, 2], ""regret3_insert_repair"": [0, 0, 0, 1]}",21,4,"{""candidate"": 5, ""candidate_channel:destroy_repair"": 5, ""reference"": 2, ""reference_cache_hit"": 1, ""reference_cache_hit:history"": 1, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 4232}",1,0,"[0, 0, 0, 0]",baselines/e2_alns/homberger_g1_sisr_micro_v2_20260718/solutions/budget_smoke__C1_2_1__seed1__budget5__candidate_sisr.json,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,OK
40,998792.7439213933,candidate_sisr,47378.0,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0"", ""instance.json"": ""850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc""}",40,C1,"{""random_customer_removal"": [0, 0, 0, 3], ""route_segment_removal"": [0, 0, 0, 3], ""shaw_related_removal"": [0, 0, 0, 3], ""sisr_string_removal"": [3, 0, 0, 20], ""vehicle_type_swap"": [0, 0, 0, 0], ""whole_route_removal"": [0, 0, 2, 3], ""worst_customer_removal"": [0, 0, 0, 3]}",3854.743921393337,47377.473550201044,2.6811057919985615,40,40,[],True,True,4254.77588313951,21,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,C1_2_1,998792.7439213933,0,micro_screen,2.599493,14852,"{""greedy_insert_repair"": [0, 0, 1, 6], ""regret2_insert_repair"": [0, 0, 0, 6], ""regret3_insert_repair"": [3, 0, 1, 23]}",21,1,"{""candidate"": 40, ""candidate_channel:destroy_repair"": 40, ""reference"": 2, ""reference_cache_hit"": 4, ""reference_cache_hit:history"": 4, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 14852}",1,23,"[3, 0, 0, 20]",baselines/e2_alns/homberger_g1_sisr_micro_v2_20260718/solutions/micro_screen__C1_2_1__seed1__budget40__candidate_sisr.json,980b4522cb396836cec60f56e764824549cc1124612e9fc3287d5a9ccd1f0aa6,OK
40,999116.4977990618,baseline,47378.0,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0"", ""instance.json"": ""850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc""}",40,C1,"{""random_customer_removal"": [0, 0, 0, 3], ""route_segment_removal"": [0, 0, 0, 3], ""shaw_related_removal"": [0, 0, 0, 3], ""vehicle_type_swap"": [0, 0, 0, 1], ""whole_route_removal"": [1, 0, 5, 21], ""worst_customer_removal"": [0, 0, 0, 3]}",4178.497799061866,47377.473550201044,2.4527594589744695,40,40,[],True,True,4254.77588313951,21,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,C1_2_1,999116.4977990618,0,micro_screen,2.437405,13720,"{""greedy_insert_repair"": [0, 0, 1, 10], ""regret2_insert_repair"": [0, 0, 0, 5], ""regret3_insert_repair"": [1, 0, 4, 19]}",21,2,"{""candidate"": 40, ""candidate_channel:destroy_repair"": 40, ""reference"": 2, ""reference_cache_hit"": 2, ""reference_cache_hit:history"": 2, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 13720}",1,0,"[0, 0, 0, 0]",baselines/e2_alns/homberger_g1_sisr_micro_v2_20260718/solutions/micro_screen__C1_2_1__seed1__budget40__baseline.json,e76ccff3742037a9213923897584e44306448a6b91bfca24018f4e3f2e4657e1,OK
40,999042.5397796618,baseline,47378.0,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0"", ""instance.json"": ""850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc""}",40,C1,"{""random_customer_removal"": [0, 0, 0, 3], ""route_segment_removal"": [2, 0, 1, 24], ""shaw_related_removal"": [0, 0, 0, 3], ""vehicle_type_swap"": [0, 0, 0, 1], ""whole_route_removal"": [0, 0, 0, 3], ""worst_customer_removal"": [0, 0, 0, 3]}",4104.539779661798,47377.473550201044,4.703127874992788,40,40,[],True,True,4254.77588313951,21,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,C1_2_1,999042.5397796618,0,micro_screen,4.573735999999999,26900,"{""greedy_insert_repair"": [0, 0, 0, 6], ""regret2_insert_repair"": [2, 0, 1, 26], ""regret3_insert_repair"": [0, 0, 0, 5]}",21,1,"{""candidate"": 40, ""candidate_channel:destroy_repair"": 40, ""reference"": 2, ""reference_cache_hit"": 3, ""reference_cache_hit:history"": 3, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 26900}",2,0,"[0, 0, 0, 0]",baselines/e2_alns/homberger_g1_sisr_micro_v2_20260718/solutions/micro_screen__C1_2_1__seed2__budget40__baseline.json,27ec60e8e022726efeb7642dcc73519d218d97030c5d9a2d3e9fce32dc5602d8,OK
40,999116.4977990618,candidate_sisr,47378.0,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0"", ""instance.json"": ""850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc""}",40,C1,"{""random_customer_removal"": [0, 0, 0, 6], ""route_segment_removal"": [0, 0, 1, 11], ""shaw_related_removal"": [1, 0, 1, 7], ""sisr_string_removal"": [0, 0, 0, 3], ""vehicle_type_swap"": [0, 0, 0, 1], ""whole_route_removal"": [0, 0, 0, 3], ""worst_customer_removal"": [0, 0, 0, 6]}",4178.497799061868,47377.473550201044,5.4219573750160635,40,40,[],True,True,4254.77588313951,21,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,C1_2_1,999116.4977990618,0,micro_screen,5.387155000000002,31563,"{""greedy_insert_repair"": [0, 0, 0, 10], ""regret2_insert_repair"": [0, 0, 1, 17], ""regret3_insert_repair"": [1, 0, 1, 10]}",21,2,"{""candidate"": 40, ""candidate_channel:destroy_repair"": 40, ""reference"": 2, ""reference_cache_hit"": 2, ""reference_cache_hit:history"": 2, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 31563}",2,3,"[0, 0, 0, 3]",baselines/e2_alns/homberger_g1_sisr_micro_v2_20260718/solutions/micro_screen__C1_2_1__seed2__budget40__candidate_sisr.json,8c2e58a7699ded93ce667f2e1389d2eb383cc1c9fe3f3829963649f95f4fab00,OK
40,999062.5695402416,candidate_sisr,47378.0,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0"", ""instance.json"": ""850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc""}",40,C1,"{""random_customer_removal"": [0, 0, 0, 3], ""route_segment_removal"": [0, 0, 0, 3], ""shaw_related_removal"": [0, 0, 0, 3], ""sisr_string_removal"": [0, 0, 0, 3], ""vehicle_type_swap"": [0, 0, 0, 1], ""whole_route_removal"": [3, 0, 6, 15], ""worst_customer_removal"": [0, 0, 0, 3]}",4124.569540241589,47377.473550201044,6.285752042022068,40,40,[],True,True,4254.77588313951,21,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,C1_2_1,999062.5695402416,0,micro_screen,6.0806450000000005,35788,"{""greedy_insert_repair"": [3, 0, 6, 19], ""regret2_insert_repair"": [0, 0, 0, 6], ""regret3_insert_repair"": [0, 0, 0, 6]}",21,1,"{""candidate"": 40, ""candidate_channel:destroy_repair"": 40, ""reference"": 2, ""reference_cache_hit"": 4, ""reference_cache_hit:history"": 4, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 35788}",3,3,"[0, 0, 0, 3]",baselines/e2_alns/homberger_g1_sisr_micro_v2_20260718/solutions/micro_screen__C1_2_1__seed3__budget40__candidate_sisr.json,acf53ce01bf0d2dc09a5c5cdadcb6ac319b931ca60377b1df035b817c0837dfa,OK
40,999116.4977990618,baseline,47378.0,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0"", ""instance.json"": ""850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc""}",40,C1,"{""random_customer_removal"": [0, 0, 0, 3], ""route_segment_removal"": [0, 0, 0, 3], ""shaw_related_removal"": [0, 0, 0, 3], ""vehicle_type_swap"": [0, 0, 0, 1], ""whole_route_removal"": [1, 0, 6, 20], ""worst_customer_removal"": [0, 0, 0, 3]}",4178.497799061868,47377.473550201044,5.854720124974847,40,40,[],True,True,4254.77588313951,21,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,C1_2_1,999116.4977990618,0,micro_screen,5.827680999999998,35675,"{""greedy_insert_repair"": [1, 0, 6, 23], ""regret2_insert_repair"": [0, 0, 0, 5], ""regret3_insert_repair"": [0, 0, 0, 5]}",21,2,"{""candidate"": 40, ""candidate_channel:destroy_repair"": 40, ""reference"": 2, ""reference_cache_hit"": 2, ""reference_cache_hit:history"": 2, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 35675}",3,0,"[0, 0, 0, 0]",baselines/e2_alns/homberger_g1_sisr_micro_v2_20260718/solutions/micro_screen__C1_2_1__seed3__budget40__baseline.json,b0808f99bc63c71c3238ba967cd8d6bcd490fe05ddbe48ee21894eae2d63917b,OK
