category,composition,eval_budget,instance,queue_status,run_status,runtime_cap_seconds,seed,total_cost,variant
vanilla,all_ev,3000,e2-vanilla-25c-01,terminal,OK,180.0,1,1146.069581709001,free_mixed
vanilla,all_cv,3000,e2-vanilla-25c-01,terminal,OK,180.0,1,1213.2666144034245,cv_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-25c-01,terminal,OK,180.0,1,1076.8414200057207,ev_shell
vanilla,all_ev,3000,e2-vanilla-25c-01,terminal,OK,180.0,2,1032.2040854185698,free_mixed
vanilla,all_cv,3000,e2-vanilla-25c-01,terminal,OK,180.0,2,1217.3069621269772,cv_shell
vanilla,all_ev,3000,e2-vanilla-25c-01,terminal,OK,180.0,2,1053.8197267313503,ev_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-25c-01,terminal,OK,180.0,3,1179.6984381128796,free_mixed
vanilla,all_cv,3000,e2-vanilla-25c-01,terminal,OK,180.0,3,1231.7355894264756,cv_shell
vanilla,all_ev,3000,e2-vanilla-25c-01,terminal,OK,180.0,3,1135.438926504942,ev_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-50c-01,terminal,OK,180.0,1,2453.213226859258,free_mixed
vanilla,all_cv,3000,e2-vanilla-50c-01,terminal,OK,180.0,1,2807.8495387442276,cv_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-50c-01,terminal,OK,180.0,1,2485.038934209467,ev_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-50c-01,terminal,OK,180.0,2,2563.3659927577605,free_mixed
vanilla,all_cv,3000,e2-vanilla-50c-01,terminal,OK,180.0,2,2799.4022778724207,cv_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-50c-01,terminal,OK,180.0,2,2583.339193276202,ev_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-50c-01,terminal,OK,180.0,3,2443.6602824144984,free_mixed
vanilla,all_cv,3000,e2-vanilla-50c-01,terminal,OK,180.0,3,2827.741990979782,cv_shell
vanilla,all_ev,3000,e2-vanilla-50c-01,terminal,OK,180.0,3,2456.2298494377847,ev_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-75c-01,terminal,OK,180.0,1,4523.59614398588,free_mixed
vanilla,all_cv,3000,e2-vanilla-75c-01,terminal,OK,180.0,1,4706.589203813759,cv_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-75c-01,terminal,OK,180.0,1,4362.8993049830115,ev_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-75c-01,terminal,OK,180.0,2,4303.290463227472,free_mixed
vanilla,all_cv,3000,e2-vanilla-75c-01,terminal,OK,180.0,2,4665.900910938217,cv_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-75c-01,terminal,OK,180.0,2,4281.106881869969,ev_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-75c-01,terminal,OK,180.0,3,4598.071397359392,free_mixed
vanilla,all_cv,3000,e2-vanilla-75c-01,terminal,OK,180.0,3,4617.983556275101,cv_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-75c-01,terminal,OK,180.0,3,4354.835639734542,ev_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-100c-01,terminal,OK,300.0,1,5173.280637290403,free_mixed
vanilla,all_cv,3000,e2-vanilla-100c-01,terminal,OK,300.0,1,6158.0206363550615,cv_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-100c-01,terminal,OK,300.0,1,5255.908770898716,ev_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-100c-01,terminal,OK,300.0,2,5419.412183073539,free_mixed
vanilla,all_cv,3000,e2-vanilla-100c-01,terminal,OK,300.0,2,6005.927937498446,cv_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-100c-01,terminal,OK,300.0,2,5503.083141618283,ev_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-100c-01,terminal,OK,300.0,3,5386.207466147553,free_mixed
vanilla,all_cv,3000,e2-vanilla-100c-01,terminal,OK,300.0,3,5993.166340762592,cv_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-100c-01,terminal,OK,300.0,3,5386.207466147553,ev_shell
vanilla,all_ev,3000,e2-vanilla-150c-01,terminal,OK,900.0,1,7368.6302889713625,free_mixed
vanilla,all_cv,3000,e2-vanilla-150c-01,terminal,OK,900.0,1,7510.521270058546,cv_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-150c-01,terminal,OK,900.0,1,6712.249458121984,ev_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-150c-01,terminal,OK,900.0,2,7488.040693604439,free_mixed
vanilla,all_cv,3000,e2-vanilla-150c-01,terminal,OK,900.0,2,7362.084484434414,cv_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-150c-01,terminal,OK,900.0,2,7522.579480572626,ev_shell
vanilla,all_ev,3000,e2-vanilla-150c-01,terminal,OK,900.0,3,7257.0922320966365,free_mixed
vanilla,all_cv,3000,e2-vanilla-150c-01,terminal,OK,900.0,3,7441.420407611793,cv_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-150c-01,terminal,OK,900.0,3,7339.889937435596,ev_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-200c-01,terminal,OK,900.0,1,10342.38892553456,free_mixed
vanilla,all_cv,3000,e2-vanilla-200c-01,terminal,OK,900.0,1,11032.42358750122,cv_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-200c-01,terminal,OK,900.0,1,10342.38892553456,ev_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-200c-01,terminal,OK,900.0,2,10377.837588185568,free_mixed
vanilla,all_cv,3000,e2-vanilla-200c-01,terminal,OK,900.0,2,11206.68699949503,cv_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-200c-01,terminal,OK,900.0,2,10445.758485369792,ev_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-200c-01,terminal,OK,900.0,3,10600.331158515586,free_mixed
vanilla,all_cv,3000,e2-vanilla-200c-01,terminal,OK,900.0,3,11133.107071445103,cv_shell
vanilla,ev_heavy_mixed,3000,e2-vanilla-200c-01,terminal,OK,900.0,3,10716.441100980726,ev_shell
multidepot,ev_heavy_mixed,3000,e2-multidepot-25c-01,terminal,OK,180.0,1,1004.4254330743684,free_mixed
multidepot,all_cv,3000,e2-multidepot-25c-01,terminal,OK,180.0,1,1013.4186119137498,cv_shell
multidepot,ev_heavy_mixed,3000,e2-multidepot-25c-01,terminal,OK,180.0,1,1004.4254330743684,ev_shell
multidepot,ev_heavy_mixed,3000,e2-multidepot-25c-01,terminal,OK,180.0,2,929.9390264192796,free_mixed
multidepot,all_cv,3000,e2-multidepot-25c-01,terminal,OK,180.0,2,1068.0916874383547,cv_shell
multidepot,ev_heavy_mixed,3000,e2-multidepot-25c-01,terminal,OK,180.0,2,929.9390264192796,ev_shell
multidepot,all_ev,3000,e2-multidepot-25c-01,terminal,OK,180.0,3,977.1219752637318,free_mixed
multidepot,all_cv,3000,e2-multidepot-25c-01,terminal,OK,180.0,3,1048.073247448967,cv_shell
multidepot,all_ev,3000,e2-multidepot-25c-01,terminal,OK,180.0,3,977.1219752637317,ev_shell
multidepot,ev_heavy_mixed,3000,e2-multidepot-50c-01,terminal,OK,180.0,1,2268.9816932117255,free_mixed
multidepot,all_cv,3000,e2-multidepot-50c-01,terminal,OK,180.0,1,2423.8123321010567,cv_shell
multidepot,ev_heavy_mixed,3000,e2-multidepot-50c-01,terminal,OK,180.0,1,2262.471049964609,ev_shell
multidepot,all_ev,3000,e2-multidepot-50c-01,terminal,OK,180.0,2,2248.1924134281335,free_mixed
multidepot,all_cv,3000,e2-multidepot-50c-01,terminal,OK,180.0,2,2439.269044798069,cv_shell
multidepot,ev_heavy_mixed,3000,e2-multidepot-50c-01,terminal,OK,180.0,2,2217.3060544790897,ev_shell
multidepot,all_ev,3000,e2-multidepot-50c-01,terminal,OK,180.0,3,2207.100441792383,free_mixed
multidepot,all_cv,3000,e2-multidepot-50c-01,terminal,OK,180.0,3,2446.3078778500008,cv_shell
multidepot,all_ev,3000,e2-multidepot-50c-01,terminal,OK,180.0,3,2305.0110267667983,ev_shell
multidepot,all_ev,3000,e2-multidepot-75c-01,terminal,OK,180.0,1,3940.7390359476817,free_mixed
multidepot,all_cv,3000,e2-multidepot-75c-01,terminal,OK,180.0,1,4155.708850382353,cv_shell
multidepot,ev_heavy_mixed,3000,e2-multidepot-75c-01,terminal,OK,180.0,1,3682.665766203227,ev_shell
multidepot,ev_heavy_mixed,3000,e2-multidepot-75c-01,terminal,OK,180.0,2,3925.63373415662,free_mixed
multidepot,all_cv,3000,e2-multidepot-75c-01,terminal,OK,180.0,2,4075.521078355864,cv_shell
multidepot,ev_heavy_mixed,3000,e2-multidepot-75c-01,terminal,OK,180.0,2,3836.579636535225,ev_shell
multidepot,ev_heavy_mixed,3000,e2-multidepot-75c-01,terminal,OK,180.0,3,3870.950802938742,free_mixed
multidepot,all_cv,3000,e2-multidepot-75c-01,terminal,OK,180.0,3,4231.443420447696,cv_shell
multidepot,ev_heavy_mixed,3000,e2-multidepot-75c-01,terminal,OK,180.0,3,3852.429697761341,ev_shell
multidepot,ev_heavy_mixed,3000,e2-multidepot-100c-01,terminal,OK,300.0,1,4841.047813072939,free_mixed
multidepot,all_cv,3000,e2-multidepot-100c-01,terminal,OK,300.0,1,5078.3304438331,cv_shell
multidepot,ev_heavy_mixed,3000,e2-multidepot-100c-01,terminal,OK,300.0,1,4670.562537786883,ev_shell
