bundle_dir,carbon_profile_exists,category,customer_count_from_name,distance_matrix_exists,exists,instance,instance_json_exists
models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-25c-01,True,vanilla,25,True,True,e2-vanilla-25c-01,True
models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-50c-01,True,vanilla,50,True,True,e2-vanilla-50c-01,True
models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-75c-01,True,vanilla,75,True,True,e2-vanilla-75c-01,True
models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-100c-01,True,vanilla,100,True,True,e2-vanilla-100c-01,True
models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-150c-01,True,vanilla,150,True,True,e2-vanilla-150c-01,True
models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-200c-01,True,vanilla,200,True,True,e2-vanilla-200c-01,True
models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-25c-01,True,multidepot,25,True,True,e2-multidepot-25c-01,True
models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-50c-01,True,multidepot,50,True,True,e2-multidepot-50c-01,True
models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-75c-01,True,multidepot,75,True,True,e2-multidepot-75c-01,True
models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-100c-01,True,multidepot,100,True,True,e2-multidepot-100c-01,True
models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-150c-01,True,multidepot,150,True,True,e2-multidepot-150c-01,True
models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-200c-01,True,multidepot,200,True,True,e2-multidepot-200c-01,True
models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,True,threeshift,50,True,True,e2-threeshift-50c-01,True
models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-01,True,threeshift,75,True,True,e2-threeshift-75c-01,True
models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-01,True,threeshift,100,True,True,e2-threeshift-100c-01,True
models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-01,True,threeshift,150,True,True,e2-threeshift-150c-01,True
models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-01,True,threeshift,200,True,True,e2-threeshift-200c-01,True
