B_battery_kwh,E_cv_direct,E_ev_indirect,E_total,active_flags,actual_evals,best_penalized_obj,carbon_price,category,commit_hash,composition,cost_carbon,cost_elec,cost_fix,cost_fuel,cost_km,cost_occ,cv_route_count,cv_route_share,depot_charging_kwh,elapsed_seconds,ev_drive_kwh,ev_route_count,ev_route_share,eval_budget,fuel_liters,instance,route_count,runtime_cap_seconds,seed,solver_reported_feasible,station_charging_kwh,status,subprocess_returncode,total_cost,v_speed_ms,variant,violation_count
280.0,257.66519388684674,133.04502443018032,390.71021831702706,"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""0"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",3000,4841.047813072939,0.05034,multidepot,b6930603,ev_heavy_mixed,19.668352390079143,421.88646513999066,2800.0,143.63510061351636,1455.8578949293521,0.0,2,0.05714285714285714,2276.7753110630906,59.78106608300004,2276.7753110630906,33,0.9428571428571428,3000,100.22685131080618,e2-multidepot-100c-01,35,300.0,1,True,0.0,OK,0,4841.047813072939,25.0,free_mixed,0
280.0,1890.4105879588888,0.0,1890.4105879588888,"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""0"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",3000,5078.3304438331,0.05034,multidepot,b6930603,all_cv,95.16326899785047,0.0,2560.0,1053.806728438352,1369.360446396898,0.0,32,1.0,0.0,53.18499116701423,0.0,0,0.0,3000,735.3337020712803,e2-multidepot-100c-01,32,300.0,1,True,0.0,OK,0,5078.3304438331,25.0,cv_shell,0
280.0,248.41865399064142,126.1860798265178,374.60473381715923,"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""0"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",3000,4670.562537786883,0.05034,multidepot,b6930603,ev_heavy_mixed,18.857602300355797,402.86458599094715,2720.0,138.4806299289675,1390.3597195666111,0.0,2,0.058823529411764705,2174.1208094492563,83.47931666698423,2174.1208094492563,32,0.9411764705882353,3000,96.6301234589125,e2-multidepot-100c-01,34,300.0,1,True,0.0,OK,0,4670.562537786883,25.0,ev_shell,0
280.0,217.3696046460561,131.6608279538199,349.030432599876,"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""0"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",3000,4763.067351257531,0.05034,multidepot,b6930603,ev_heavy_mixed,17.57019197707776,415.83733708390577,2800.0,121.17238095948493,1408.4874412370632,0.0,2,0.05714285714285714,2244.1302594922067,55.39695374999428,2244.1302594922067,33,0.9428571428571428,3000,84.55263481926238,e2-multidepot-100c-01,35,300.0,2,True,0.0,OK,0,4763.067351257531,25.0,free_mixed,0
280.0,1841.8216983290222,0.0,1841.8216983290222,"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""0"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",3000,5012.581954145316,0.05034,multidepot,b6930603,all_cv,92.71730429388298,0.0,2560.0,1026.7209201248324,1333.1437297266002,0.0,32,1.0,0.0,66.8663722499914,0.0,0,0.0,3000,716.4335497347237,e2-multidepot-100c-01,32,300.0,2,True,0.0,OK,0,5012.581954145316,25.0,cv_shell,0
280.0,217.3696046460561,131.53305185668265,348.90265650273875,"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""0"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",3000,4761.678643833171,0.05034,multidepot,b6930603,ev_heavy_mixed,17.56375972834787,415.48598968539665,2800.0,121.17238095948493,1407.456513459942,0.0,2,0.05714285714285714,2242.234159122486,55.43811254200409,2242.234159122486,33,0.9428571428571428,3000,84.55263481926238,e2-multidepot-100c-01,35,300.0,2,True,0.0,OK,0,4761.678643833171,25.0,ev_shell,0
280.0,428.63218664914126,114.15978978088302,542.7919764300243,"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""0"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",3000,4844.38944935893,0.05034,multidepot,b6930603,ev_heavy_mixed,27.324148093487427,366.28084274341046,2800.0,238.940410719881,1411.8440478021514,0.0,4,0.11428571428571428,1976.6910023929333,56.36304024999845,1976.6910023929333,31,0.8857142857142857,3000,166.72975418315607,e2-multidepot-100c-01,35,300.0,3,True,0.0,OK,0,4844.38944935893,25.0,free_mixed,0
280.0,1865.2897433410856,0.0,1865.2897433410856,"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""0"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",3000,5125.000427549517,0.05034,multidepot,b6930603,all_cv,93.89868567979025,0.0,2640.0,1039.803148871609,1351.298592998118,0.0,33,1.0,0.0,78.30045124999015,0.0,0,0.0,3000,725.5621721244917,e2-multidepot-100c-01,33,300.0,3,True,0.0,OK,0,5125.000427549517,25.0,cv_shell,0
280.0,428.63218664914126,114.15978978088306,542.7919764300243,"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""0"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",3000,4844.38944935893,0.05034,multidepot,b6930603,ev_heavy_mixed,27.324148093487427,366.2808427434106,2800.0,238.940410719881,1411.8440478021514,0.0,4,0.11428571428571428,1976.6910023929333,57.8263871659874,1976.6910023929333,31,0.8857142857142857,3000,166.72975418315607,e2-multidepot-100c-01,35,300.0,3,True,0.0,OK,0,4844.38944935893,25.0,ev_shell,0
280.0,109.52007334676586,191.57914774892885,301.0992210956947,"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""0"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",3000,6777.807260090989,0.05034,multidepot,b6930603,ev_heavy_mixed,15.157334789957272,615.1130888074855,4160.0,61.05181113934471,1926.4850253542004,0.0,1,0.019230769230769232,3319.5525569750976,86.46014366700547,3319.5525569750976,51,0.9807692307692307,3000,42.60122192404208,e2-multidepot-150c-01,52,900.0,1,True,0.0,OK,0,6777.807260090989,25.0,free_mixed,0
