category,cv_shell_composition,cv_shell_cost,cv_shell_cv_routes,cv_shell_ev_routes,ev_shell_composition,ev_shell_cost,ev_shell_cv_routes,ev_shell_ev_routes,free_mixed_composition,free_mixed_cost,free_mixed_cv_routes,free_mixed_ev_routes,instance,seed,winner_composition,winner_cv_route_count,winner_ev_route_count,winner_ev_route_share,winner_route_count,winner_status,winner_total_cost,winner_variant
multidepot,all_cv,5078.3304438331,32,0,ev_heavy_mixed,4670.562537786883,2,32,ev_heavy_mixed,4841.047813072939,2,33,e2-multidepot-100c-01,1,ev_heavy_mixed,2,32,0.9411764705882353,34,OK,4670.562537786883,ev_shell
multidepot,all_cv,5012.581954145316,32,0,ev_heavy_mixed,4761.678643833171,2,33,ev_heavy_mixed,4763.067351257531,2,33,e2-multidepot-100c-01,2,ev_heavy_mixed,2,33,0.9428571428571428,35,OK,4761.678643833171,ev_shell
multidepot,all_cv,5125.000427549517,33,0,ev_heavy_mixed,4844.38944935893,4,31,ev_heavy_mixed,4844.38944935893,4,31,e2-multidepot-100c-01,3,ev_heavy_mixed,4,31,0.8857142857142857,35,OK,4844.38944935893,free_mixed
multidepot,all_cv,7241.7429228148685,48,0,all_ev,6668.788443094313,0,51,ev_heavy_mixed,6777.807260090989,1,51,e2-multidepot-150c-01,1,all_ev,0,51,1.0,51,OK,6668.788443094313,ev_shell
multidepot,all_cv,7427.961521286857,49,0,all_ev,7038.634124614215,0,54,all_ev,6875.596029964028,0,53,e2-multidepot-150c-01,2,all_ev,0,53,1.0,53,OK,6875.596029964028,free_mixed
multidepot,all_cv,7326.20773177737,47,0,all_ev,7093.296020197384,0,55,all_ev,7094.83332445852,0,55,e2-multidepot-150c-01,3,all_ev,0,55,1.0,55,OK,7093.296020197384,ev_shell
multidepot,all_cv,9838.794400016606,67,0,ev_heavy_mixed,9184.930163221261,2,70,ev_heavy_mixed,9777.311278868036,1,76,e2-multidepot-200c-01,1,ev_heavy_mixed,2,70,0.9722222222222222,72,OK,9184.930163221261,ev_shell
multidepot,all_cv,9605.469420293539,66,0,ev_heavy_mixed,9139.849849601296,2,70,all_ev,9231.663379893913,0,73,e2-multidepot-200c-01,2,ev_heavy_mixed,2,70,0.9722222222222222,72,OK,9139.849849601296,ev_shell
multidepot,all_cv,9815.444658557279,67,0,ev_heavy_mixed,9421.259278210031,1,74,ev_heavy_mixed,9025.212570428954,1,70,e2-multidepot-200c-01,3,ev_heavy_mixed,1,70,0.9859154929577465,71,OK,9025.212570428954,free_mixed
multidepot,all_cv,1013.4186119137498,7,0,ev_heavy_mixed,1004.4254330743684,1,7,ev_heavy_mixed,1004.4254330743684,1,7,e2-multidepot-25c-01,1,ev_heavy_mixed,1,7,0.875,8,OK,1004.4254330743684,free_mixed
multidepot,all_cv,1068.0916874383547,7,0,ev_heavy_mixed,929.9390264192796,1,6,ev_heavy_mixed,929.9390264192796,1,6,e2-multidepot-25c-01,2,ev_heavy_mixed,1,6,0.8571428571428571,7,OK,929.9390264192796,free_mixed
multidepot,all_cv,1048.073247448967,7,0,all_ev,977.1219752637317,0,8,all_ev,977.1219752637318,0,8,e2-multidepot-25c-01,3,all_ev,0,8,1.0,8,OK,977.1219752637317,ev_shell
multidepot,all_cv,2423.8123321010567,16,0,ev_heavy_mixed,2262.471049964609,1,16,ev_heavy_mixed,2268.9816932117255,1,16,e2-multidepot-50c-01,1,ev_heavy_mixed,1,16,0.9411764705882353,17,OK,2262.471049964609,ev_shell
multidepot,all_cv,2439.269044798069,16,0,ev_heavy_mixed,2217.3060544790897,1,15,all_ev,2248.1924134281335,0,17,e2-multidepot-50c-01,2,ev_heavy_mixed,1,15,0.9375,16,OK,2217.3060544790897,ev_shell
multidepot,all_cv,2446.3078778500008,16,0,all_ev,2305.0110267667983,0,18,all_ev,2207.100441792383,0,17,e2-multidepot-50c-01,3,all_ev,0,17,1.0,17,OK,2207.100441792383,free_mixed
multidepot,all_cv,4155.708850382353,25,0,ev_heavy_mixed,3682.665766203227,1,25,all_ev,3940.7390359476817,0,29,e2-multidepot-75c-01,1,ev_heavy_mixed,1,25,0.9615384615384616,26,OK,3682.665766203227,ev_shell
multidepot,all_cv,4075.521078355864,25,0,ev_heavy_mixed,3836.579636535225,4,22,ev_heavy_mixed,3925.63373415662,3,24,e2-multidepot-75c-01,2,ev_heavy_mixed,4,22,0.8461538461538461,26,OK,3836.579636535225,ev_shell
multidepot,all_cv,4231.443420447696,26,0,ev_heavy_mixed,3852.429697761341,2,25,ev_heavy_mixed,3870.950802938742,1,27,e2-multidepot-75c-01,3,ev_heavy_mixed,2,25,0.9259259259259259,27,OK,3852.429697761341,ev_shell
threeshift,all_cv,5062.404501085723,30,0,ev_heavy_mixed,4763.557142978703,1,33,ev_heavy_mixed,4757.716501437331,1,33,e2-threeshift-100c-01,1,ev_heavy_mixed,1,33,0.9705882352941176,34,OK,4757.716501437331,free_mixed
threeshift,all_cv,5134.753771532116,31,0,all_ev,4596.892652731051,0,33,ev_heavy_mixed,4612.206793823856,1,31,e2-threeshift-100c-01,2,all_ev,0,33,1.0,33,OK,4596.892652731051,ev_shell
threeshift,all_cv,4972.119063905068,30,0,all_ev,4438.807254935763,0,31,all_ev,4394.116693242895,0,31,e2-threeshift-100c-01,3,all_ev,0,31,1.0,31,OK,4394.116693242895,free_mixed
