record_type,record_id,instance_id,target_ev_share,target_ev_percent,depot_count,total_fleet_cap,target_ev_available,target_cv_available,physical_cv_used,physical_ev_used,violation_count,violations_json,status,route_search_executed,search_evaluations
fleet_authority_zero_search_certification,W2/cn-cy-100c-01-V2-LOCATIONS/ev_share_0,cn-cy-100c-01-V2-LOCATIONS,0.00,0,2,16,0,16,12,0,0,[],CERTIFIED,False,0
fleet_authority_zero_search_certification,W2/cn-cy-100c-01-V2-LOCATIONS/ev_share_25,cn-cy-100c-01-V2-LOCATIONS,0.25,25,2,16,4,12,12,0,0,[],CERTIFIED,False,0
fleet_authority_zero_search_certification,W2/cn-cy-100c-01-V2-LOCATIONS/ev_share_50,cn-cy-100c-01-V2-LOCATIONS,0.50,50,2,16,8,8,8,7,0,[],CERTIFIED,False,0
fleet_authority_zero_search_certification,W2/cn-cy-100c-01-V2-LOCATIONS/ev_share_75,cn-cy-100c-01-V2-LOCATIONS,0.75,75,2,16,12,4,3,12,0,[],CERTIFIED,False,0
fleet_authority_zero_search_certification,W2/cn-cy-100c-01-V2-LOCATIONS/ev_share_100,cn-cy-100c-01-V2-LOCATIONS,1.00,100,2,16,16,0,0,15,0,[],CERTIFIED,False,0
fleet_authority_zero_search_certification,W2/cn-cy-100c-02-V2-LOCATIONS/ev_share_0,cn-cy-100c-02-V2-LOCATIONS,0.00,0,2,16,0,16,12,0,0,[],CERTIFIED,False,0
fleet_authority_zero_search_certification,W2/cn-cy-100c-02-V2-LOCATIONS/ev_share_25,cn-cy-100c-02-V2-LOCATIONS,0.25,25,2,16,4,12,9,3,0,[],CERTIFIED,False,0
fleet_authority_zero_search_certification,W2/cn-cy-100c-02-V2-LOCATIONS/ev_share_50,cn-cy-100c-02-V2-LOCATIONS,0.50,50,2,16,8,8,8,4,0,[],CERTIFIED,False,0
fleet_authority_zero_search_certification,W2/cn-cy-100c-02-V2-LOCATIONS/ev_share_75,cn-cy-100c-02-V2-LOCATIONS,0.75,75,2,16,12,4,3,12,0,[],CERTIFIED,False,0
fleet_authority_zero_search_certification,W2/cn-cy-100c-02-V2-LOCATIONS/ev_share_100,cn-cy-100c-02-V2-LOCATIONS,1.00,100,2,16,16,0,0,15,0,[],CERTIFIED,False,0
