instance_id,seed,n_clients,sprint_cost,cpu_seconds,epochs_run,witness_file
PR12A,12,480,8209.178,1066.630237458041,5,witness_PR12A_seed12.json
PR12A,11,480,8194.549,1188.9905938750599,8,witness_PR12A_seed11.json
PR13A,11,600,9639.308,1140.221115250024,5,witness_PR13A_seed11.json
PR13A,12,600,9606.73,1259.1300837910967,7,witness_PR13A_seed12.json
PR15A,11,840,12837.595,1967.4021174160298,8,witness_PR15A_seed11.json
PR15A,12,840,12864.337,1962.4381392910145,8,witness_PR15A_seed12.json
PR16A,11,960,14193.986,2042.190252915956,8,witness_PR16A_seed11.json
PR16A,12,960,14154.53,2042.3434191669803,8,witness_PR16A_seed12.json
PR16B,11,960,11372.564,2041.8494679579744,8,witness_PR16B_seed11.json
PR16B,12,960,11379.581,2041.2751455829712,8,witness_PR16B_seed12.json
PR17A,11,360,6308.669,360.3923029159196,4,witness_PR17A_seed11.json
PR17A,12,360,6308.664,605.9975049159257,7,witness_PR17A_seed12.json
PR20A,11,880,11773.845,2049.8892939579673,8,witness_PR20A_seed11.json
PR20A,12,880,11839.623,2048.387169291964,8,witness_PR20A_seed12.json
PR22A,11,600,7939.777,1873.431078750058,8,witness_PR22A_seed11.json
PR22A,12,600,7916.994,1788.0922425000463,8,witness_PR22A_seed12.json
PR23A,11,780,9794.039,1954.3766444580397,8,witness_PR23A_seed11.json
PR23A,12,780,9842.258,2000.2464906250825,8,witness_PR23A_seed12.json
PR24A,11,960,11699.874,2041.5519653329393,8,witness_PR24A_seed11.json
PR24A,12,960,11734.587,2028.40708716691,8,witness_PR24A_seed12.json
PR17B,11,360,4788.926,570.9645460420288,7,witness_PR17B_seed11.json
PR17B,12,360,4805.825,424.67489170795307,6,witness_PR17B_seed12.json
PR21B,12,420,4822.337,730.2734018340707,3,witness_PR21B_seed12.json
PR21B,11,420,4842.531,1215.1781643340364,7,witness_PR21B_seed11.json
PR21A,11,420,6234.394,406.19006587495096,4,witness_PR21A_seed11.json
PR11B,11,360,4816.704,306.48002949997317,7,witness_PR11B_seed11.json
PR21A,12,420,6270.313,662.1251541670645,6,witness_PR21A_seed12.json
PR11B,12,360,4815.184,493.8206633749651,3,witness_PR11B_seed12.json
PR12B,11,480,6019.057,916.4571252090391,8,witness_PR12B_seed11.json
PR12B,12,480,6038.854,596.2788205420366,4,witness_PR12B_seed12.json
