algorithm,selected_seed,point_order,elapsed_seconds,elapsed_minutes,cost_cny,source
HGS-F,1,0,0.0,0.0,2726.5931051951147,common_initial
HGS-F,1,1,0.028579000005265698,0.0004763166667544283,2587.207431321163,hgs_new_proxy_population_best
HGS-F,1,2,0.2100216250109952,0.0035003604168499197,2532.6588114034366,hgs_new_proxy_population_best
HGS-F,1,3,0.2984233330062125,0.004973722216770208,2480.9640549448004,hgs_new_proxy_population_best
HGS-F,1,4,0.3429080409987364,0.005715134016645607,2479.226659742763,hgs_new_proxy_population_best
HGS-F,1,5,1.115028958010953,0.018583815966849215,2473.7268350732356,hgs_new_proxy_population_best
HGS-F,1,6,15.7984704580158,0.26330784096693,2468.13821350964,sealed_final_solution
HGS-E,3,0,0.0,0.0,2726.5931051951147,common_initial
HGS-E,3,1,0.025188875006278977,0.00041981458343798295,2409.3222870595723,hgs_new_proxy_population_best
HGS-E,3,2,0.02978920898749493,0.0004964868164582489,2401.8445084942714,hgs_new_proxy_population_best
HGS-E,3,3,0.43764166699838825,0.007294027783306471,2399.7273325230403,hgs_new_proxy_population_best
HGS-E,3,4,0.44757716701133177,0.0074596194501888625,2397.9464900022326,hgs_new_proxy_population_best
HGS-E,3,5,0.5716529999917839,0.009527549999863065,2396.4406324891243,hgs_new_proxy_population_best
HGS-E,3,6,4.22399066700018,0.070399844450003,2395.5393549564774,hgs_new_proxy_population_best
HGS-E,3,7,17.039117750013247,0.28398529583355414,2393.8185755222853,sealed_final_solution
HGS-M,1,0,0.0,0.0,2726.5931051951147,common_initial
HGS-M,1,1,0.023433541995473206,0.00039055903325788675,2519.5447320746603,hgs_new_proxy_population_best
HGS-M,1,2,0.10244004198466428,0.0017073340330777378,2421.740847664967,hgs_new_proxy_population_best
HGS-M,1,3,0.4281656669918448,0.00713609444986408,2407.8120817032836,hgs_new_proxy_population_best
HGS-M,1,4,0.5176355000003241,0.008627258333338736,2404.1527590266987,hgs_new_proxy_population_best
HGS-M,1,5,0.7823712499812245,0.013039520833020408,2400.2496929740387,hgs_new_proxy_population_best
HGS-M,1,6,1.2068057089927606,0.020113428483212677,2398.418975384616,hgs_new_proxy_population_best
HGS-M,1,7,2.7190250839921646,0.04531708473320274,2396.6981959504237,hgs_new_proxy_population_best
HGS-M,1,8,4.663713374990039,0.07772855624983398,2394.571800470882,hgs_new_proxy_population_best
HGS-M,1,9,12.474247833975824,0.20790413056626372,2393.8185755222853,hgs_new_proxy_population_best
MV-HGS-SP,1,0,0.0,0.0,2726.5931051951147,common_initial
MV-HGS-SP,1,1,0.028579000005265698,0.0004763166667544283,2587.207431321163,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,1,2,0.2100216250109952,0.0035003604168499197,2532.6588114034366,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,1,3,0.2984233330062125,0.004973722216770208,2480.9640549448004,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,1,4,0.3429080409987364,0.005715134016645607,2479.226659742763,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,1,5,1.115028958010953,0.018583815966849215,2473.7268350732356,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,1,6,15.811948416027008,0.2635324736004501,2467.152335725226,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,7,15.818799708009465,0.2636466618001577,2411.9039379401356,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,8,15.872540333017241,0.26454233888362066,2405.451920778832,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,9,15.90203791600652,0.26503396526677536,2404.7363848809982,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,10,15.911444249009946,0.2651907374834991,2402.2775552478497,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,11,16.17109633301152,0.26951827221685865,2401.1991489301463,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,12,16.247378666012082,0.2707896444335347,2400.5112022258163,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,13,16.59240429100464,0.27654007151674403,2394.9971274529826,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,14,36.31924408301711,0.6053207347169518,2394.571800470882,mechanism_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,15,44.129778542002896,0.7354963090333816,2393.8185755222853,mechanism_ev:hgs_new_proxy_population_best
