coalition,union_cost_cny,violation_count,violation_locations,status
D_dongguan+D_foshan,2763.362163198,0,,LEGAL
D_dongguan+D_guangzhou,5299.228831545,0,,LEGAL
D_dongguan+D_shenzhen,5615.665451703,0,,LEGAL
D_foshan+D_guangzhou,4905.802579442,1,S_shenzhen@slot14,ILLEGAL
D_foshan+D_shenzhen,5222.239199599,0,,LEGAL
D_guangzhou+D_shenzhen,7758.105867947,1,S_dongguan@slot13,ILLEGAL
D_dongguan+D_foshan+D_guangzhou,6484.196787092,1,S_shenzhen@slot14,ILLEGAL
D_dongguan+D_foshan+D_shenzhen,6800.633407250,0,,LEGAL
D_dongguan+D_guangzhou+D_shenzhen,9336.500075597,1,S_dongguan@slot13,ILLEGAL
D_foshan+D_guangzhou+D_shenzhen,8943.073823494,2,S_dongguan@slot13;S_shenzhen@slot14,ILLEGAL
D_dongguan+D_foshan+D_guangzhou+D_shenzhen,10521.468031144,2,S_dongguan@slot13;S_shenzhen@slot14,ILLEGAL
