algorithm,selected_seed,sealed_final_cost,rerun_final_cost,final_cost_equal,hgs_iterations,curve_point_count,offline_snapshot_count,offline_valid_count,offline_infeasible_count,offline_error_count
HGS-F,1,5286.883766731755,5286.883766731755,True,5000,13,19,19,0,0
HGS-E,6,5185.209597498421,5185.209597498421,True,5000,16,18,18,0,0
HGS-M,10,5185.578285945435,5185.578285945435,True,5000,27,28,28,0,0
MV-HGS-SP,10,5178.443417297478,5178.443417297478,True,15000,27,68,68,0,0
