layer,fee,charge_energy_kwh,charge_start_second,departure_second,end_battery_kwh,home_depot_id,physical_vehicle_id,recharge_end_second,return_second,route_id,start_battery_kwh,trip_index,vehicle_type
M0,0.0,,,0.0,,D0,CV_D0_1,18800.22379388804,18800.22379388804,CV_D0_1#T1,,1,cv
M0,0.0,,,33749.68390787772,,D0,CV_D0_1,50008.504517469264,50008.504517469264,CV_D0_1#T2,,2,cv
M0,0.0,,,0.0,,D0,CV_D0_2,23783.605100987214,23783.605100987214,CV_D0_2#T1,,1,cv
M0,0.0,,,35678.5227616656,,D0,CV_D0_2,51678.365197942876,51678.365197942876,CV_D0_2#T2,,2,cv
M0,0.0,,,683.7275647218908,,D0,CV_D0_3,23221.039812879306,23221.039812879306,CV_D0_3#T1,,1,cv
M0,0.0,,,35023.98860324454,,D0,CV_D0_3,56218.86881381532,56218.86881381532,CV_D0_3#T2,,2,cv
M0,0.0,,,1293.604218642679,,D0,CV_D0_4,25126.327860222296,25126.327860222296,CV_D0_4#T1,,1,cv
M0,0.0,,,35750.416819005266,,D0,CV_D0_4,51672.84604168327,51672.84604168327,CV_D0_4#T2,,2,cv
M0,0.0,,,2022.2448207165626,,D0,CV_D0_5,18591.425473777406,18591.425473777406,CV_D0_5#T1,,1,cv
M0,0.0,,,32903.70128510708,,D0,CV_D0_5,49071.11701108963,49071.11701108963,CV_D0_5#T2,,2,cv
M0,0.0,,,65002.3990154362,,D0,CV_D0_5,85487.9254925496,85487.9254925496,CV_D0_5#T3,,3,cv
M0,0.0,,,2401.536613798221,,D0,CV_D0_6,21822.43006598523,21822.43006598523,CV_D0_6#T1,,1,cv
M0,0.0,,,34207.00405746308,,D0,CV_D0_6,50298.72376900734,50298.72376900734,CV_D0_6#T2,,2,cv
M0,0.0,,,3018.79130352505,,D0,CV_D0_7,20600.71845009501,20600.71845009501,CV_D0_7#T1,,1,cv
M0,0.0,,,34204.13142357559,,D0,CV_D0_7,49572.34257135784,49572.34257135784,CV_D0_7#T2,,2,cv
M0,0.0,,,65072.0248294008,,D0,CV_D0_7,81348.17384546318,81348.17384546318,CV_D0_7#T3,,3,cv
M0,0.0,,,161.8101366340561,,D1,CV_D1_1,15292.383130238404,15292.383130238404,CV_D1_1#T1,,1,cv
M0,0.0,,,32516.360452420584,,D1,CV_D1_1,55255.781483761806,55255.781483761806,CV_D1_1#T2,,2,cv
M0,0.0,,,795.7822330732993,,D1,CV_D1_2,18440.118992582346,18440.118992582346,CV_D1_2#T1,,1,cv
M0,0.0,,,33975.1124001011,,D1,CV_D1_2,59530.791414631094,59530.791414631094,CV_D1_2#T2,,2,cv
M0,0.0,,,1993.4569306703713,,D1,CV_D1_3,19408.2568092329,19408.2568092329,CV_D1_3#T1,,1,cv
M0,0.0,,,36003.005653255605,,D1,CV_D1_3,54250.160382940434,54250.160382940434,CV_D1_3#T2,,2,cv
M0,0.0,,,64912.02711979795,,D1,CV_D1_3,80910.64982510639,80910.64982510639,CV_D1_3#T3,,3,cv
M0,0.0,,,2046.7408517407493,,D1,CV_D1_4,19101.929686286494,19101.929686286494,CV_D1_4#T1,,1,cv
M0,0.0,,,34519.02591084116,,D1,CV_D1_4,58756.15690300203,58756.15690300203,CV_D1_4#T2,,2,cv
M0,0.0,,,2995.0745337872986,,D1,CV_D1_5,18412.22810337804,18412.22810337804,CV_D1_5#T1,,1,cv
M0,0.0,,,33544.08443337011,,D1,CV_D1_5,57506.64528098935,57506.64528098935,CV_D1_5#T2,,2,cv
M0,0.0,,,4281.450538001864,,D1,CV_D1_6,22725.899988724635,22725.899988724635,CV_D1_6#T1,,1,cv
M0,0.0,,,64800.662994672275,,D1,CV_D1_6,80193.25063006123,80193.25063006123,CV_D1_6#T2,,2,cv
M0,0.0,,,4613.294051631173,,D1,CV_D1_7,21284.59456761602,21284.59456761602,CV_D1_7#T1,,1,cv
M0,0.0,,,36103.71310692429,,D1,CV_D1_7,55199.279687867696,55199.279687867696,CV_D1_7#T2,,2,cv
M0,0.0,122.48075198535753,11711.517145847032,0.0,0.0,D0,EV_D0_1,31753.822016178266,10192.34375208405,EV_D0_1#T1,108.20835334741801,1,ev
M0,0.0,,,31753.822016178266,-1.4210854715202004e-14,D0,EV_D0_1,46041.81223114109,46041.81223114109,EV_D0_1#T2,122.48075198535753,2,ev
M0,0.0,106.18988659840258,16299.811859694131,0.0,20.320518389349132,D0,EV_D0_2,33676.338757614554,16299.811859694135,EV_D0_2#T1,170.98918886180456,1,ev
M0,0.0,,,33676.338757614554,0.0,D0,EV_D0_2,48106.02149869902,48106.02149869902,EV_D0_2#T2,126.51040498775171,2,ev
M0,0.0,109.67794858319922,15392.673459050351,468.38762106278637,9.061874739353016,D0,EV_D0_3,33339.97413630113,15392.673459050351,EV_D0_3#T1,137.13886415006405,1,ev
M0,0.0,,,33339.974136301134,1.4210854715202004e-14,D0,EV_D0_3,47343.27327898159,47343.27327898159,EV_D0_3#T2,118.73982332255224,2,ev
M0,0.0,99.6926136317561,17097.21682943391,896.4022968863701,33.46333736488535,D0,EV_D0_4,33410.553605539455,17097.21682943391,EV_D0_4#T1,178.56976821905118,1,ev
