instance,right_algorithm,pairs,mean_gain_pct,median_gain_pct,wins,ties,losses
L-main-threeshift-200c-01,staged_hybrid_carbon_naive,1,2.2860351503674466e-05,2.2860351503674466e-05,1,0,0
L-main-threeshift-200c-01,LNS,1,0.0,0.0,0,1,0
