instance,size,pairs,mean_gain_pct,median_gain_pct,wins,ties,losses
L-main-threeshift-15c-01,15,0,nan,nan,0,0,0
L-main-threeshift-50c-01,50,0,nan,nan,0,0,0
L-main-threeshift-100c-01,100,0,nan,nan,0,0,0
L-main-threeshift-200c-01,200,1,0.0,0.0,0,1,0
