check,passed
old_source_reconstructed_by_unused_import_and_blank_line,true
in_memory_compile_pass,true
ruff_pass,true
five_iteration_equivalence_pass,true
behaviour_probe_pass,true
parent_effective_g0_pass,true
failed_repair_preserved,true
prototype_sidecars_zero_before_evidence_write,true
