condition,operating_day,source_cell_count,mean_difference_percentage_points,median_difference_percentage_points,reassignment_higher,reassignment_lower,tied,two_sided_sign_p
geographic,2025-11-02,9,0.2506509052588432,0.06452523585206382,6,3,0,0.5078125
geographic,2025-11-03,9,-0.040013755570485796,-0.07627801094267217,3,6,0,0.5078125
geographic,2025-11-04,9,-0.12665652247238965,0.16313255271883842,5,4,0,1.0
geographic,2025-11-05,9,0.04713443010113013,0.05042825439420753,5,4,0,1.0
geographic,2025-11-06,9,0.09327873201566485,0.04831419718804936,5,4,0,1.0
geographic,2025-11-07,9,-0.001088368056326774,0.0,2,3,4,1.0
geographic,2025-11-08,9,0.16708635894449156,0.25412039752302673,6,3,0,0.5078125
geographic,2025-11-09,9,0.032739711207825276,0.12860822902873104,5,4,0,1.0
geographic,2025-11-10,9,0.7500485831945317,0.5530499360405141,6,3,0,0.5078125
geographic,2025-11-11,9,-0.36004775472474243,-0.2555313370009284,3,6,0,0.5078125
geographic,2025-11-12,9,1.3161267279685316,1.4471947294490022,6,3,0,0.5078125
geographic,2025-11-13,9,-0.0012200469303867457,0.0,3,4,2,1.0
geographic,2025-11-14,9,0.11650819783384771,0.04517736635278935,5,3,1,0.7265625
geographic,2025-11-15,9,-0.2750993265495558,-0.20754105423141556,4,5,0,1.0
geographic,2025-11-16,9,0.17114818585855837,0.27578935039171604,6,3,0,0.5078125
geographic,2025-11-17,9,0.035642816427851325,0.11971217660849126,5,4,0,1.0
geographic,2025-11-18,9,-0.1676201478459214,0.02139097860392347,6,3,0,0.5078125
geographic,2025-11-19,9,0.40693349140420704,0.6835801682396809,5,4,0,1.0
geographic,2025-11-20,9,-0.08740476724170665,-0.10086215958998625,3,6,0,0.5078125
geographic,2025-11-21,9,-0.10309946121832617,-0.10151565507378611,0,5,4,0.0625
geographic,2025-11-22,9,1.1206739552523877,0.9507721371418754,6,3,0,0.5078125
geographic,2025-11-23,9,-0.0618654534542658,0.003649100633588108,5,4,0,1.0
geographic,2025-11-24,9,1.8362125775794367,1.96842449629521,5,4,0,1.0
geographic,2025-11-25,9,0.006791721943916164,0.0,3,1,5,0.625
geographic,2025-11-26,9,-0.050141628275835876,0.0,2,3,4,1.0
geographic,2025-11-27,9,1.254830509962216,1.438502498450699,6,3,0,0.5078125
geographic,2025-11-28,9,0.21371206322572703,0.16035005781482936,6,3,0,0.5078125
geographic,2025-11-29,9,0.4688224780476225,0.12316198249369847,6,3,0,0.5078125
mixed,2025-11-02,9,0.36115039540701027,-0.014539342691705603,4,5,0,1.0
mixed,2025-11-03,9,-0.11531999611683037,-0.010271556530478176,4,5,0,1.0
mixed,2025-11-04,9,-0.49057792417711155,-0.42897738099119237,1,8,0,0.0390625
mixed,2025-11-05,9,0.028970778790859138,0.01018913928406407,5,4,0,1.0
mixed,2025-11-06,9,0.14447533760382802,0.05660467327905407,5,3,1,0.7265625
mixed,2025-11-07,9,-0.05400197959922808,-0.018460592678899948,1,5,3,0.21875
mixed,2025-11-08,9,-0.23281013829385339,-0.35539940850465146,2,7,0,0.1796875
mixed,2025-11-09,9,0.06417761433058736,0.13239017443849818,6,3,0,0.5078125
mixed,2025-11-10,9,2.1698722121649467,1.4283282806969684,9,0,0,0.00390625
mixed,2025-11-11,9,-0.7898163320601417,-1.1475544241885163,2,7,0,0.1796875
mixed,2025-11-12,9,2.6367935137630627,2.9297540875570363,6,3,0,0.5078125
mixed,2025-11-13,9,-0.007244191023864748,0.0,1,4,4,0.375
mixed,2025-11-14,9,0.3304187567521518,0.38017691171334983,6,2,1,0.2890625
mixed,2025-11-15,9,-0.7592451161950082,-0.8932960541426855,0,9,0,0.00390625
mixed,2025-11-16,9,0.3606585670245427,0.5692070750024639,6,3,0,0.5078125
mixed,2025-11-17,9,0.6151046886897923,0.23501993640455687,6,3,0,0.5078125
mixed,2025-11-18,9,-0.3932444737673094,-0.46932626470621613,1,8,0,0.0390625
mixed,2025-11-19,9,0.5029595536885672,0.6117960432086256,5,4,0,1.0
mixed,2025-11-20,9,-0.23275069926355188,-0.2356766891978359,2,7,0,0.1796875
mixed,2025-11-21,9,-0.5150790032443598,-0.6370023500145578,0,6,3,0.03125
mixed,2025-11-22,9,2.1487584287446913,2.1989092605929343,9,0,0,0.00390625
mixed,2025-11-23,9,0.07779483885509349,0.06013594180212868,6,2,1,0.2890625
mixed,2025-11-24,9,4.560640841798428,4.233418332586101,8,1,0,0.0390625
mixed,2025-11-25,9,-0.013947626387126273,0.0,1,4,4,0.375
mixed,2025-11-26,9,-0.498639512258486,-0.38837192154477673,0,6,3,0.03125
mixed,2025-11-27,9,2.7033041635178616,2.1896778481807537,9,0,0,0.00390625
mixed,2025-11-28,9,0.13447086895339969,0.015474787024295833,5,4,0,1.0
mixed,2025-11-29,9,1.6668041193494787,1.4102031903485868,8,1,0,0.0390625
