condition,arm,operating_day,instance_count,pooled_immediate_actual_charging_kg,pooled_realized_saving_kg,pooled_charging_reduction_pct,pooled_total_operational_reduction_pct,mean_cell_charging_reduction_pct,median_cell_charging_reduction_pct,cells_improved,cells_worsened,cells_tied,two_sided_sign_p,pooled_oracle_potential_pct,pooled_forecast_capture_ratio,pooled_pre_day_saving_kg,pooled_between_trip_saving_kg
geographic,ownership_fixed,2025-11-02,9,724.0467005821893,4.281702330011572,0.5913572048002917,0.03480338952223629,0.548337683322916,0.5575365686893932,8,1,0,0.0390625,2.1222847761698405,0.27864177863421996,4.464899641271841,-0.18319731126027722
geographic,ownership_fixed,2025-11-03,9,909.5552526979749,-5.967129712269036,-0.6560491728863084,-0.04778270798554835,-0.5965753984180409,-0.5829390098934037,0,9,0,0.00390625,0.3722917738669064,-1.7621908914937365,-5.8741949838981045,-0.09293472837093712
geographic,ownership_fixed,2025-11-04,9,858.0346566898386,1.3944569925718433,0.16251756053204622,0.011212587165567353,0.5949938675512478,0.688972671938159,7,2,0,0.1796875,3.4791699500047804,0.04671159008252038,1.7048811180561703,-0.31042412548432924
geographic,ownership_fixed,2025-11-05,9,936.3900255328231,-0.3455071701605341,-0.03689778412194579,-0.002760769310657832,-0.0151514255611027,-0.057435514551806545,2,7,0,0.1796875,0.27672973792329836,-0.13333508859164536,0.075377010239056,-0.42088418039955167
geographic,ownership_fixed,2025-11-06,9,1401.8609776951344,3.104337668836527,0.22144404603803972,0.02391565462558074,0.23494047328794954,0.11778023721363345,7,2,0,0.1796875,0.42405474824260087,0.5222062645348615,3.437535695972148,-0.3331980271356466
geographic,ownership_fixed,2025-11-07,9,2155.879654164415,0.5895375346149289,0.027345567897361336,0.004292422831215683,0.007832384981637297,0.0,3,1,5,0.625,0.05369812000729621,0.5092462807570501,0.0,0.5895375346149194
geographic,ownership_fixed,2025-11-08,9,2558.249305519814,-34.46093660635414,-1.3470515376276817,-0.24376850930045568,-1.4352196268650248,-1.3389821734176048,0,9,0,0.00390625,0.38933899100966013,-3.459842370614915,-34.77003346768373,0.3090968613294554
geographic,ownership_fixed,2025-11-09,9,2182.8366911034636,-2.691748108850618,-0.12331422317671828,-0.01956022649516975,-0.21384662725861725,-0.16524177226156617,1,8,0,0.0390625,0.44738862459390855,-0.2756311099520014,-4.524128929232812,1.832380820382184
geographic,ownership_fixed,2025-11-10,9,1721.8763253675675,124.55793835083476,7.233849290787216,0.9364995398763354,7.048111899926404,6.854144101920482,9,0,0,0.00390625,7.867109935538916,0.9195053011918639,124.70384973080903,-0.14591137997428424
geographic,ownership_fixed,2025-11-11,9,1260.7701421853885,-4.928062309975076,-0.39087714287339426,-0.038382737252955795,-0.5400426034962796,-0.5323746403994892,0,9,0,0.00390625,0.4597674047849082,-0.8501627971131562,-9.60935481455248,4.6812925045773826
geographic,ownership_fixed,2025-11-12,9,1228.5486875912848,328.4589077917462,26.735522255591576,2.564673435316782,28.176701474472377,26.834445964173504,9,0,0,0.00390625,26.7519682281184,0.9993852425217244,328.5888791799582,-0.12997138821200355
geographic,ownership_fixed,2025-11-13,9,803.6277511165596,-0.07613801004128835,-0.009474288305188849,-0.0006149026065197037,-0.007588138217763286,0.0,1,2,6,1.0,0.013747120946768998,-0.6891834546211366,-0.07635132706186927,0.00021331702058565344
geographic,ownership_fixed,2025-11-14,9,852.6834661600087,4.291514624618103,0.5032951610923798,0.03452218003393811,0.43977708886442435,0.25844436567726986,7,0,2,0.015625,0.7326024083141712,0.6869963234908523,3.8911902443545068,0.40032438026359307
