condition,instance,source_cell_count,mean_difference_percentage_points,median_difference_percentage_points,reassignment_higher,reassignment_lower,tied,two_sided_sign_p
geographic,L-main-threeshift-100c-01,28,0.49386612073063485,0.22038754207815014,22,6,0,0.0037191659212112427
geographic,L-main-threeshift-10c-01,28,1.3120197566186576,0.4254148894136466,19,4,5,0.002599477767944336
geographic,L-main-threeshift-150c-01,28,0.057841451424213854,0.013303133077259392,15,13,0,0.8505540192127228
geographic,L-main-threeshift-15c-01,28,-0.08402940663525707,-0.011555954251789867,8,14,6,0.28627872467041016
geographic,L-main-threeshift-200c-01,28,-0.13025153572707088,-0.01105085449777351,14,14,0,1.0
geographic,L-main-threeshift-20c-01,28,0.27388125463754015,0.0,11,13,4,0.8388197422027588
geographic,L-main-threeshift-25c-01,28,-0.23777948661991624,-0.10998642690185997,8,16,4,0.15158963203430176
geographic,L-main-threeshift-50c-01,28,0.5618298822809341,0.21778677877381752,20,7,1,0.0191572904586792
geographic,L-main-threeshift-75c-01,28,0.007149032039606865,-0.044488513894641674,11,17,0,0.34492845088243484
mixed,L-main-threeshift-100c-01,28,0.8487789705883044,0.23999144882043688,18,10,0,0.1849333420395851
mixed,L-main-threeshift-10c-01,28,1.6437470674956367,0.009307169855125391,14,9,5,0.4048728942871094
mixed,L-main-threeshift-150c-01,28,0.02112905767769196,0.0033606731896935194,14,14,0,1.0
mixed,L-main-threeshift-15c-01,28,0.6860282267757103,-0.019845716100943378,9,14,5,0.4048728942871094
mixed,L-main-threeshift-200c-01,28,0.03363970909243668,-0.013091596604047021,13,15,0,0.8505540192127228
mixed,L-main-threeshift-20c-01,28,0.4502550755564031,0.012831963154179952,15,9,4,0.30745625495910645
mixed,L-main-threeshift-25c-01,28,0.2693778316728739,-0.034493364685805265,9,15,4,0.30745625495910645
mixed,L-main-threeshift-50c-01,28,0.5287578025623938,-0.06301420611184713,10,16,2,0.32693958282470703
mixed,L-main-threeshift-75c-01,28,0.1480398008437947,0.14161441006149883,16,12,0,0.5715881884098053
