instance,condition,operating_day,reassignment_minus_fixed_reduction_percentage_points,reassignment_minus_fixed_total_reduction_percentage_points,reassignment_minus_fixed_realized_saving_kg,reassignment_minus_fixed_oracle_percentage_points
L-main-threeshift-100c-01,geographic,2025-11-02,0.058129796279677404,-0.005004028799199537,-0.05647221112222667,0.4055687125105729
L-main-threeshift-100c-01,geographic,2025-11-03,-0.1211554931074828,-0.0029632672363601766,-0.08399517447490251,0.0753072229108937
L-main-threeshift-100c-01,geographic,2025-11-04,0.16313255271883842,-0.0004910340872149518,0.043746760938750184,0.4505976925248101
L-main-threeshift-100c-01,geographic,2025-11-05,0.22317248933152706,0.01608411046132922,0.29848335099053713,0.26919395746687647
L-main-threeshift-100c-01,geographic,2025-11-06,0.35279351130464465,0.025599015649264555,0.5229373363417645,0.38153425382814876
L-main-threeshift-100c-01,geographic,2025-11-07,0.007492491705506796,0.000530017189718577,0.012896618830798921,-0.03236903008656039
L-main-threeshift-100c-01,geographic,2025-11-08,0.25412039752302673,0.07911276718297183,1.522803461974017,0.3208473573348138
L-main-threeshift-100c-01,geographic,2025-11-09,0.2176025948247732,0.04338948322894359,0.8452745775264627,0.3532066576155341
L-main-threeshift-100c-01,geographic,2025-11-10,0.40539694229835543,-0.11342019533169223,-1.5213833361293236,0.7134756044929791
L-main-threeshift-100c-01,geographic,2025-11-11,-0.3267666854034098,-0.023546420156155434,-0.4835353474984459,-0.15636645660057708
L-main-threeshift-100c-01,geographic,2025-11-12,2.773863460899129,-0.27672566987181435,-2.8694237401284397,2.7899005691920458
L-main-threeshift-100c-01,geographic,2025-11-13,-0.004187615768804491,-0.00024463207506014094,-0.004637560622417898,0.01286564329760962
L-main-threeshift-100c-01,geographic,2025-11-14,0.36493767168348945,0.012624416331096865,0.28725292166306826,0.3655634427177815
L-main-threeshift-100c-01,geographic,2025-11-15,-0.20754105423141556,0.010115750852771957,0.081333841688642,0.26966060333176295
L-main-threeshift-100c-01,geographic,2025-11-16,0.4079639022821553,0.017665116251047566,0.37734088740086236,0.5846771315286845
L-main-threeshift-100c-01,geographic,2025-11-17,0.9674804349616954,0.0778921050303413,1.6673230000799228,1.0417070803228339
L-main-threeshift-100c-01,geographic,2025-11-18,0.3725018046479654,0.04994397671193726,0.9243816962992639,0.7026676856121776
L-main-threeshift-100c-01,geographic,2025-11-19,2.4006769349541965,0.2627923125104239,5.760168482355037,1.3431123547931652
L-main-threeshift-100c-01,geographic,2025-11-20,0.20084985106826037,0.03209519470071545,0.5800125761386804,0.08846789679519347
L-main-threeshift-100c-01,geographic,2025-11-21,-0.19985805182072686,-0.03200148964696845,-0.6279227206008973,-0.1883837078066729
L-main-threeshift-100c-01,geographic,2025-11-22,1.6273920019532007,-0.33528855835803295,-4.162747932070147,1.5880390453730655
L-main-threeshift-100c-01,geographic,2025-11-23,0.10898123934925422,0.006113254918715748,0.14073389109134388,0.2631799742045318
L-main-threeshift-100c-01,geographic,2025-11-24,1.96842449629521,-0.1794583278446844,-2.26748919393485,2.091486100647961
L-main-threeshift-100c-01,geographic,2025-11-25,0.03646345160521715,0.0062259023662034904,0.11265130008374058,-0.017796439978260577
L-main-threeshift-100c-01,geographic,2025-11-26,-0.09064706211273255,-0.013431174667922239,-0.26421046936088527,-0.053747790002646435
L-main-threeshift-100c-01,geographic,2025-11-27,1.438502498450699,-0.4331952118850406,-5.061041578258013,1.425194350277799
L-main-threeshift-100c-01,geographic,2025-11-28,0.3308171370492009,0.014648702914808881,0.3343754927701592,0.5741965128492759
L-main-threeshift-100c-01,geographic,2025-11-29,0.0977116817163246,-0.1267380871534437,-1.7245274687818721,0.3018852415096749
L-main-threeshift-100c-01,mixed,2025-11-02,0.8394694487571827,0.040123155474998944,1.1645292545619932,1.2020056355376583
L-main-threeshift-100c-01,mixed,2025-11-03,0.017530356207287656,0.0002997608921780238,0.21007707974265105,0.042871922393504736
L-main-threeshift-100c-01,mixed,2025-11-04,-0.3632265154567583,-0.01562398676301352,-1.3597653106183714,1.025129672977914
L-main-threeshift-100c-01,mixed,2025-11-05,0.23996535886484374,0.014986193338908797,0.38515445893031597,0.5013743032954882
L-main-threeshift-100c-01,mixed,2025-11-06,0.43316450914674837,0.04117175836369729,1.0962550175243564,0.6695508970417565
