condition,arm,instance,operating_day_count,pooled_immediate_actual_charging_kg,pooled_realized_saving_kg,pooled_charging_reduction_pct,pooled_total_operational_reduction_pct,mean_cell_charging_reduction_pct,median_cell_charging_reduction_pct,cells_improved,cells_worsened,cells_tied,two_sided_sign_p,pooled_oracle_potential_pct,pooled_forecast_capture_ratio,pooled_pre_day_saving_kg,pooled_between_trip_saving_kg
geographic,ownership_fixed,L-main-threeshift-100c-01,28,6375.87227535223,287.0777930635267,4.502564992923534,0.5426211511628279,3.6909312422095963,0.2250681699686003,18,9,1,0.12207812070846558,5.313572514844952,0.847370574193607,285.51059236598076,1.5672006975459414
geographic,ownership_fixed,L-main-threeshift-10c-01,28,1005.2117274741585,54.88158912283699,5.459704420753275,1.3017376511381205,4.182743166030848,0.0,9,13,6,0.5234670639038086,6.421624233215825,0.8502061507294333,54.88158912283699,0.0
geographic,ownership_fixed,L-main-threeshift-150c-01,28,10383.983759840117,432.95313360487023,4.169431921487678,0.518338345479098,3.491961040789523,0.1932444895490314,17,11,0,0.34492845088243484,4.925176270408142,0.8465548627241646,431.73016330646993,1.2229702984002178
geographic,ownership_fixed,L-main-threeshift-15c-01,28,1109.4149806511832,60.78177781336523,5.478723369833054,0.6370904342379382,4.178329662684617,0.0,10,12,6,0.8318119049072266,6.258710500925501,0.875375745374849,60.781777813365224,0.0
geographic,ownership_fixed,L-main-threeshift-200c-01,28,11159.639543411224,546.8690148780454,4.900418268445982,0.3933123670939847,3.874665031160105,0.137496469570504,17,9,2,0.16863754391670227,5.77970018599324,0.8478672095002185,531.8711621968788,14.997852681166435
geographic,ownership_fixed,L-main-threeshift-20c-01,28,1466.2008140665084,64.1341821060929,4.374174498527028,0.6053173235335042,3.3762910792990226,0.0,12,12,4,1.0,4.858664963999983,0.9002832117335191,64.1341821060929,0.0
geographic,ownership_fixed,L-main-threeshift-25c-01,28,976.7320892713788,56.66425528580957,5.801412271412102,0.530449904270184,4.573660960000695,0.36567743378137735,15,8,5,0.21003961563110352,6.7953687488875785,0.8537303104208744,56.66425528580956,0.0
geographic,ownership_fixed,L-main-threeshift-50c-01,28,3328.6082386061476,149.97532889590767,4.505646749186372,0.6972976304767933,3.6180859005342323,0.0,12,12,4,1.0,5.181785138714662,0.8695163208376478,149.82881747292262,0.14651142298507597
geographic,ownership_fixed,L-main-threeshift-75c-01,28,4740.388890965026,237.79833873741651,5.016431018785184,0.726609268990509,4.292025832893324,0.6680405149487674,20,8,0,0.03569813817739487,5.973759249504122,0.8397444237816571,235.70610790468606,2.0922308327304115
geographic,reassignment_allowed,L-main-threeshift-100c-01,28,5412.149783082389,281.4621225267174,5.200560476107442,0.5081304552090065,4.184797362940231,0.4455347508908203,18,10,0,0.1849333420395851,6.050064361937229,0.8595876283276801,281.34277688495257,0.11934564176481524
