condition,network_count,day_count,network_mean_difference_percentage_points,network_positive,network_negative,network_two_sided_sign_p,day_mean_difference_percentage_points,day_positive,day_negative,day_two_sided_sign_p
geographic,9,28,0.2505030076388159,6,3,0.5078125,0.2505030076388159,17,11,0.34492845088243484
mixed,9,28,0.5144170602516939,9,0,0.00390625,0.5144170602516939,16,12,0.5715881884098053
